lookback,zscore_thresh,direction,horizon_m,n_symbols,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps,avg_prem_bps
720,3.5,long,240,147,333543,31.11773505215614,-8.889728412727749,48.97742448224833,0.03193803125642575,11.11773505215614,-45.628488897340986
360,3.5,long,240,147,320733,28.232736594472026,-6.445070213276393,48.89345956253895,0.02785970123193857,8.232736594472026,-35.82420185960198
120,3.5,long,240,147,291315,25.073090374892676,-5.93044351945925,48.640414201353835,0.026816457987257746,5.073090374892677,-25.254533203931665
60,3.5,long,240,147,270637,24.035819821488744,-4.439470601623163,48.81872243212557,0.027300513384373216,4.035819821488745,-19.92522213845751
720,3.5,long,60,147,333635,21.83185717550132,0.25942863996360366,49.969830411230134,0.03983334144772846,1.831857175501319,-45.628483395876536
720,3.0,long,240,147,564277,20.817351950032005,-6.423972969574113,49.00387674818493,0.023482179953613944,0.8173519500320056,-40.29708907406058
360,3.5,long,60,147,320859,18.101592732787893,-0.33620673657676775,49.61555627843002,0.03259482535791404,-1.8984072672121044,-35.825292323013876
120,3.5,long,60,147,291478,17.3348533092558,-0.7057723770082109,49.314456344122775,0.02972968633530099,-2.665146690744201,-25.24857798579386
360,3.0,long,240,147,546336,16.616492538570643,-6.883475806853516,48.71569998596363,0.018587821609276453,-3.38350746142936,-31.296645637444087
60,3.5,long,60,147,270799,16.112153389813873,-1.5075983813516514,48.857891437454995,0.027354656085143286,-3.8878466101861275,-19.92242837899009
720,3.5,long,30,147,333656,15.123761799245782,1.847534071271809,50.164133925526826,0.029375162388801206,-4.876238200754217,-45.627691814476314
120,3.0,long,240,147,500529,15.027303612053418,-5.377798557760579,48.72552054757139,0.018829995042969203,-4.972696387946583,-23.450345829339103
720,2.5,long,240,147,1022103,14.443258047094085,-5.2617528970763185,48.958493951616724,0.016095306408194985,-5.556741952905916,-33.67097918090279
60,3.0,long,240,147,468350,14.181497782153473,-4.7724712141123256,48.76929959094655,0.019173053512870002,-5.818502217846527,-19.22727309304237
720,3.0,long,60,147,564454,14.169166060540356,1.0371292086920094,50.001431237899226,0.03322443683139625,-5.8308339394596445,-40.29635201105654
120,3.5,long,30,147,291504,13.853797328948211,0.18815389616817335,49.48442215295249,0.025347741906283954,-6.146202671051789,-25.247700122129107
360,3.5,long,30,147,320879,13.761496215801802,0.9900042846253518,49.742789168337296,0.025236087925255418,-6.2385037841981985,-35.824918435958594
60,3.5,long,30,147,270827,13.335837487041053,-0.0748040347104795,49.273302072423455,0.022480689595735088,-6.664162512958948,-19.9220713382792
360,3.0,long,60,147,546558,10.853065898401288,-0.15895421196567885,49.585708529287444,0.024889433813306886,-9.146934101598712,-31.29838152769486
120,3.0,long,60,147,500826,10.579588679871991,-0.314766564949601,49.41020539575597,0.0240362249374628,-9.420411320128009,-23.444788160001917
120,2.5,long,240,147,931255,10.204901782129037,-4.952846930131029,48.78303427861719,0.013251843655813894,-9.795098217870963,-21.918839677499577
360,2.5,long,240,147,998733,9.97543263751096,-6.827207125036055,48.67136394336849,0.011570615290532838,-10.02456736248904,-27.747667295890892
60,3.0,long,60,147,468638,9.791478974589328,-0.8844642470172669,49.11214944928797,0.022112567684354285,-10.208521025410672,-19.21908659406337
60,2.5,long,240,147,885338,9.767117941744129,-4.84586988255144,48.769349304222175,0.01303690492070367,-10.232882058255871,-18.7578867637472
720,3.0,long,30,147,564495,9.707837491380404,1.8514171451708286,50.14310833436208,0.024810221235100512,-10.292162508619596,-40.29587990350478
120,3.5,long,15,147,291513,9.691418710158684,0.6514564155680995,49.61937931715142,0.0239303406360818,-10.308581289841316,-25.24656251264592
720,2.0,long,240,147,1948677,9.478439062808626,-4.98186144825663,48.92171382230957,0.01090133367970543,-10.521560937191374,-27.502913250359544
720,3.5,long,15,147,333672,9.465823952960525,1.9172264665014613,50.260570284586464,0.024339459498597036,-10.534176047039475,-45.62737453383522
360,3.5,long,15,147,320887,9.316385198569174,1.2728683131726906,49.88040870543369,0.023434504406431137,-10.683614801430826,-35.82492784272303
720,2.5,long,60,147,1022474,9.106363691653277,1.2029540107441408,50.002958677733616,0.0248852148412119,-10.893636308346723,-33.66902281675247
60,3.5,long,15,147,270835,9.047143137628238,0.32787493047894384,49.35158109674116,0.020914487546103037,-10.952856862371762,-19.921487051475687
120,1.5,short,240,147,1996964,8.326120487519615,16.300495952231504,52.77843485294253,0.026971139862145062,-11.673879512480385,2.9714002846867262
60,2.0,long,240,147,1775197,8.196679068183368,-4.668816105000381,48.820762177099446,0.010298707513630078,-11.803320931816632,-17.930625154053295
120,3.0,long,30,147,500880,8.19309965628704,0.485021039081298,49.64874758071502,0.02115595886785578,-11.80690034371296,-23.44413513305034
360,3.0,long,30,147,546600,8.026490519241808,0.8732543070161323,49.79001950858156,0.019105908790351657,-11.973509480758192,-31.29822832107151
360,1.5,short,240,147,1929746,7.849598181909448,16.635500738208716,52.856333486490044,0.029721123179591757,-12.150401818090552,4.935994857125163
60,3.0,long,30,147,468683,7.846508298364839,0.08714649675854298,49.3290068645499,0.01936410025936345,-12.153491701635161,-19.218734710370438
360,2.0,long,240,147,1922482,7.711395769734248,-6.277691552864015,48.683640707293,0.008377448809354059,-12.28860423026575,-24.715553646607074
120,2.0,short,240,147,743075,7.597297992418919,16.46947796288564,52.775919657913505,0.027736631724766286,-12.40270200758108,5.202316974671171
60,2.5,short,240,147,340074,7.2740810272621665,16.820756716780423,52.87879626076073,0.02851773817183382,-12.725918972737835,7.041649209877556
120,2.0,long,240,147,1834912,7.255330456451909,-5.212423975729798,48.78342424496296,0.009343144719760221,-12.74466954354809,-20.195667077378676
60,2.0,short,240,147,748594,6.983212089125205,15.342612773860173,52.56187915036267,0.022915234701310523,-13.016787910874795,4.446106207845485
60,2.5,long,60,147,885902,6.865683911851927,-0.7020740765635665,49.19828465493166,0.018324101867742425,-13.134316088148072,-18.746818793981777
360,2.5,long,60,147,999201,6.837613805578983,0.12302301858294155,49.586318695267586,0.019073425745127524,-13.162386194421018,-27.752123438595017
120,2.5,long,60,147,931817,6.827706286834613,-0.21866096266968715,49.47187566670711,0.0188899618320766,-13.172293713165388,-21.91237932991265
720,2.5,long,30,147,1022552,6.75714434208758,1.5047256052960358,50.10697647848772,0.02089710352810823,-13.24285565791242,-33.66839180543835
720,1.5,long,240,147,3731887,6.7432905958275935,-4.857056830186612,48.85160034298264,0.005940734079574661,-13.256709404172405,-22.297556534072033
60,1.5,short,240,147,2012091,6.627535935884755,14.946488793655456,52.58120748746798,0.021876668433633766,-13.372464064115244,2.075326539755145
360,1.5,long,240,147,3718245,6.305514531621051,-5.596984943019607,48.67250884661854,0.005117540506000104,-13.69448546837895,-20.416688853975106
120,2.5,short,240,147,339708,6.247037307360574,17.279943486032543,52.76453073289703,0.025769861817870096,-13.752962692639425,7.667951760196811
60,1.5,long,240,147,3573886,6.215753501857644,-5.326721960955764,48.71912046604895,0.006699923940152206,-13.784246498142355,-16.134750655494912
720,2.0,long,60,147,1949453,6.133132854183529,0.8288124611905774,49.84720766060721,0.018774222830341396,-13.866867145816471,-27.500661014275405
720,3.0,long,15,147,564523,5.996547480890123,1.6027731563782885,50.119421375852916,0.020252834794988114,-14.003452519109876,-40.29559375315446
120,3.0,long,15,147,500899,5.801207315894476,0.7680156066828856,49.662418414895065,0.019679976646902173,-14.198792684105525,-23.443264350157328
120,1.5,long,240,147,3629719,5.669854842770536,-5.408585808899911,48.725265949443724,0.006245848019924692,-14.330145157229463,-17.561798800103407
120,2.5,long,30,147,931926,5.557659918219851,0.570590109264943,49.63439794172321,0.01810136709044158,-14.442340081780149,-21.910195481730426
360,3.0,long,15,147,546617,5.5193189808824235,1.1959853306820187,49.87034367297222,0.0190033702314989,-14.480681019117577,-31.297634903731648
60,2.5,long,30,147,886002,5.515655418436895,0.3499526345776417,49.46321169539512,0.017855619467574642,-14.484344581563105,-18.74584660566417
360,2.5,long,30,147,999284,5.403812236120527,0.8657091295543282,49.78140976084697,0.01691943271343821,-14.596187763879472,-27.75168559892878
60,3.0,long,15,147,468699,5.385993133103266,0.3079960446680815,49.2933913296625,0.018478586730253443,-14.614006866896734,-19.218086820332186
360,2.0,long,60,147,1923458,5.247108832880006,0.27769548690840923,49.605572217170455,0.016635744268306805,-14.752891167119996,-24.715013841004506
120,2.0,long,60,147,1836004,4.805858881954427,-0.09575646954123068,49.439529830709255,0.014772952856171745,-15.194141118045573,-20.18947887861172
60,2.0,long,60,147,1776269,4.792804184923858,-0.509174769299803,49.220504419406936,0.014133791616223742,-15.207195815076142,-17.921015833831444
720,2.0,long,30,147,1949602,4.774294209880858,1.133889796458357,49.97053543836929,0.017573187611942383,-15.225705790119143,-27.500268890537217
60,3.0,short,240,147,187813,4.53797526630408,16.57229867131678,52.74979372611934,0.026390173260395163,-15.462024733695921,8.875548499889565
120,3.0,short,240,147,188359,4.35627715654787,17.03621644616067,52.67290567587515,0.02608876389466647,-15.64372284345213,9.753369359287513
720,1.5,long,60,147,3733663,4.354118376209842,0.3577474820979131,49.68422656953426,0.01368916776635472,-15.645881623790158,-22.295824861617028
360,1.5,long,60,147,3720188,4.352601371935475,0.06584321203757422,49.5136056273009,0.013944026865465397,-15.647398628064524,-20.416421658651693
720,2.5,long,15,147,1022593,4.284856177878952,1.3095330251986268,49.99176484688144,0.017898881863145356,-15.715143822121046,-33.66799406997275
360,2.0,long,30,147,1923632,4.257167984042675,0.8098753745745029,49.765483770945565,0.0161514357759331,-15.742832015957326,-24.71282452953618
60,2.0,long,30,147,1776457,4.203299488257724,0.42824263996672485,49.45597233659159,0.016154465134971627,-15.796700511742275,-17.91994408927156
720,1.5,short,240,147,1865827,4.196075041610695,14.545836118581322,52.51627450729084,0.02234124169927248,-15.803924958389304,5.75086454608486
360,2.0,short,240,147,714292,4.144169033913394,15.30263004514127,52.56465844436926,0.021665995429120677,-15.855830966086605,7.602746958957652
120,2.5,long,15,147,931964,4.105194692215671,0.8321759410341211,49.660186562178595,0.018468295349653156,-15.894805307784331,-21.908777512895472
360,1.5,short,60,147,1930550,4.068660994801179,6.349387111795845,52.07519817195381,0.023020033437632568,-15.93133900519882,4.936554995875297
120,2.0,long,30,147,1836217,4.046825669359082,0.5948394995577354,49.631692554742756,0.015860385711979286,-15.95317433064092,-20.18707596129476
120,1.5,short,60,147,1997888,3.8167433778083493,5.890486936603995,51.84666523157636,0.019888731423172563,-16.18325662219165,2.9727748335795696
60,1.5,long,60,147,3575950,3.7950803421777066,-0.6904998768878391,49.175737425605796,0.011909466329687538,-16.20491965782229,-16.12744085190593
60,2.5,long,15,147,886031,3.7566583603612402,0.5169740044771866,49.43154739542117,0.017414167388926472,-16.24334163963876,-18.745700614803912
360,2.5,long,15,147,999321,3.692140322073138,1.0227176658315067,49.77464650864445,0.01611811828783293,-16.307859677926864,-27.751055785890212
720,1.5,long,30,147,3733959,3.6630862046240873,0.8363403632945782,49.82243481734934,0.015226611030656768,-16.336913795375914,-22.295524733673535
360,1.5,long,30,147,3720515,3.6192943542804747,0.7206404287345289,49.70809165880969,0.015475324871963325,-16.380705645719527,-20.414751852534078
120,1.5,long,60,147,3631786,3.618749825323451,-0.25981522737947726,49.362710471206206,0.011766337307511135,-16.38125017467655,-17.55466096255042
120,2.0,short,60,147,743432,3.5651895245384266,5.81418891528772,51.879046930714374,0.019747189177088675,-16.43481047546157,5.207762341743246
60,1.5,short,60,147,2012999,3.3719742749107477,5.485403172167123,51.64975025504664,0.016621089582681717,-16.628025725089252,2.0763412344128094
60,2.0,short,60,147,748936,3.3654765445168136,5.674427525282328,51.65965957485703,0.015406185452881261,-16.634523455483187,4.448859366749315
60,1.5,long,30,147,3576311,3.3238774153108164,0.2728985987177797,49.40234767663655,0.014762070207039648,-16.676122584689185,-16.1265346320956
120,1.5,short,30,147,1998037,3.2884178643299053,4.175586037260919,51.638335877234866,0.021088258401116167,-16.711582135670096,2.9738620961003623
120,2.0,short,30,147,743492,3.198908340783203,4.30716061787686,51.645860185511964,0.021403225560030083,-16.801091659216798,5.2110715835555315
60,2.0,short,30,147,748992,3.1783270508129635,3.917413756343459,51.38449113400425,0.01821930108139966,-16.821672949187036,4.448958603920232
120,1.5,long,30,147,3632163,3.1170108776258934,0.45324646000832597,49.55623393989115,0.013777767711543485,-16.882989122374106,-17.55269362234502
720,2.0,long,15,147,1949671,3.089148060386864,1.0785103828081661,49.85858396093907,0.015465535293214488,-16.910851939613135,-27.49964898562549
360,1.5,short,30,147,1930690,3.0132912027227077,4.373246501790441,51.84624402536505,0.022065656056876205,-16.98670879727729,4.936750127020758
360,2.0,long,15,147,1923713,2.981779986010142,0.9824529049050337,49.71975586180026,0.01545176951920713,-17.01822001398986,-24.711696807426875
60,2.0,long,15,147,1776530,2.9181205765514147,0.6369036228943072,49.38994937092015,0.016327666072674295,-17.081879423448587,-17.91965188537099
60,1.5,short,30,147,2013159,2.911959281362504,3.7304256755767007,51.41613482050666,0.018184384870431468,-17.088040718637497,2.076688379724834
120,2.5,short,60,147,339871,2.839769914376867,6.138275402277068,51.920270900579915,0.018205614201926987,-17.160230085623134,7.671489241581463
120,2.0,long,15,147,1836306,2.8241761958423757,0.7620378361675683,49.553992868463354,0.015562345563859239,-17.175823804157623,-20.186482690104246
120,2.5,short,30,147,339896,2.8092651178177914,4.403005174685831,51.69516926862584,0.02027751979122435,-17.19073488218221,7.671972471958333
720,1.5,short,60,147,1866683,2.7275617074355116,5.956802588086738,51.98053173548678,0.016907626721601374,-17.272438292564487,5.750184423756661
720,1.5,short,30,147,1866796,2.5365989304521914,4.377175432696496,51.86920299434193,0.019105041525567832,-17.463401069547807,5.750197851840831
360,1.5,long,15,147,3720664,2.51175976372799,0.7820959139022544,49.58052316681807,0.014724494827948452,-17.48824023627201,-20.414416888816387
360,2.0,short,60,147,714583,2.4795173337117378,5.616209502491682,51.873154177516255,0.01716610281794301,-17.520482666288263,7.602442001694609
720,1.5,long,15,147,3734100,2.4374203268356434,0.854805095913678,49.65776403425298,0.013979524019184958,-17.562579673164358,-22.29492231556826
360,2.0,short,30,147,714640,2.3915557508165057,4.043240540551214,51.77012147039681,0.019781722149124138,-17.608444249183496,7.601870886208986
360,3.5,long,5,147,320895,2.3769571640588336,0.806062423149758,49.477338411459975,0.008916245894655108,-17.623042835941167,-35.82453432604108
720,3.5,long,5,147,333682,2.3751873481060954,0.9894412547009604,49.73276875575933,0.008868995178965439,-17.624812651893905,-45.626898123781444
60,1.5,long,15,147,3576456,2.3293220405039854,0.501429857045635,49.28384127535291,0.015059327726908003,-17.670677959496015,-16.126507761279697
120,1.5,long,15,147,3632334,2.282796043898253,0.6147414678104399,49.43754856596832,0.01422789323078375,-17.71720395610175,-17.55236284397006
60,2.5,short,30,147,340254,2.216126028876157,3.803121629103823,51.4178935113128,0.016600691076384358,-17.783873971123842,7.040752377259325
360,2.5,short,30,147,332888,2.0864471450610704,5.102633151484039,52.1275289654144,0.019382544013151214,-17.91355285493893,9.694056577997827
60,2.5,short,60,147,340227,2.085496283188681,5.567450089956805,51.67303032252686,0.014050992050277893,-17.914503716811318,7.040753662364065
720,3.0,long,5,147,564538,2.0767536474822297,0.9012494908299077,49.61624978135027,0.01088584169941139,-17.92324635251777,-40.294972767775484
120,1.5,short,15,147,1998127,1.9273851978255852,2.6386787843292354,51.2158030626051,0.016790141028669242,-18.072614802174414,2.973993478234866
120,3.5,long,5,147,291517,1.8655479865321192,0.6664042770399117,49.31820355220174,0.00594045102513698,-18.13445201346788,-25.24644360465406
360,1.5,short,15,147,1930775,1.7371208436075072,2.747722288240982,51.425987676190125,0.017133335808757075,-18.262879156392493,4.936806092164647
360,3.0,long,5,147,546630,1.699762238880135,0.7240000629272679,49.42182119187156,0.008774312452497875,-18.300237761119863,-31.297172350435954
360,2.5,short,240,147,332726,1.6935657805683801,15.964047592546875,52.37756847460664,0.01744319440578024,-18.30643421943162,9.697187583919927
120,2.0,short,15,147,743520,1.6869204956757318,2.646852217851363,51.129987104189425,0.015011782201211044,-18.31307950432427,5.211217618461086
60,1.5,short,15,147,2013228,1.6676238473602032,2.3150860342591777,51.04211498052524,0.014506256889203706,-18.332376152639796,2.07684895439485
720,2.5,long,5,147,1022613,1.6623856566519133,0.7331369342918295,49.51704693410672,0.010908710728582157,-18.337614343348086,-33.6676460035196
360,2.5,short,60,147,332865,1.6280831078332343,6.87174714552172,52.27522042474516,0.01500285411178406,-18.371916892166766,9.695854185759291
720,2.0,short,30,147,692744,1.5418510970630634,4.261317280234198,51.69638709817032,0.013574170006827063,-18.458148902936937,8.599234371152678
60,2.0,short,15,147,749011,1.5231444131666672,2.5026421814052004,51.009089682486035,0.012507651627413567,-18.476855586833334,4.449132392563884
120,3.0,long,5,147,500906,1.4097797423181189,0.5912814857890856,49.20079086608541,0.006846710900001247,-18.59022025768188,-23.443183545981597
720,1.5,short,15,147,1866861,1.4059770498433526,2.699706740499145,51.30270006912554,0.014133689059733556,-18.59402295015665,5.750227454990603
360,2.5,long,5,147,999340,1.4018568662079935,0.6952499720611091,49.37358588669963,0.00960818947845006,-18.598143133792007,-27.75084170038667
120,3.0,short,30,147,188475,1.3706152498989141,4.913109613779287,51.88408840981022,0.018296328364828873,-18.62938475010109,9.74610002533861
120,2.5,long,5,147,931978,1.3491129310566177,0.5836530981323076,49.20033056665008,0.009329586191319718,-18.650887068943383,-21.90831317288777
360,2.0,long,5,147,1923750,1.3098191971649267,0.5684778060182287,49.255509607215856,0.0108264199613647,-18.690180802835073,-24.711586164831946
720,2.0,long,5,147,1949704,1.2548112579350408,0.6228942726666229,49.35727567232558,0.010314322868492657,-18.74518874206496,-27.49937068352407
60,3.5,long,5,147,270838,1.2330609260863645,0.39584465953658793,48.922429529017215,0.0031803499548132314,-18.766939073913637,-19.921545430974202
120,2.5,short,15,147,339908,1.1480617503078498,2.684341528761905,51.14680704944458,0.012993319186583422,-18.85193824969215,7.672110435225644
60,3.0,long,5,147,468706,1.1083536864094796,0.43344214701951944,48.97758876023681,0.005606735757785502,-18.89164631359052,-19.218010631161686
360,1.5,long,5,147,3720741,1.0982920441254862,0.46100032513018524,49.06361092164889,0.010499801034934838,-18.901707955874514,-20.41425089628524
120,2.0,long,5,147,1836336,1.0917578793569593,0.47981634298418063,49.09999824007398,0.009709412605789376,-18.90824212064304,-20.18631671023919
360,2.0,short,15,147,714672,1.0888722707554743,2.672894672527196,51.24475678926484,0.013437894293481582,-18.911127729244527,7.601976223102043
60,2.5,long,5,147,886047,1.0627061301805576,0.4349317420549459,49.01242829939781,0.007658281952685411,-18.937293869819445,-18.74558359553501
720,1.5,long,5,147,3734179,1.044881603148197,0.46150368326826235,49.106897496249445,0.010210281769109033,-18.955118396851802,-22.29475260791911
60,2.0,long,5,147,1776564,1.0433757774717147,0.4451695583241484,48.94237491376937,0.009387847956369185,-18.956624222528283,-17.919262550532768
120,1.5,long,5,147,3632413,1.026020952920789,0.4122570868986679,48.97104352219045,0.010475707399670398,-18.973979047079208,-17.552260702667475
720,2.0,short,60,147,692692,0.9696607070934781,5.868972049538786,51.90963849875311,0.010684281027762428,-19.030339292906522,8.601916479610047
60,3.0,short,30,147,187909,0.9666707918167429,3.6455570149558687,51.1959065888577,0.013509659380419415,-19.033329208183257,8.872987993814617
60,1.5,long,5,147,3576532,0.956097435273219,0.34938229820161243,48.85203648489276,0.010106902570768102,-19.043902564726782,-16.126324295207354
120,1.5,short,5,147,1998194,0.9464851957116067,0.9107319628804222,49.831356521253404,0.013211354673135717,-19.053514804288394,2.974042648844776
360,2.5,short,5,147,332911,0.910328894653434,1.4002586260477803,50.01472391844315,0.013840140707077628,-19.089671105346564,9.69419396944553
120,2.0,short,5,147,743544,0.9064588718580324,1.0705082317168886,49.82331940176154,0.012302708964056152,-19.09354112814197,5.211201333500535
120,2.5,short,5,147,339919,0.9009551904903519,1.3038236559586946,49.85466968249974,0.011446920256397345,-19.09904480950965,7.672066699045094
60,2.0,short,5,147,749033,0.8929818959798728,0.9761860198462465,49.7579558594111,0.011932396120486884,-19.107018104020128,4.449099312751099
360,2.0,short,5,147,714697,0.8825600854093867,1.117577284937675,49.87196545475897,0.013081391712107437,-19.117439914590616,7.602000460107906
360,1.5,short,5,147,1930844,0.8742232559661189,1.0409154103880638,49.99121920550921,0.012656493328107296,-19.12577674403388,4.936834024759894
60,2.5,short,15,147,340261,0.8734776042213508,2.476020968963702,51.01701369559171,0.00916150423705249,-19.126522395778647,7.0409137384376015
720,2.0,short,5,147,692791,0.7753622702389409,1.2175516251094238,49.915885854554745,0.010472734556479056,-19.22463772976106,8.59934534187173
60,1.5,short,5,147,2013288,0.7584761162050624,0.8334995476153829,49.754708005436825,0.011091281247250603,-19.241523883794937,2.0768779224634715
720,1.5,short,5,147,1866916,0.7277859809043846,1.046452782338622,49.95507313867438,0.010953562934462792,-19.272214019095614,5.750246589685028
60,2.5,short,5,147,340268,0.6611756290890047,0.9834781194713929,49.663789725441276,0.008477058825928892,-19.338824370910995,7.040904472136376
720,2.0,short,15,147,692768,0.6273708279037454,2.7286647704401625,51.04603485380852,0.008454889049046427,-19.372629172096257,8.599323413158634
720,2.5,short,5,147,329943,0.5894579148001204,1.2229644261028723,49.92305655178082,0.00930780627644902,-19.41054208519988,10.706599140640943
360,2.5,short,15,147,332900,0.5552041306801251,3.076776824939832,51.463416917316906,0.01167520538863252,-19.444795869319872,9.694179865461763
360,3.0,short,5,147,186372,0.50893653184574,1.3188722124912657,50.025833652034464,0.010965059363918124,-19.49106346815426,11.463762714435605
720,2.0,short,240,147,692342,0.48437820143660276,14.60961969364489,52.307186473623275,0.016726349438274373,-19.515621798563398,8.604603916818382
360,3.5,short,5,147,116638,0.44590431481120385,1.5731491063636587,50.20836188954597,0.008111624774966844,-19.5540956851888,12.853061887074915
120,3.0,short,5,147,188485,0.4282848007978399,1.3629352625391697,49.97220741037752,0.008594323488729544,-19.57171519920216,9.7462296010325
720,2.5,short,30,147,329925,0.36202715950786946,4.786895409841287,51.99397592056651,0.012356301407946534,-19.637972840492132,10.706465180476389
60,3.0,short,5,147,187918,0.26475964122725937,1.2042534894201433,49.726068157712305,0.005000429457659943,-19.735240358772742,8.87319627181051
120,3.0,short,60,147,188458,0.2062362604070653,5.854803002880211,51.92468321148498,0.009264109773790403,-19.793763739592933,9.74614197126613
720,3.0,short,5,147,186595,-0.03065379083472758,1.2778734638916163,49.86764087271364,0.007003176745853896,-20.03065379083473,12.354764876970297
120,3.0,short,15,147,188481,-0.08979871499468386,2.74786670242447,51.2506269889316,0.008857461734142215,-20.089798714994682,9.746279035896583
120,3.5,short,5,147,118198,-0.10496798681153859,1.3299294889923918,49.7784026190415,-0.0007059368078301626,-20.104967986811538,11.097054005082827
60,3.0,short,15,147,187914,-0.1503166767555508,2.5359970994260927,50.85082571636168,0.00333864349061295,-20.15031667675555,8.873199866700212
360,3.0,short,30,147,186360,-0.23430521504109927,5.437090409633751,52.31912655985839,0.01694702766009068,-20.2343052150411,11.4635593351558
60,3.5,short,5,147,117552,-0.30226890714010307,0.931978010114264,49.413230081196524,-0.00035089054319906995,-20.302268907140103,10.0079014238609
60,3.0,short,60,147,187894,-0.6213369647212232,4.912941416666792,51.52891269967338,0.006159969602536647,-20.621336964721223,8.87284909903582
720,3.5,short,5,147,116720,-0.7345044760904784,1.2158848380424359,49.80071947439611,0.003155304366448653,-20.73450447609048,13.93426224527437
