signal,direction,horizon_m,n_symbols,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
ifr_level_gt20.0,long_momentum,240,112,235651,228.0749122649561,33.87277111041565,48.369475740922326,0.08301847906867772,208.0749122649561
ifr_level_gt20.0,long_momentum,30,112,235651,138.2591605543625,16.387349495515544,47.84769433066847,0.06252839181732416,118.25916055436248
ifr_level_gt20.0,long_momentum,60,112,235651,133.21287009893172,11.008438903622466,48.629569330773634,0.06518483182492002,113.21287009893172
ifr_level_gt20.0,long_momentum,15,112,235651,105.21719036323013,26.120331377157562,49.1113300134681,0.0930285704474025,85.21719036323013
fr_diverge_z3.0,long,240,147,644550,99.33573103012746,-1.955014203451291,50.41223720760868,0.06826793916604608,79.33573103012746
fr_diverge_z3.0,long,60,147,644550,87.43920211801677,22.203677369490848,51.633944826710895,0.09000817892197496,67.43920211801677
fr_diverge_z3.0,long,30,147,644550,66.3666159540057,13.943492957891358,51.7454234278664,0.07005140289961627,46.3666159540057
fr_diverge_z3.0,long,15,147,644550,40.641963861970254,8.980707843461257,51.46441051338127,0.05869668530274262,20.64196386197025
fr_diverge_z2.0,long,60,147,2846514,33.62539857153425,7.205909111512846,50.010330264466184,0.048473150980026795,13.625398571534252
ifr_level_gt20.0,long_momentum,5,112,235651,32.98177364041889,-1.02472399906846,47.29026210080095,0.04326597118624816,12.98177364041889
fr_diverge_z2.0,long,240,147,2846514,30.527710547521362,-23.188321837780737,48.37262881898069,0.02819069297144921,10.527710547521364
ifr_level_gt10.0,long_momentum,240,145,875707,26.849551619756916,-16.901620007124418,45.77733208630045,-0.01506644162624079,6.849551619756915
fr_diverge_z2.0,long,30,147,2846514,26.576658926715247,7.352656200594159,50.57913970434825,0.042069667219785584,6.576658926715245
fr_diverge_z1.5,long,60,147,5744613,21.645274988419747,4.64334893591993,49.77239450365699,0.03485857752031454,1.6452749884197448
fr_diverge_z1.5,long,240,147,5744613,18.007055408128412,-23.39250491873712,48.20490759187017,0.015267473544132652,-1.9929445918715885
fr_diverge_z1.5,long,30,147,5744613,17.835444252768315,5.1617226198987085,50.203617831548186,0.03379960555577306,-2.1645557472316854
fr_diverge_z2.0,long,15,147,2846514,17.05861479849055,4.867663493981063,50.42154483615203,0.0361776741389259,-2.9413852015094513
