variant,leader_dir,fwd_horizon_m,n_followers,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
BTC_3m>150bps,up,30,125,2483,1451.5644697765858,117.7359450740036,68.17684210526316,0.5420579236332116,1431.5644697765858
SOL_1m>150bps,up,30,125,3598,1407.7561356617907,235.75674179236387,73.62850633291413,0.5197154059051469,1387.7561356617907
BTC_3m>150bps,up,15,125,2483,1117.8888503581918,73.86484634247897,62.50105263157894,0.6070194163292477,1097.8888503581918
ETH_1m>150bps,up,30,125,2204,1116.2570484544005,88.09563854112083,62.593333333333334,0.42033093120175113,1096.2570484544005
SOL_1m>150bps,up,15,125,3598,1078.1699238616397,179.63607293726662,70.70841437889115,0.5696578999720072,1058.1699238616397
BTC_1m>100bps,up,30,125,1849,1021.1480999728659,35.945364856536024,59.494505494505496,0.35315608497117074,1001.1480999728659
BTC_3m>150bps,up,10,125,2483,844.3005594264208,65.52592499498624,57.14736842105263,0.5231215493915563,824.3005594264208
SOL_1m>150bps,up,10,125,3598,810.9928638169638,148.27565866747307,68.31917427610982,0.4984912353040453,790.9928638169638
ETH_1m>150bps,up,15,125,2204,737.1330511814481,21.66142266720102,54.159448621553885,0.34444215111104076,717.1330511814481
BTC_1m>100bps,up,15,125,1849,675.9351006181132,17.547675512001412,53.57098901098901,0.3193797291399558,655.9351006181132
BTC_3m>150bps,down,3,125,1851,584.4235918083583,26.002562065723456,46.56820512820512,0.30262345023063625,564.4235918083583
BTC_1m>100bps,up,10,125,1849,555.322011537426,24.138816656367194,53.20586080586081,0.3054528339211983,535.322011537426
BTC_3m>150bps,down,5,125,1851,537.1863904570125,41.78648371548394,42.945641025641024,0.2509772717606801,517.1863904570125
SOL_1m>150bps,up,5,125,3598,515.7333084189701,84.05005545116578,61.86647939278224,0.43370508962310766,495.7333084189701
BTC_1m>75bps,up,30,141,4616,475.7215760499815,3.552117347720154,50.032241336394286,0.22614704155730117,455.7215760499815
BTC_5m>150bps,up,30,142,6867,440.39011100403576,58.98117888536586,64.54536185294988,0.35304699198284417,420.39011100403576
BTC_3m>100bps,up,30,145,10771,416.65924579317874,50.958581920312355,60.54130330334522,0.2819690099358224,396.65924579317874
BTC_3m>150bps,up,5,125,2483,416.2684001160885,7.962808167856754,51.90105263157895,0.3500907040363485,396.2684001160885
SOL_1m>100bps,up,30,142,12026,405.77386156897694,59.26070518787328,63.00929871454521,0.26711806717740627,385.77386156897694
SOL_3m>150bps,up,30,142,15059,392.89419563233736,47.63622607956813,60.55275245693148,0.29916447040062705,372.89419563233736
SOL_1m>150bps,up,3,125,3598,381.1913262236643,58.306533612507266,62.151880972822504,0.41226143560771816,361.1913262236643
ETH_1m>150bps,up,10,125,2204,370.8081525598028,6.5015590813300275,50.15498746867168,0.1722865196181525,350.8081525598028
BTC_1m>100bps,up,5,125,1849,361.0117993858295,39.63222605189232,55.19560439560439,0.29445263032831,341.0117993858295
BTC_5m>150bps,up,15,142,6867,351.7483941049491,33.01027107207996,58.88776518946195,0.3669553263809036,331.7483941049491
ETH_3m>150bps,up,30,142,12991,338.1293341794238,35.39591228171808,58.3912145027714,0.22553258524774403,318.1293341794238
BTC_1m>75bps,up,15,141,4616,334.0198951853414,3.246242892726436,50.54719134684854,0.2198003939714095,314.0198951853414
ETH_1m>100bps,up,30,141,8339,332.947267024241,30.724313081604148,56.878030539189254,0.1939290518566084,312.947267024241
BTC_3m>150bps,down,1,125,1851,332.4030137704796,107.68659462917589,55.515897435897436,0.3110975074461057,312.4030137704796
BTC_1m>100bps,down,5,125,1713,320.81449548450126,-77.05424897175854,34.315684315684315,0.15689966994059004,300.81449548450126
BTC_1m>50bps,up,30,145,20056,319.63533997199687,20.263818442583794,55.5348547133784,0.22088621974380868,299.63533997199687
SOL_1m>100bps,up,15,142,12026,306.84929223126215,34.621802667823104,58.60176440748551,0.26305542723510167,286.84929223126215
BTC_3m>100bps,up,15,145,10771,306.7559377137535,32.20884539195973,58.429636254444844,0.2924955537417371,286.7559377137535
SOL_3m>150bps,up,15,142,15059,274.3821116765968,17.464609025745887,54.04103388333537,0.29132060670712917,254.38211167659685
