signal,direction,horizon_m,n_symbols,total_sigs,mean_ret,mean_wr,net_fees
spotlead_gt60,long,240,67,16417,1418.2767373880993,70.06505541571312,1398.2767373880993
spotlead_gt60,long,60,67,16444,1068.5313032942277,67.90455319485095,1048.5313032942277
spotlead_gt60,long,30,67,16450,987.143869335559,63.59255161786697,967.143869335559
spotlead_gt40,long,240,78,73016,759.201904054334,63.939689356991025,739.201904054334
spotlead_gt60,long,15,67,16450,717.6107875800585,59.951312830220985,697.6107875800585
spotlead_gt40,long,60,78,73100,567.4403621475897,61.024790105198065,547.4403621475897
spotlead_gt40,long,30,78,73115,520.1690794815629,57.36590620674213,500.16907948156285
spotlead_gt40,long,15,78,73120,388.3848230120549,55.055737790156364,368.3848230120549
spotlead_gt60,long,5,67,16450,309.01752992971376,56.789389946903064,289.01752992971376
spotlead_gt20,long,240,84,568922,184.60638264264486,54.560613373071206,164.60638264264486
spotlead_gt40,long,5,78,73125,183.99644351392377,54.61288228363488,163.99644351392377
spotlead_gt20,long,60,84,569443,144.75315660694366,54.416014772635855,124.75315660694366
spotlead_gt20,long,30,84,569522,131.9248763057101,53.00467975619023,111.9248763057101
spotlead_gt20,long,15,84,569571,98.24652957520617,52.1768318101599,78.24652957520617
spotlead_gt20,long,5,84,569601,44.14485759751436,51.21961796487242,24.144857597514356
basis_z3.0_lb720,long,60,86,194973,17.348124889581516,50.16101630814535,-2.651875110418483
basis_z3.0_lb720,long,30,86,194995,16.797369692400824,50.522541267653736,-3.2026303075991747
basis_z3.0_lb720,long,240,86,194863,16.446616087785554,49.425436676249056,-3.5533839122144473
retdiv_z3.0_lb30,long,30,86,93523,15.829347722832217,49.80125086287243,-4.170652277167784
retdiv_z3.0_lb30,long,60,86,93518,15.11771059603338,49.416567867962144,-4.88228940396662
retdiv_z3.0_lb30,long,240,86,93460,14.520430673491113,48.972044443864846,-5.479569326508888
basis_z3.0_lb240,long,30,86,185119,13.838088791337489,50.313718037755734,-6.161911208662511
basis_z3.0_lb60,long,60,86,152285,13.63211423852602,49.80752363577468,-6.36788576147398
basis_z3.0_lb60,long,30,86,152298,13.59111365388089,50.15960326924685,-6.408886346119109
basis_z3.0_lb240,long,60,86,185098,13.383433199669533,49.823273087020446,-6.616566800330466
retdiv_z3.0_lb60,long,30,86,126709,12.83563630766063,49.57886866315879,-7.16436369233937
basis_z3.0_lb60,long,240,86,152194,12.505790022299037,49.151226242749495,-7.494209977700964
retdiv_z3.0_lb60,long,60,86,126698,12.358872131147828,49.31246530686979,-7.641127868852173
retdiv_z3.0_lb60,long,240,86,126614,12.035280371544397,48.93212802437293,-7.964719628455604
basis_z3.0_lb720,long,15,86,195003,10.832368490586079,50.34752163484511,-9.167631509413921
retdiv_z3.0_lb30,long,15,86,93525,10.624667718841994,49.56024307609555,-9.375332281158006
basis_z3.0_lb240,long,240,86,184988,9.971540972930981,48.86256432978103,-10.028459027069019
basis_z3.0_lb60,long,15,86,152305,8.785832815018503,50.01359727717346,-11.214167184981497
basis_z2.5_lb720,long,60,86,412876,8.508991799711207,49.98408550527055,-11.491008200288793
basis_z3.0_lb240,long,15,86,185125,8.463932319820449,50.126832352314544,-11.536067680179551
retdiv_z3.0_lb60,long,15,86,126712,8.451348623309535,49.53874446742923,-11.548651376690465
basis_z2.5_lb720,long,30,86,412907,8.213519632911586,50.28245973559461,-11.786480367088416
basis_z2.5_lb240,long,30,86,403650,6.930048054638343,50.23520147591233,-13.069951945361655
basis_z2.5_lb60,long,30,86,369860,6.449277438368983,50.134943142378326,-13.550722561631018
basis_z2.5_lb240,long,60,86,403618,6.248996134449496,49.80825399061058,-13.751003865550503
basis_z2.5_lb60,long,60,86,369830,6.244304677748684,49.72742083863025,-13.755695322251315
basis_z2.5_lb720,long,240,86,412670,6.15938700345778,49.1604346148868,-13.84061299654222
basis_z2.5_lb720,long,15,86,412922,5.2917112329886375,50.08103292058203,-14.708288767011362
basis_z2.5_lb240,long,15,86,403664,4.4059703440386695,50.179332491753435,-15.594029655961329
basis_z2.5_lb60,long,15,86,369877,4.40360035095093,50.08593078195151,-15.596399649049072
basis_z2.0_lb720,long,60,86,920575,4.277359324776876,49.89311367325858,-15.722640675223124
basis_z2.0_lb720,long,30,86,920626,4.187364348093433,50.220260304906006,-15.812635651906568
basis_z2.0_lb240,long,30,86,909536,3.9454155270933624,50.13638423996261,-16.054584472906637
basis_z2.5_lb60,long,240,86,369629,3.78202065821645,48.960348855940104,-16.21797934178355
basis_z2.0_lb60,long,30,86,886269,3.4338711547163836,49.97285865758245,-16.566128845283615
basis_z2.0_lb60,short,240,86,867583,3.4297142208112805,51.56045947155826,-16.57028577918872
basis_z2.0_lb240,long,60,86,909471,3.393563151185984,49.686086405870135,-16.606436848814017
basis_z3.0_lb720,long,5,86,195005,3.238042894759842,50.82916146034934,-16.76195710524016
retdiv_z3.0_lb30,long,5,86,93528,3.1701971933940785,49.85701888396404,-16.829802806605922
basis_z2.0_lb60,long,60,86,886207,3.0407599519452955,49.560027894763266,-16.959240048054706
basis_z2.0_lb720,long,15,86,920656,2.8848282148104567,50.07046852121985,-17.115171785189542
basis_z2.0_lb240,long,15,86,909564,2.6971697690441383,50.07872080031943,-17.302830230955863
basis_z2.0_lb240,short,240,86,863167,2.500189712013324,51.63411137827838,-17.499810287986676
basis_z2.0_lb60,long,15,86,886308,2.428638281132271,49.96076388945721,-17.571361718867728
retdiv_z3.0_lb60,long,5,86,126714,2.3956865648428507,49.73435781266575,-17.60431343515715
basis_z2.5_lb240,long,240,86,403409,2.3861176286947834,48.642718961871914,-17.613882371305216
basis_z3.0_lb240,long,5,86,185126,2.2762645979077365,50.82030772900319,-17.723735402092263
basis_z3.0_lb60,long,5,86,152307,2.2638148059679497,50.73215001061464,-17.73618519403205
retdiv_z2.0_lb60,long,30,86,835391,2.2111298571465805,49.02276548848171,-17.78887014285342
retdiv_z2.0_lb30,long,30,86,824887,2.0191915212261775,49.00438392637824,-17.980808478773824
basis_z2.5_lb720,long,5,86,412930,1.9424879847827967,50.673379578583344,-18.057512015217203
basis_z2.0_lb720,short,240,86,849674,1.874154808377353,51.637385362707086,-18.12584519162265
retdiv_z2.0_lb60,long,60,86,835328,1.8590884603042017,48.8371074581004,-18.140911539695797
retdiv_z2.0_lb60,long,15,86,835419,1.7541289089656842,48.98033844913441,-18.245871091034314
retdiv_z2.0_lb30,long,15,86,824912,1.7257234118846534,48.98222970496866,-18.274276588115345
retdiv_z2.0_lb30,long,60,86,824806,1.6993388266662883,48.7975079520128,-18.30066117333371
basis_z2.0_lb60,short,60,86,868059,1.68770863526075,51.5716838952626,-18.31229136473925
basis_z2.5_lb60,short,240,86,354368,1.654086822719546,51.45567454011086,-18.345913177280455
basis_z2.5_lb60,long,5,86,369884,1.6116577057688264,50.786757991635106,-18.388342294231173
basis_z2.5_lb240,long,5,86,403670,1.5560713176528145,50.77683457031762,-18.443928682347185
retdiv_z2.0_lb30,short,240,86,822360,1.5298117198533425,51.2158247183748,-18.470188280146658
basis_z2.0_lb720,long,240,86,920171,1.488377793447267,49.04699374519577,-18.511622206552733
basis_z2.0_lb720,long,5,86,920672,1.4747567296947424,50.528835030215845,-18.525243270305257
basis_z2.0_lb60,short,30,86,868135,1.4361209311516858,51.61420351326249,-18.563879068848316
basis_z2.0_lb240,long,5,86,909580,1.3642091518128339,50.578615085318305,-18.635790848187167
basis_z2.0_lb60,short,15,86,868172,1.3421842750681352,51.677727312085004,-18.657815724931865
retdiv_z2.0_lb60,short,240,86,832762,1.2664782846566187,51.217312657886744,-18.733521715343382
basis_z2.0_lb60,long,5,86,886325,1.2357906631963578,50.53128012730585,-18.764209336803642
basis_z2.0_lb60,short,5,86,868208,1.1528884010824112,51.526349333099745,-18.84711159891759
basis_z2.0_lb240,short,60,86,863699,1.1062077317473282,51.702360553933666,-18.89379226825267
basis_z2.5_lb60,short,5,86,354646,1.038834423296993,51.637786148318554,-18.961165576703007
retdiv_z2.0_lb60,long,5,86,835444,0.9133975905736487,49.27620218541263,-19.08660240942635
retdiv_z2.0_lb30,long,5,86,824934,0.9049831735205743,49.326725399316146,-19.095016826479426
basis_z2.5_lb60,short,15,86,354634,0.8700464322740208,51.681990855924596,-19.129953567725977
basis_z2.5_lb240,short,240,86,371679,0.8215210510171357,51.613380145605326,-19.178478948982864
basis_z2.0_lb240,short,30,86,863763,0.8200992049856266,51.73298366234476,-19.179900795014373
basis_z3.0_lb60,short,5,86,143342,0.8023686036944936,51.55245088597851,-19.197631396305507
basis_z2.0_lb240,short,5,86,863819,0.7980886871499918,51.44541108087926,-19.201911312850008
basis_z2.0_lb240,short,15,86,863789,0.7713893283956021,51.7252177865774,-19.228610671604397
basis_z2.5_lb60,short,30,86,354627,0.7415635068983183,51.56057407823499,-19.25843649310168
basis_z2.5_lb60,short,60,86,354588,0.71609282253423,51.469386169259295,-19.283907177465768
basis_z2.0_lb720,short,60,86,850226,0.5577524195629358,51.79567182668485,-19.442247580437066
basis_z2.0_lb720,short,5,86,850385,0.5427891050590353,51.485291932251755,-19.457210894940964
retdiv_z2.0_lb30,short,5,86,822877,0.5279022795004635,50.42467854643166,-19.472097720499537
basis_z2.5_lb240,short,5,86,371992,0.45550899164673786,51.69059479096378,-19.544491008353262
retdiv_z2.0_lb60,short,5,86,833264,0.4490354160294529,50.35568456767346,-19.550964583970547
basis_z2.0_lb240,long,240,86,909045,0.39453360290600153,48.704542721652956,-19.605466397094
basis_z2.0_lb720,short,15,86,850346,0.33685161035656086,51.737603499713686,-19.66314838964344
