signal,direction,horizon_m,n_symbols,total_sigs,mean_ret,mean_wr,net_fees
coiled_v0.2_oi3.0,abs_move,240,147,87121,-1.917949008738324,46.04402027878539,217.48744066436296
coiled_v0.15_oi3.0,abs_move,240,147,67636,0.966925001706879,46.09381520812242,215.83966678585202
coiled_v0.1_oi3.0,abs_move,240,147,48157,1.9481948464818766,46.03521906061651,213.8463657428426
coiled_v0.2_oi2.0,abs_move,240,148,171057,-3.1256984231111136,47.037062454035286,199.52648160732994
coiled_v0.15_oi2.0,abs_move,240,148,134003,-0.5864012309020762,47.18632535039149,198.93763536894315
coiled_v0.1_oi2.0,abs_move,240,148,96188,-0.33128255540695517,47.07020076449005,198.4845039977776
coiled_v0.2_oi1.0,abs_move,240,148,398250,-4.433274697883633,46.7365055610752,178.31102023498082
coiled_v0.15_oi1.0,abs_move,240,148,316425,-2.811065841051648,46.84918635034342,177.78392897682943
coiled_v0.1_oi1.0,abs_move,240,148,230378,-2.2957887507629238,46.9271444482739,177.63113594446048
volbreak_c0.15_x3.0_up,long,60,15,190,163.00805707873624,54.9593837535014,143.00805707873624
coiled_v0.2_oi3.0,abs_move,60,147,87121,-0.4549162187435016,47.37918343569202,88.14913157125699
coiled_v0.15_oi3.0,abs_move,60,147,67636,0.4516113304641291,47.27580683751562,86.99311103281002
coiled_v0.1_oi3.0,abs_move,60,147,48157,0.8364530589435171,47.034713537887285,86.64490968879589
volbreak_c0.2_x3.0_up,long,60,18,238,100.0125409327091,52.111390787861374,80.0125409327091
coiled_v0.2_oi2.0,abs_move,60,148,171057,0.016252022861839376,47.99070948770494,79.8670919989593
coiled_v0.15_oi2.0,abs_move,60,148,134003,1.0251801302542891,48.28956534325384,79.22382117909413
coiled_v0.1_oi2.0,abs_move,60,148,96188,1.788005784768122,48.36118966615307,78.98289178735669
volbreak_c0.15_x3.0_up,long,30,15,190,90.65902126711624,58.26131058484,70.65902126711624
coiled_v0.2_oi1.0,abs_move,60,148,398250,-0.9407134164256024,47.78519346203131,69.47348961521702
coiled_v0.15_oi1.0,abs_move,60,148,316425,-0.09469658607378943,48.041586112095665,68.86179301312748
coiled_v0.1_oi1.0,abs_move,60,148,230378,0.5012518599920707,48.185969908445784,68.4845649347465
coiled_v0.2_oi3.0,abs_move,30,147,87121,-0.789661180244063,47.38367175509966,56.05566597477871
coiled_v0.15_oi3.0,abs_move,30,147,67636,-0.4594127030522757,47.484552311249686,55.01040523474691
coiled_v0.1_oi3.0,abs_move,30,147,48157,0.1535252004972223,47.45626459858403,54.300613913772686
coiled_v0.2_oi2.0,abs_move,30,148,171057,-0.16115972092098102,47.866216154083006,49.65964649630619
volbreak_c0.15_x3.0_up,long,15,15,190,69.22278096723903,54.040955776249895,49.22278096723903
coiled_v0.15_oi2.0,abs_move,30,148,134003,0.18425053436665523,48.08805347522068,48.8473194207905
coiled_v0.1_oi2.0,abs_move,30,148,96188,0.5876247634755652,48.073969785245026,48.27402257024419
coiled_v0.2_oi1.0,abs_move,30,148,398250,-0.4373720237598017,47.9342283227689,42.26092071534573
coiled_v0.15_oi1.0,abs_move,30,148,316425,-0.04831510722167678,48.105567444099925,41.606787863715795
coiled_v0.1_oi1.0,abs_move,30,148,230378,0.3514363773786729,48.163436775958395,40.97498093835927
coiled_v0.2_oi3.0,abs_move,15,147,87121,-1.0135903717216406,47.34445875191134,33.331085676101495
coiled_v0.15_oi3.0,abs_move,15,147,67636,-0.9181812217802697,47.38030724228121,32.79005919365208
coiled_v0.1_oi3.0,abs_move,15,147,48157,-0.5549271271649844,47.41691041567533,31.936361658002262
coiled_v0.2_oi2.0,abs_move,15,148,171057,-0.4009086019232752,47.83061073989267,28.77391441042373
coiled_v0.15_oi2.0,abs_move,15,148,134003,-0.3397569320570043,47.904754614796204,28.207189004739043
coiled_v0.1_oi2.0,abs_move,15,148,96188,-0.1394594068624277,47.8981556156997,27.57377977348873
coiled_v0.2_oi1.0,abs_move,15,148,398250,-0.2793677371407089,47.84414779870973,23.47405085677476
volbreak_c0.2_x3.0_up,long,30,18,238,43.088707538939545,54.03914168620051,23.088707538939545
coiled_v0.15_oi1.0,abs_move,15,148,316425,-0.19606192745809115,47.90658016208988,22.971654385483756
coiled_v0.1_oi1.0,abs_move,15,148,230378,0.040004054820512794,47.99245320730478,22.32099240084901
volbreak_c0.2_x3.0_up,long,15,18,238,29.384067372648012,50.49463064168947,9.384067372648015
volbreak_c0.15_x2.0_dn,short,240,143,6216,27.057986971098977,51.095885138962586,7.057986971098977
volbreak_c0.2_x2.0_dn,short,240,143,7365,23.737548483334212,52.33012109315063,3.7375484833342134
volbreak_c0.15_x2.0_dn,short,15,143,6216,13.905210597249402,49.524879150206765,-6.094789402750597
volbreak_c0.15_x2.0_dn,short,30,143,6216,11.521102874281173,46.23987895634505,-8.478897125718827
coiled_v0.1_oi3.0_momup,long,240,147,21632,8.419426749067073,45.90534069319988,-11.580573250932927
volbreak_c0.2_x2.0_dn,short,15,143,7365,8.179704930312955,49.047028073322686,-11.820295069687047
coiled_v0.2_oi1.0_momdn,short,240,148,171217,8.164204656257557,52.4997468491517,-11.835795343742443
coiled_v0.15_oi1.0_momdn,short,240,148,135425,6.341332788945824,52.367721541751486,-13.658667211054176
coiled_v0.2_oi2.0_momdn,short,240,148,74373,5.722077583008155,52.130882051400626,-14.277922416991846
coiled_v0.1_oi1.0_momdn,short,240,148,98348,5.7131339304664825,52.24292972755719,-14.286866069533517
coiled_v0.1_oi2.0_momdn,short,240,148,41613,4.861585024402709,52.20128704178523,-15.138414975597293
coiled_v0.2_oi3.0_momdn,short,240,146,38130,4.31508319762548,53.26358533514695,-15.68491680237452
coiled_v0.1_oi3.0_momdn,short,240,146,20941,4.211587518192107,53.86214119766215,-15.788412481807894
coiled_v0.15_oi2.0_momdn,short,240,148,58107,4.052259217798535,52.05467603525853,-15.947740782201464
coiled_v0.1_oi2.0_momup,long,240,148,42466,3.944074976247105,46.405102373095716,-16.055925023752895
coiled_v0.15_oi3.0_momup,long,240,147,30650,3.5550383101093845,45.53565721580637,-16.44496168989062
volbreak_c0.2_x2.0_dn,short,30,143,7365,2.6287362676950434,46.00172088197523,-17.371263732304957
coiled_v0.1_oi2.0_momup,long,60,148,42466,2.625208039156817,47.079627012054544,-17.374791960843183
coiled_v0.15_oi2.0_momup,long,240,148,59635,2.3474637747153917,46.542883146373185,-17.65253622528461
coiled_v0.15_oi3.0_momdn,short,240,146,29489,2.1925531390114754,53.319362712043066,-17.807446860988524
oipricediv_p100_oi5.0_accum,long,30,148,92551,1.6414827642446448,48.80322915389738,-18.358517235755354
coiled_v0.1_oi3.0_momup,long,60,147,21632,1.6246758443443257,45.41593317314762,-18.375324155655672
volbreak_c0.15_x2.0_dn,short,60,143,6216,1.47971462433972,44.01487886698771,-18.520285375660283
coiled_v0.1_oi1.0_momup,long,60,148,99159,1.182192458586492,46.33879355222323,-18.817807541413508
