signal,horizon_m,n_pairs,total_sigs,mean_ret,mean_wr,net_fees,avg_corr
momdiv_5m_gt150,240,28,16512,105.9022515246937,54.685044090654756,65.9022515246937,0.7284421752920088
momdiv_5m_gt150,60,28,16518,98.45732721088518,56.61287781754243,58.457327210885175,0.7284421752920088
momdiv_5m_gt150,30,28,16518,80.69279650942373,55.85690815541233,40.69279650942374,0.7284421752920088
momdiv_5m_gt150,15,28,16518,51.29753418271975,54.52491072743324,11.297534182719755,0.7284421752920088
momdiv_15m_gt150,240,28,78965,44.79256341838569,53.647780975703675,4.792563418385692,0.7284421752920088
momdiv_15m_gt150,60,28,78990,43.41501859338662,55.880188176776734,3.415018593386623,0.7284421752920088
momdiv_15m_gt150,30,28,78990,35.16577634266921,55.63848796870063,-4.8342236573307895,0.7284421752920088
momdiv_5m_gt100,60,28,54499,34.2522446927684,54.52443319222509,-5.747755307231601,0.7284421752920088
momdiv_5m_gt100,240,28,54491,32.941191028131975,52.899308348373026,-7.058808971868024,0.7284421752920088
momdiv_5m_gt100,30,28,54499,27.23535112965268,54.85870962873948,-12.764648870347319,0.7284421752920088
momdiv_30m_gt150,240,28,191854,22.668528763510636,53.76449786022472,-17.331471236489364,0.7284421752920088
momdiv_15m_gt150,15,28,78990,21.364139415706745,54.37379730956063,-18.635860584293255,0.7284421752920088
momdiv_30m_gt150,60,28,191903,20.604856837822812,54.720186375194636,-19.395143162177188,0.7284421752920088
momdiv_5m_gt100,15,28,54499,18.255250278654056,54.59209956109886,-21.744749721345947,0.7284421752920088
momdiv_30m_gt150,30,28,191920,16.699788907086834,54.22435011203451,-23.300211092913166,0.7284421752920088
spread_z3.0_lb240,240,28,207101,15.906655610026307,56.26311829859616,-24.09334438997369,0.7284421752920088
momdiv_15m_gt100,240,28,228454,14.891852583594002,52.91981760738503,-25.108147416405995,0.7284421752920088
momdiv_15m_gt100,60,28,228516,14.86456205453402,53.97275976051672,-25.13543794546598,0.7284421752920088
spread_z3.0_lb60,240,28,138612,14.027261868085871,54.51493772605783,-25.97273813191413,0.7284421752920088
spread_z3.0_lb720,240,28,232961,12.08358881938557,56.748710644597175,-27.916411180614432,0.7284421752920088
momdiv_15m_gt100,30,28,228522,11.19246608369779,53.84423792847308,-28.807533916302212,0.7284421752920088
momdiv_30m_gt150,15,28,191920,10.993262197003107,53.57347312132315,-29.006737802996895,0.7284421752920088
