week,idea4_n,idea4_mean,idea4_net,idea5_n,idea5_mean,idea5_net
2024-01-01,7,853.043237387668,833.043237387668,1,660.4784515809458,640.4784515809458
2024-01-08,7,21.16730355065258,1.16730355065258,0,,
2024-01-15,0,,,0,,
2024-01-22,0,,,0,,
2024-01-29,0,,,0,,
2024-02-05,0,,,0,,
2024-02-12,0,,,0,,
2024-02-19,0,,,0,,
2024-02-26,21,-116.10374488647983,-136.10374488647983,0,,
2024-03-04,7,581.9610101597734,561.9610101597734,0,,
2024-03-11,0,,,0,,
2024-03-18,0,,,0,,
2024-03-25,0,,,0,,
2024-04-01,0,,,0,,
2024-04-08,14,423.2766459069774,403.2766459069774,0,,
2024-04-15,0,,,0,,
2024-04-22,0,,,0,,
2024-04-29,0,,,0,,
2024-05-06,0,,,0,,
2024-05-13,7,154.9461480607677,134.9461480607677,0,,
2024-05-20,0,,,0,,
2024-05-27,0,,,0,,
2024-06-03,0,,,0,,
2024-06-10,7,208.6096375445894,188.6096375445894,0,,
2024-06-17,0,,,0,,
2024-06-24,0,,,0,,
2024-07-01,0,,,0,,
2024-07-08,0,,,0,,
2024-07-15,0,,,0,,
2024-07-22,7,-0.9983199347537618,-20.998319934753763,0,,
2024-07-29,0,,,0,,
2024-08-05,35,257.2400339569044,237.24003395690443,0,,
2024-08-12,0,,,0,,
2024-08-19,0,,,0,,
2024-08-26,0,,,0,,
2024-09-02,0,,,0,,
2024-09-09,0,,,0,,
2024-09-16,0,,,0,,
2024-09-23,0,,,0,,
2024-09-30,0,,,0,,
2024-10-07,0,,,0,,
2024-10-14,0,,,0,,
2024-10-21,0,,,0,,
2024-10-28,0,,,0,,
2024-11-04,7,-7.389436078121734,-27.389436078121733,0,,
2024-11-11,0,,,0,,
2024-11-18,0,,,0,,
2024-11-25,0,,,0,,
2024-12-02,14,112.3509065958125,92.3509065958125,0,,
2024-12-09,7,514.3231118154908,494.32311181549085,0,,
2024-12-16,0,,,0,,
2024-12-23,0,,,0,,
2024-12-30,0,,,1,-77.3361976369491,-97.3361976369491
2025-01-06,0,,,2,-17.4227391096371,-37.4227391096371
2025-01-13,0,,,4,61.61925134979456,41.61925134979456
2025-01-20,76,2.183572637631205,-17.816427362368795,7,23.670535213012403,3.6705352130124034
2025-01-27,19,-92.46009563165879,-112.46009563165879,5,109.42380042040823,89.42380042040823
2025-02-03,38,549.68826188643,529.68826188643,20,113.37014358029474,93.37014358029474
2025-02-10,0,,,15,126.95839726766037,106.95839726766037
2025-02-17,0,,,15,79.68861068380438,59.688610683804384
2025-02-24,19,88.73528485373969,68.73528485373969,99,-9.784497485989624,-29.784497485989625
2025-03-03,19,-16.516566828898895,-36.516566828898895,71,-13.092482453461754,-33.092482453461756
2025-03-10,0,,,49,-34.01284058610916,-54.01284058610916
2025-03-17,0,,,6,10.029827304439502,-9.970172695560498
2025-03-24,0,,,6,15.931842348250548,-4.068157651749452
2025-03-31,19,-679.1507296006482,-699.1507296006482,9,-94.34111162357878,-114.34111162357878
2025-04-07,38,283.8041140148331,263.8041140148331,30,48.93218332187045,28.932183321870447
2025-04-14,0,,,15,0.7905245820833234,-19.209475417916675
2025-04-21,19,84.23091066459597,64.23091066459597,12,8.782522958984318,-11.217477041015682
2025-04-28,0,,,9,109.19810549886469,89.19810549886469
2025-05-05,0,,,16,66.86086630385918,46.86086630385918
2025-05-12,0,,,23,3.1480086102172877,-16.85199138978271
2025-05-19,0,,,17,69.12214530911486,49.122145309114856
2025-05-26,0,,,14,-38.20743028956209,-58.20743028956209
2025-06-02,0,,,4,-2.545323772371315,-22.545323772371315
2025-06-09,0,,,9,-62.27036316143605,-82.27036316143605
2025-06-16,0,,,11,-35.63121156775737,-55.63121156775737
2025-06-23,0,,,4,122.52638423250251,102.52638423250251
2025-06-30,0,,,0,,
2025-07-07,19,192.52137051084614,172.52137051084614,2,1.9503421821132072,-18.049657817886793
2025-07-14,0,,,4,-107.11904348312206,-127.11904348312206
2025-07-21,0,,,6,-21.437739916637298,-41.4377399166373
2025-07-28,0,,,7,-32.54067181170003,-52.54067181170003
2025-08-04,0,,,0,,
2025-08-11,0,,,0,,
2025-08-18,0,,,0,,
2025-08-25,0,,,0,,
2025-09-01,0,,,0,,
2025-09-08,0,,,0,,
2025-09-15,0,,,1,24.968789013732895,4.968789013732895
2025-09-22,0,,,0,,
2025-09-29,0,,,4,-42.674115637331695,-62.674115637331695
2025-10-06,19,4253.170052549169,4233.170052549169,77,1746.6334113299442,1726.6334113299442
2025-10-13,0,,,20,11.634078526758127,-8.365921473241873
2025-10-20,0,,,8,24.221809131010904,4.221809131010904
2025-10-27,0,,,28,-30.75441639163052,-50.75441639163052
2025-11-03,0,,,43,61.357485711390815,41.357485711390815
2025-11-10,0,,,19,-75.87730072338086,-95.87730072338086
2025-11-17,0,,,77,-65.93652693054145,-85.93652693054145
2025-11-24,0,,,45,68.1999652372602,48.1999652372602
2025-12-01,0,,,57,-21.289673611838,-41.289673611838
2025-12-08,0,,,57,-19.16941714490405,-39.169417144904045
2025-12-15,19,-607.4211527198777,-627.4211527198777,78,-3.306169704466107,-23.306169704466107
2025-12-22,0,,,57,32.59492263205709,12.594922632057092
2025-12-29,0,,,28,37.89158164411955,17.891581644119547
2026-01-05,0,,,20,-28.431134306544756,-48.431134306544756
2026-01-12,19,30.428099697830056,10.428099697830056,18,2.8560059385150804,-17.143994061484918
2026-01-19,0,,,15,46.14334109808072,26.143341098080718
2026-01-26,19,175.00456781628205,155.00456781628205,47,1.6506592732687113,-18.34934072673129
2026-02-02,57,-69.89838389907582,-89.89838389907582,120,-3.0497791914515555,-23.049779191451556
2026-02-09,0,,,44,11.485361832203415,-8.514638167796585
2026-02-16,0,,,41,24.331047504981072,4.331047504981072
2026-02-23,19,-79.34753084806636,-99.34753084806636,57,-51.50487702007597,-71.50487702007598
2026-03-02,0,,,22,-4.826858999065414,-24.826858999065415
