symbol,gross_bps,sig_str,hold,entry_time,exit_time,exit_reason,net_tk,net_mk,month,sig_bucket
2ZUSDT,3290.8687205106867,5.088781721671946,7,2025-10-10 21:20:00,2025-10-10 21:55:00,cross,3270.8687205106867,3282.8687205106867,2025-10,5-7
2ZUSDT,350.02645036148914,4.478938650837621,3,2026-01-26 10:05:00,2026-01-26 10:20:00,cross,330.02645036148914,342.02645036148914,2026-01,4-5
0GUSDT,-369.81064983554137,4.558157186579166,10,2025-10-10 21:45:00,2025-10-10 22:35:00,cross,-389.81064983554137,-377.81064983554137,2025-10,4-5
AAVEUSDT,-20.432148991951227,4.052761994479076,6,2025-07-03 15:30:00,2025-07-03 16:00:00,cross,-40.43214899195122,-28.432148991951227,2025-07,4-5
AAVEUSDT,8048.130640309412,5.383503154745275,6,2025-10-10 21:15:00,2025-10-10 21:45:00,reversal,8028.130640309412,8040.130640309412,2025-10,5-7
AAVEUSDT,222.60236419062497,4.141173639659957,9,2025-10-31 19:45:00,2025-10-31 20:30:00,cross,202.60236419062497,214.60236419062497,2025-10,4-5
AAVEUSDT,-151.33601324190172,4.332584046379929,11,2025-11-02 16:30:00,2025-11-02 17:25:00,cross,-171.33601324190172,-159.33601324190172,2025-11,4-5
AAVEUSDT,-101.41987829614618,4.332241817198621,5,2025-11-30 03:55:00,2025-11-30 04:20:00,cross,-121.41987829614618,-109.41987829614618,2025-11,4-5
AEROUSDT,-111.35589825756131,4.142312242047541,5,2025-09-15 14:25:00,2025-09-15 14:50:00,cross,-131.3558982575613,-119.35589825756131,2025-09,4-5
1000BONKUSDT,197.57315010129116,5.895059363563089,24,2025-07-11 01:05:00,2025-07-11 03:05:00,maxhold,177.57315010129116,189.57315010129116,2025-07,5-7
1000BONKUSDT,-66.89470038101719,4.120039528199381,24,2025-09-20 17:45:00,2025-09-20 19:45:00,maxhold,-86.89470038101719,-74.89470038101719,2025-09,4-5
1000BONKUSDT,6728.192914557907,9.99569646916515,6,2025-10-10 21:15:00,2025-10-10 21:45:00,reversal,6708.192914557907,6720.192914557907,2025-10,7+
1000BONKUSDT,2132.8494648353158,7.373482496003772,18,2025-10-10 22:00:00,2025-10-10 23:30:00,cross,2112.8494648353158,2124.8494648353158,2025-10,7+
1000RATSUSDT,-410.7648725212443,4.068416944609744,6,2025-08-16 03:30:00,2025-08-16 04:00:00,cross,-430.7648725212443,-418.7648725212443,2025-08,4-5
1000RATSUSDT,-234.55993113836726,4.617869806583388,13,2025-09-23 04:00:00,2025-09-23 05:05:00,cross,-254.55993113836726,-242.55993113836726,2025-09,4-5
1000RATSUSDT,-6127.790608160124,5.200274171094462,3,2025-10-10 21:10:00,2025-10-10 21:25:00,cross,-6147.790608160124,-6135.790608160124,2025-10,5-7
ADAUSDT,59.60993113027335,4.465312323114601,3,2025-09-17 17:55:00,2025-09-17 18:10:00,cross,39.60993113027335,51.60993113027335,2025-09,4-5
ADAUSDT,-3035.5896720167484,5.773841062611127,7,2025-10-10 20:55:00,2025-10-10 21:30:00,cross,-3055.5896720167484,-3043.5896720167484,2025-10,5-7
ADAUSDT,912.6444595513261,4.079272220007838,20,2025-10-10 21:45:00,2025-10-10 23:25:00,cross,892.6444595513261,904.6444595513261,2025-10,4-5
1000PEPEUSDT,10584.32727329571,10.529186289442077,23,2025-10-10 21:15:00,2025-10-10 23:10:00,cross,10564.32727329571,10576.32727329571,2025-10,7+
1000PEPEUSDT,234.85933719348262,4.389688270388913,5,2025-11-21 07:30:00,2025-11-21 07:55:00,cross,214.85933719348262,226.85933719348262,2025-11,4-5
AIXBTUSDT,-6027.59876716167,7.3947663113652835,6,2025-10-10 20:55:00,2025-10-10 21:25:00,reversal,-6047.59876716167,-6035.59876716167,2025-10,7+
ANIMEUSDT,7476.007677543186,6.208857310842396,19,2025-10-10 21:20:00,2025-10-10 22:55:00,cross,7456.007677543186,7468.007677543186,2025-10,5-7
ASTERUSDT,147.09848243398937,4.186324095346829,4,2025-09-27 17:15:00,2025-09-27 17:35:00,cross,127.09848243398937,139.09848243398937,2025-09,4-5
ASTERUSDT,-260.6053951173093,4.968481429999686,20,2025-10-10 21:30:00,2025-10-10 23:10:00,cross,-280.6053951173093,-268.6053951173093,2025-10,4-5
ASTERUSDT,1215.6073243217347,5.142016023939544,7,2025-11-02 14:30:00,2025-11-02 15:05:00,cross,1195.6073243217347,1207.6073243217347,2025-11,5-7
ALCHUSDT,-599.1874227168358,4.4984874206949375,6,2025-07-03 01:55:00,2025-07-03 02:25:00,cross,-619.1874227168358,-607.1874227168358,2025-07,4-5
ALCHUSDT,634.4746471510709,4.029197696410838,13,2025-10-09 04:25:00,2025-10-09 05:30:00,cross,614.4746471510709,626.4746471510709,2025-10,4-5
ALCHUSDT,-403.27425653349235,4.383523386478342,6,2025-10-10 21:10:00,2025-10-10 21:40:00,reversal,-423.27425653349235,-411.27425653349235,2025-10,4-5
ALCHUSDT,86.35945352870378,5.476860324286707,12,2025-10-10 21:55:00,2025-10-10 22:55:00,cross,66.35945352870378,78.35945352870378,2025-10,5-7
ALCHUSDT,1672.8883927013926,4.697411076499097,24,2025-11-29 19:30:00,2025-11-29 21:30:00,maxhold,1652.8883927013926,1664.8883927013926,2025-11,4-5
ALCHUSDT,352.48799535644525,4.375996625735279,7,2026-02-03 21:50:00,2026-02-03 22:25:00,cross,332.48799535644525,344.48799535644525,2026-02,4-5
APTUSDT,-757.0689844867429,4.042455200635838,3,2025-10-10 20:55:00,2025-10-10 21:10:00,cross,-777.0689844867429,-765.0689844867429,2025-10,4-5
APTUSDT,1866.2243977843618,6.3261691591818145,21,2025-10-10 21:25:00,2025-10-10 23:10:00,cross,1846.2243977843618,1858.2243977843618,2025-10,5-7
ARCUSDT,-867.0066692820699,4.690680351301962,6,2025-10-10 21:15:00,2025-10-10 21:45:00,cross,-887.0066692820699,-875.0066692820699,2025-10,4-5
ARCUSDT,-747.5940073419973,4.218365332670919,24,2026-02-13 14:55:00,2026-02-13 16:55:00,maxhold,-767.5940073419973,-755.5940073419973,2026-02,4-5
ARBUSDT,-2298.4869325997247,5.458516712551143,24,2025-10-10 20:55:00,2025-10-10 22:55:00,maxhold,-2318.4869325997247,-2306.4869325997247,2025-10,5-7
AVNTUSDT,6957.870672762898,7.6952895933321965,7,2025-10-10 21:20:00,2025-10-10 21:55:00,cross,6937.870672762898,6949.870672762898,2025-10,7+
ATHUSDT,-2653.8081107814037,4.1219549574223375,6,2025-10-10 20:55:00,2025-10-10 21:25:00,cross,-2673.8081107814037,-2661.8081107814037,2025-10,4-5
ATOMUSDT,5829.583802024745,4.66535966368237,11,2025-10-10 21:15:00,2025-10-10 22:10:00,cross,5809.583802024745,5821.583802024745,2025-10,4-5
AUCTIONUSDT,9075.704225352114,8.151190661957472,6,2025-10-10 21:20:00,2025-10-10 21:50:00,cross,9055.704225352114,9067.704225352114,2025-10,7+
AXSUSDT,4237.456532538502,7.197075482097822,6,2025-10-10 21:15:00,2025-10-10 21:45:00,reversal,4217.456532538502,4229.456532538502,2025-10,7+
AVAXUSDT,-2850.2241434518096,4.137484305611192,6,2025-10-10 20:55:00,2025-10-10 21:25:00,reversal,-2870.2241434518096,-2858.2241434518096,2025-10,4-5
AVAXUSDT,-553.0006635092766,6.327368276240164,14,2025-10-10 21:40:00,2025-10-10 22:50:00,cross,-573.0006635092766,-561.0006635092766,2025-10,5-7
AVAXUSDT,57.40217587305585,4.571467759813041,14,2025-11-03 15:25:00,2025-11-03 16:35:00,cross,37.40217587305585,49.40217587305585,2025-11,4-5
AVAXUSDT,70.89480743437626,5.249970220994069,3,2025-11-21 07:30:00,2025-11-21 07:45:00,cross,50.89480743437626,62.89480743437626,2025-11,5-7
BARDUSDT,-116.68567290179399,5.228217996518578,12,2025-10-01 13:15:00,2025-10-01 14:15:00,cross,-136.685672901794,-124.68567290179399,2025-10,5-7
BARDUSDT,-4726.9576838800895,5.468899091240542,4,2025-10-10 20:55:00,2025-10-10 21:15:00,cross,-4746.9576838800895,-4734.9576838800895,2025-10,5-7
BARDUSDT,4237.162991194065,5.829160075750005,24,2025-10-10 21:30:00,2025-10-10 23:30:00,maxhold,4217.162991194065,4229.162991194065,2025-10,5-7
BARDUSDT,-21.163218739445043,4.009018896674664,3,2025-11-20 19:30:00,2025-11-20 19:45:00,cross,-41.16321873944504,-29.163218739445043,2025-11,4-5
BARDUSDT,9.798334977970669,4.258856448195001,24,2025-11-23 16:40:00,2025-11-23 18:40:00,cross,-10.201665022029331,1.7983349779706685,2025-11,4-5
BANUSDT,1101.1679053541634,11.945714457991306,16,2025-10-10 21:25:00,2025-10-10 22:45:00,cross,1081.1679053541634,1093.1679053541634,2025-10,7+
