config,fee,n,nsym,avg_gross,avg_net,wr,pf,total,pos_m,tot_m,no_oct_n,no_oct_wr,no_oct_avg,no_oct_pf
S1_meanrev_thr3.0_h12,taker,759,113,269.6748244571554,249.6748244571554,0.4993412384716733,1.8278740719448034,189503.19176298095,6,9,537,0.4860335195530726,9.76814820429206,1.097974630184885
S1_meanrev_thr3.0_h12,maker,759,113,269.6748244571554,261.6748244571554,0.5401844532279315,1.8846547632664823,198611.19176298095,7,9,537,0.5381750465549349,21.768148204292054,1.2320771828545318
S1_meanrev_thr3.0_h24,taker,753,113,309.58939447375263,289.58939447375263,0.50066401062417,1.9491029066201584,218060.81403873573,6,9,532,0.4830827067669173,13.169166493585369,1.1283423264901982
S1_meanrev_thr3.0_h24,maker,753,113,309.58939447375263,301.58939447375263,0.5418326693227091,2.007518236769805,227096.81403873573,6,9,532,0.5338345864661654,25.16916649358537,1.2604192278884605
S1_meanrev_thr3.5_h12,taker,388,111,796.761872677632,776.7618726776319,0.5515463917525774,2.8690518820407447,301383.6065989212,5,9,222,0.5045045045045045,15.02490333970468,1.125705362931895
S1_meanrev_thr3.5_h12,maker,388,111,796.761872677632,788.761872677632,0.5824742268041238,2.9221352161670304,306039.60659892124,6,9,222,0.5495495495495496,27.024903339704675,1.2374531034842848
S1_meanrev_thr3.5_h24,taker,383,111,862.7715288538477,842.7715288538477,0.5535248041775457,2.9501512331283175,322781.4955510237,5,9,221,0.49321266968325794,14.270007253206582,1.1030721012745892
S1_meanrev_thr3.5_h24,maker,383,111,862.7715288538477,854.7715288538477,0.5900783289817232,3.0020633999409005,327377.4955510237,6,9,221,0.5475113122171946,26.27000725320658,1.1981239892965252
S1_meanrev_thr4.0_h12,taker,238,105,1356.8771414642208,1336.8771414642208,0.6176470588235294,3.6819477383929073,318176.75966848456,5,9,100,0.52,-49.045919127428085,0.7285295935686219
S1_meanrev_thr4.0_h12,maker,238,105,1356.8771414642208,1348.8771414642208,0.6302521008403361,3.7307395297829875,321032.75966848456,5,9,100,0.54,-37.0459191274281,0.7883579581841805
S1_meanrev_thr4.0_h24,taker,236,105,1523.3457541318621,1503.3457541318621,0.6186440677966102,3.989034493991872,354789.5979751195,4,9,100,0.51,-48.877479355266026,0.743142387285817
S1_meanrev_thr4.0_h24,maker,236,105,1523.3457541318621,1515.3457541318621,0.6440677966101694,4.03988682899726,357621.5979751195,4,9,100,0.56,-36.877479355266026,0.8002539657830477
S2_volcond_thr2.0_vol1.3_h24,taker,4090,116,31.841963264473414,11.841963264473412,0.4212713936430318,1.0960466842845389,48433.62975169625,4,9,3458,0.4181607865818392,-4.675633567727865,0.9393879971876347
S2_volcond_thr2.0_vol1.3_h24,maker,4090,116,31.841963264473414,23.841963264473414,0.47555012224938875,1.2043759294064205,97513.62975169627,5,9,3458,0.47368421052631576,7.324366432272135,1.1039321106474071
S2_volcond_thr2.0_vol1.5_h24,taker,2658,116,57.69946749545323,37.69946749545323,0.43867569601203915,1.2486820361266175,100205.18460291467,5,9,2209,0.43911272068809415,2.0760694673869566,1.0247868844903536
S2_volcond_thr2.0_vol1.5_h24,maker,2658,116,57.69946749545323,49.69946749545323,0.48758465011286684,1.342433873477423,132101.18460291467,5,9,2209,0.49117247623358984,14.07606946738696,1.1820480079041118
S2_volcond_thr2.0_vol2.0_h24,taker,748,114,305.38684498532774,285.38684498532774,0.5187165775401069,2.031215573942535,213469.36004902516,5,9,558,0.5089605734767025,14.857115476847577,1.1456316015497754
S2_volcond_thr2.0_vol2.0_h24,maker,748,114,305.38684498532774,297.38684498532774,0.5494652406417112,2.0966497770951027,222445.36004902516,6,9,558,0.546594982078853,26.857115476847575,1.2786791820351824
S2_volcond_thr2.5_vol1.3_h24,taker,1191,115,212.2625863681141,192.2625863681141,0.4811083123425693,1.881633580834905,228984.7403644239,7,9,942,0.47770700636942676,23.489506993834727,1.2498972263696013
S2_volcond_thr2.5_vol1.3_h24,maker,1191,115,212.2625863681141,204.2625863681141,0.5163727959697733,1.9633726088437216,243276.7403644239,7,9,942,0.5191082802547771,35.48950699383472,1.4035758322131366
S2_volcond_thr2.5_vol1.5_h24,taker,914,115,286.4650352664825,266.4650352664825,0.48468271334792123,2.067633924186946,243549.042233565,7,9,699,0.47782546494992845,23.89316183294296,1.2514095657218554
S2_volcond_thr2.5_vol1.5_h24,maker,914,115,286.4650352664825,278.4650352664825,0.5196936542669585,2.143261622248111,254517.042233565,7,9,699,0.5178826895565093,35.89316183294296,1.403464410890978
S2_volcond_thr2.5_vol2.0_h24,taker,424,113,769.3449535399122,749.3449535399122,0.5778301886792453,3.1894817629702072,317722.2603009228,6,9,282,0.549645390070922,27.714569419446736,1.2538840292583855
S2_volcond_thr2.5_vol2.0_h24,maker,424,113,769.3449535399122,761.3449535399122,0.5966981132075472,3.257229879805296,322810.2603009228,6,9,282,0.5780141843971631,39.71456941944674,1.38215143658908
S2_volcond_thr3.0_vol1.3_h24,taker,489,113,480.92796325161663,460.92796325161663,0.4867075664621677,2.1849881194268232,225393.77403004054,5,9,324,0.47530864197530864,-11.983900660489713,0.9078855409910275
S2_volcond_thr3.0_vol1.3_h24,maker,489,113,480.92796325161663,472.92796325161663,0.5214723926380368,2.234889270000157,231261.77403004054,5,9,324,0.5216049382716049,0.01609933951028695,1.0001298261522062
S2_volcond_thr3.0_vol1.5_h24,taker,436,113,543.8555082881172,523.8555082881172,0.4954128440366973,2.281937659718749,228401.00161361913,4,9,281,0.47330960854092524,-9.94359829130085,0.9172625938560311
S2_volcond_thr3.0_vol1.5_h24,maker,436,113,543.8555082881172,535.8555082881172,0.5321100917431193,2.3304575615273797,233633.00161361913,5,9,281,0.5231316725978647,2.0564017086991506,1.0180244965541378
S2_volcond_thr3.0_vol2.0_h24,taker,257,106,1290.588476867295,1270.588476867295,0.5914396887159533,3.5806610500987963,326541.2385548948,3,8,136,0.5367647058823529,0.33891781456730663,1.0023666802403706
S2_volcond_thr3.0_vol2.0_h24,maker,257,106,1290.588476867295,1282.588476867295,0.6147859922178989,3.6306258997502905,329625.2385548948,3,8,136,0.5808823529411765,12.338917814567303,1.0895042595887467
S3_momentum_lb12_thr10,taker,121840,116,2.7829764666962222,-17.217023533303777,0.37643630991464216,0.6928397163525426,-2097722.147297732,0,9,105673,0.3752330301969283,-19.03517633770689,0.6506443358072717
S3_momentum_lb12_thr10,maker,121840,116,2.7829764666962222,-5.217023533303778,0.4419156270518713,0.8934357192546465,-635642.1472977323,1,9,105673,0.44174008497913375,-7.035176337706887,0.8515281472337815
S3_momentum_lb12_thr20,taker,32612,116,10.55783133597904,-9.44216866402096,0.39338280387587393,0.8667685005684276,-307928.00447105156,1,9,27380,0.38845872899926953,-18.177545401212377,0.7350640797217979
S3_momentum_lb12_thr20,maker,32612,116,10.55783133597904,2.557831335979039,0.4500490616950816,1.0400133594819478,83415.99552894842,3,9,27380,0.4472972972972973,-6.177545401212379,0.8997391876121402
S3_momentum_lb12_thr30,taker,11321,116,30.023507919761432,10.02350791976143,0.41047610635102905,1.1135791623668305,113476.13315961914,2,9,9300,0.4,-16.2369522162116,0.8131530840065029
S3_momentum_lb12_thr30,maker,11321,116,30.023507919761432,22.023507919761432,0.4560551188057592,1.2704264347987893,249328.13315961917,5,9,9300,0.4483870967741935,-4.236952216211597,0.9470210174157907
S3_momentum_lb24_thr10,taker,122239,116,3.061888844852924,-16.938111155147077,0.37659012262862096,0.6955496600332405,-2070497.7694940234,0,9,105978,0.37555907829926966,-18.782585193006593,0.6540178522106103
S3_momentum_lb24_thr10,maker,122239,116,3.061888844852924,-4.938111155147076,0.4416511915182552,0.8982655954870754,-603629.7694940234,2,9,105978,0.44141236860480476,-6.782585193006593,0.8562564948739811
S3_momentum_lb24_thr20,taker,32875,116,10.615806822588379,-9.384193177411621,0.39327756653992396,0.8686034073483117,-308505.35070740705,1,9,27654,0.3901063137339987,-17.723435486253898,0.7429372292786209
S3_momentum_lb24_thr20,maker,32875,116,10.615806822588379,2.6158068225883775,0.448,1.0405753212659874,85994.6492925929,2,9,27654,0.4458667823822955,-5.723435486253898,0.9076262421697441
S3_momentum_lb24_thr30,taker,11644,116,26.903464572902163,6.903464572902166,0.41265888010992785,1.0744671710235048,80383.94148687282,2,9,9616,0.4082778702163062,-15.786109998210517,0.8217071587942676
S3_momentum_lb24_thr30,maker,11644,116,26.903464572902163,18.903464572902163,0.4583476468567503,1.2199830515645609,220111.9414868728,4,9,9616,0.45538685524126454,-3.786109998210517,0.9536684376759621
S3_momentum_lb6_thr10,taker,134798,116,2.9535884774926298,-17.04641152250737,0.3729061262036529,0.6821461820065399,-2297822.1804109486,0,9,116901,0.3710661157731756,-19.256506001377495,0.6325635370679059
S3_momentum_lb6_thr10,maker,134798,116,2.9535884774926298,-5.04641152250737,0.44030326859448954,0.8914740529302394,-680246.1804109485,1,9,116901,0.43913225720909144,-7.256506001377496,0.8396716966606426
S3_momentum_lb6_thr20,taker,33973,116,10.455260882495505,-9.544739117504495,0.3921643658199158,0.8604184570223488,-324263.4220389802,1,9,28410,0.38732840549102426,-18.06669143147402,0.725453485259588
S3_momentum_lb6_thr20,maker,33973,116,10.455260882495505,2.455260882495507,0.449827804432932,1.0399709644091324,83412.57796101985,1,9,28410,0.4458641323477649,-6.0666914314740215,0.896828149856064
S3_momentum_lb6_thr30,taker,11662,116,25.82501500169028,5.825015001690281,0.4059338020922655,1.0665991044178498,67931.32494971206,1,9,9566,0.3950449508676563,-20.686628587644524,0.7571959138814969
S3_momentum_lb6_thr30,maker,11662,116,25.82501500169028,17.825015001690282,0.45463899845652544,1.221088788086029,207875.32494971209,2,9,9566,0.44595442191093454,-8.686628587644524,0.8889796022141082
S4_takerflow_ft1.0_pd3,taker,88649,116,-0.20459407600318774,-20.204594076003186,0.32965966903179955,0.5643962129396483,-1791117.0602436063,0,9,77235,0.3285686541075937,-19.41562530135193,0.5680268951542244
S4_takerflow_ft1.0_pd3,maker,88649,116,-0.20459407600318774,-8.204594076003188,0.40587034258705684,0.7884327120227341,-727329.0602436066,0,9,77235,0.404920049200492,-7.415625301351933,0.801360191944727
S4_takerflow_ft1.0_pd5,taker,59895,115,-0.654422621528347,-20.65442262152835,0.3357542365806829,0.5885678403588999,-1237096.6429164405,0,9,51906,0.3335837860748276,-19.782298478122218,0.5912951274113796
S4_takerflow_ft1.0_pd5,maker,59895,115,-0.654422621528347,-8.654422621528346,0.4066783537857918,0.7970326517527379,-518356.64291644027,0,9,51906,0.40442338072669826,-7.782298478122216,0.8093307075890134
S4_takerflow_ft1.0_pd8,taker,35013,109,-0.7817330011721542,-20.781733001172157,0.33961671379202013,0.6249328701184492,-727630.8175700407,0,9,30001,0.3371887603746542,-19.742674065621863,0.6289283767126503
S4_takerflow_ft1.0_pd8,maker,35013,109,-0.7817330011721542,-8.781733001172155,0.4090195070402422,0.8165882844161121,-307474.81757004064,0,9,30001,0.40655311489617013,-7.742674065621864,0.8303780706542792
S4_takerflow_ft1.5_pd3,taker,46811,116,-0.9875165734640555,-20.987516573464056,0.3321227916515349,0.5591486036464584,-982446.638320426,0,9,40807,0.33065405445144214,-19.846157593733434,0.5688570343519929
S4_takerflow_ft1.5_pd3,maker,46811,116,-0.9875165734640555,-8.987516573464054,0.4078528550981607,0.7754904502201434,-420714.6383204259,1,9,40807,0.40667042419192784,-7.846157593733431,0.7958774533796712
S4_takerflow_ft1.5_pd5,taker,31519,114,-1.5955096408761802,-21.59550964087618,0.33541673276436434,0.5836525252663639,-680668.8683707763,0,9,27359,0.33341861910157533,-20.233252761318774,0.594495286677539
S4_takerflow_ft1.5_pd5,maker,31519,114,-1.5955096408761802,-9.595509640876179,0.4066753386846029,0.7834492163630787,-302440.8683707763,1,9,27359,0.4045469498154172,-8.233252761318772,0.805418832102589
S4_takerflow_ft1.5_pd8,taker,18587,107,-2.128197293936262,-22.128197293936264,0.3383547640824232,0.6143730428551427,-411296.80310239334,0,9,15958,0.3367589923549317,-21.054862175299476,0.620478333331656
S4_takerflow_ft1.5_pd8,maker,18587,107,-2.128197293936262,-10.12819729393626,0.40609027815139614,0.7967489583752132,-188252.80310239329,0,9,15958,0.40393533024188494,-9.054862175299476,0.8109688710094836
S4_takerflow_ft2.0_pd3,taker,21030,116,-1.4305859040642739,-21.430585904064273,0.3312886352829291,0.5596210351045505,-450685.22156247165,0,9,18272,0.3309982486865149,-20.53607942018031,0.5637913273774785
S4_takerflow_ft2.0_pd3,maker,21030,116,-1.4305859040642739,-9.430585904064273,0.40660960532572515,0.7704182379382727,-198325.22156247168,1,9,18272,0.40745402802101577,-8.536079420180313,0.7838752256304821
S4_takerflow_ft2.0_pd5,taker,14330,112,-2.4456705830141336,-22.445670583014135,0.33230983949755755,0.5774794776595229,-321646.45945459255,0,9,12384,0.33252583979328165,-21.26844578490878,0.5847879484878103
S4_takerflow_ft2.0_pd5,maker,14330,112,-2.4456705830141336,-10.445670583014133,0.4038381018841591,0.770536799096898,-149686.45945459252,1,9,12384,0.40544250645994834,-9.268445784908781,0.787599894710877
S4_takerflow_ft2.0_pd8,taker,8576,99,-2.5098889815329692,-22.50988898153297,0.3373367537313433,0.6119721505965736,-193044.80790562675,0,9,7363,0.3345103897867717,-22.99256758744572,0.598262811840992
S4_takerflow_ft2.0_pd8,maker,8576,99,-2.5098889815329692,-10.509888981532969,0.4027518656716418,0.7915867147081881,-90132.80790562675,1,9,7363,0.4007877223957626,-10.992567587445722,0.778491270277865
S5_divbreak_z2.0_vol1.3,taker,24980,116,4.041791205841822,-15.95820879415818,0.38602882305844677,0.7363839410477948,-398636.05567807134,1,9,21537,0.38510470353345405,-13.711731329978928,0.7308358777799345
S5_divbreak_z2.0_vol1.3,maker,24980,116,4.041791205841822,-3.9582087941581796,0.45932746196957563,0.9261530101640437,-98876.05567807132,3,9,21537,0.459116868644658,-1.711731329978928,0.9610956134263111
S5_divbreak_z2.0_vol1.5,taker,13108,116,1.036789069567503,-18.963210930432496,0.40288373512358866,0.7527174481936737,-248569.76887610916,1,9,11226,0.4043292357028327,-13.137701853797049,0.7742529863615782
S5_divbreak_z2.0_vol1.5,maker,13108,116,1.036789069567503,-6.963210930432496,0.4665852914250839,0.9003745542711751,-91273.76887610916,3,9,11226,0.46846606092998394,-1.137701853797051,0.9778744535269838
S5_divbreak_z2.5_vol1.3,taker,11087,116,10.125111317927896,-9.874888682072104,0.40678271849914316,0.8676005597654397,-109482.89081813343,1,9,9481,0.4054424638751187,-11.059453222778256,0.8024297584111241
