feature,importance
gap_bps,0.319672249792265
rel_ret_15m_bps,0.11651560897525547
rel_ret_5m_bps,0.06239068134474059
gap_z_60,0.05680619952995303
ob_gap_bps,0.028024898830262813
gap_z_240,0.026167479622683752
bb_spread_bps_ob,0.022196647828978493
crowding_gap,0.01694344452590567
bn_depth_imbalance_5,0.016692600103413124
bb_realized_vol_15m_bps,0.014497723065530812
bb_top20_imbalance_chg_5s,0.014207554138499926
ob_gap_change_15s,0.013924886455986227
bn_depth_imbalance_1,0.013620362751317276
sec_gap_change_5s,0.01326044084941908
sec_gap_bps,0.013248991327937975
ob_gap_change_5s,0.011572526590629899
bn_quote_volume_z_60,0.01156351900018126
bb_top20_imbalance,0.010869117098980155
bn_taker_imbalance,0.010626040403128216
bb_turnover_z_60,0.010199872408090737
oi_gap_30m,0.009395965904252925
crowding_gap_z_240,0.009336143181816125
premium_gap_bps,0.009164726867880413
bb_best_sz_imbalance,0.009078550407944237
tod_cos,0.00896442397807979
sec_gap_change_15s,0.008960546922447759
bn_signed_notional_60s,0.008911797642955433
bb_mid_gap_vs_trades_bps,0.008637449967051585
bb_top5_pull_pressure_15s,0.008589476556881442
bb_signed_notional_60s,0.008479814104442897
bb_top5_pull_pressure_5s,0.008394341259886744
oi_gap_30m_z_240,0.008373569244664633
bn_signed_notional_15s,0.008303424054806108
bb_top5_imbalance,0.008133495325880506
bb_signed_notional_15s,0.008070270879198423
premium_gap_z_240,0.008053340790157149
tod_sin,0.00756213973711711
combo_signed_notional_15s,0.0074981883989786976
combo_signed_notional_60s,0.007404963079558412
sym_DYDXUSDT,0.0072114249280392255
bb_top5_pull_pressure,0.006759373513610548
bn_flow_ratio_60s,0.006096291958456491
bn_flow_ratio_15s,0.005534235919367096
sym_CRVUSDT,0.005486536478963148
bb_flow_ratio_15s,0.0013446795400954207
bb_flow_ratio_60s,0.0009258199539426561
flow_divergence_15s,0.0007238701603933877
sym_DASHUSDT,0.0005939867405450342
flow_divergence_60s,0.0003558653911750243
sym_GALAUSDT,0.00023658141234237113
sym_CHZUSDT,0.00019387065389245877
bn_depth_imbalance_0.2,0.0001250619542809358
bn_depth_pressure,0.0001014685018547017
sym_INITUSDT,8.874750259216095e-05
sym_AXSUSDT,3.524834577380619e-05
sym_AIXBTUSDT,1.967914107176826e-05
sym_BERAUSDT,8.509564859868263e-06
sym_ATHUSDT,1.6544806582842743e-06
sym_AEROUSDT,0.0
sym_ALGOUSDT,0.0
sym_EIGENUSDT,0.0
sym_FILUSDT,0.0
sym_JTOUSDT,0.0
