test_day,train_start_day,train_end_day,variant,events,pair_net_15m_bps,pair_net_max_15m_bps,pair_win_15m,pair_win_max_15m,gap_close_15m_bps
2026-03-01,2026-02-24,2026-02-28,active_baseline,63.0,32.89370833911819,66.88862419049244,0.8571428571428571,1.0,40.893708339118184
2026-03-01,2026-02-24,2026-02-28,active_state_top_quantile,22.0,18.214266525602557,43.032483390675516,0.8636363636363636,1.0,26.214266525602557
2026-03-01,2026-02-24,2026-02-28,active_model_top_quantile,37.0,46.03062292963918,92.0094171233012,0.8648648648648649,1.0,54.03062292963918
2026-03-02,2026-02-25,2026-03-01,active_baseline,90.0,24.175347651975642,60.739306170893535,0.7555555555555555,1.0,32.175347651975635
2026-03-02,2026-02-25,2026-03-01,active_state_top_quantile,31.0,15.181337590579865,38.93135987714069,0.8387096774193549,1.0,23.18133759057987
2026-03-02,2026-02-25,2026-03-01,active_model_top_quantile,45.0,38.71579200095731,88.78904847496261,0.7777777777777778,1.0,46.7157920009573
2026-03-03,2026-02-26,2026-03-02,active_baseline,80.0,27.56849759601895,60.34186046866823,0.8,1.0,35.56849759601895
2026-03-03,2026-02-26,2026-03-02,active_state_top_quantile,29.0,25.352697254587113,49.54048358045176,0.7586206896551724,1.0,33.352697254587106
2026-03-03,2026-02-26,2026-03-02,active_model_top_quantile,30.0,51.9333872884715,98.47457620611871,0.9,1.0,59.9333872884715
2026-03-04,2026-02-27,2026-03-03,active_baseline,61.0,15.91037735864862,58.34452823029538,0.7049180327868853,1.0,23.910377358648624
2026-03-04,2026-02-27,2026-03-03,active_state_top_quantile,31.0,16.239011061492064,51.38277032153771,0.7419354838709677,1.0,24.239011061492068
2026-03-04,2026-02-27,2026-03-03,active_model_top_quantile,23.0,29.011053248932832,96.51796326048525,0.7391304347826086,1.0,37.01105324893283
