feature,importance
bb_spread_bps_ob,0.15532244236435475
rel_ret_15m_bps,0.07623581673649271
gap_bps,0.06021496074407965
bb_top20_imbalance,0.04690596607320339
crowding_gap,0.04484207069379837
gap_z_240,0.03902574145361935
bb_top5_imbalance,0.0305952664953238
bb_mid_gap_vs_trades_bps,0.02819252831357186
ob_gap_bps,0.028043945183987003
rel_ret_5m_bps,0.025202403175365345
bn_depth_imbalance_1,0.02394111915501912
bb_top5_pull_pressure_5s,0.02231404909975814
gap_z_60,0.02179894609651665
bb_top5_pull_pressure,0.02009307181489351
tod_cos,0.019551054801167582
bn_depth_imbalance_5,0.019540914131395477
bb_best_sz_imbalance,0.019382150607371418
premium_gap_bps,0.018186801878064533
bn_taker_imbalance,0.018040448922969535
sec_gap_change_15s,0.017616798762420574
premium_gap_z_240,0.017145284269386635
tod_sin,0.016463661023251166
bn_quote_volume_z_60,0.016318279620970554
bb_realized_vol_15m_bps,0.01592919294664821
bb_turnover_z_60,0.015824354472923994
bb_signed_notional_60s,0.015052775566163114
bn_signed_notional_60s,0.015017205477741484
combo_signed_notional_60s,0.014249133919713095
bb_top5_pull_pressure_15s,0.014153732358162953
oi_gap_30m_z_240,0.013310723210440798
crowding_gap_z_240,0.01234195421679449
combo_signed_notional_15s,0.011752443137954899
bb_top20_imbalance_chg_5s,0.011106700772376988
sec_gap_bps,0.011031719690491267
bn_signed_notional_15s,0.01065458017003214
ob_gap_change_15s,0.010372990589923421
oi_gap_30m,0.01021737095600618
bb_signed_notional_15s,0.009008655729447809
ob_gap_change_5s,0.007751194310270074
bn_depth_imbalance_0.2,0.004535932049322851
bn_depth_pressure,0.003919548868554358
sec_gap_change_5s,0.003881855050282222
bn_flow_ratio_15s,0.0027672630321200387
bn_flow_ratio_60s,0.0015333818150140262
bb_flow_ratio_15s,0.00027875932448232627
sym_GALAUSDT,0.00022974643306038006
sym_CRVUSDT,7.555108746520563e-05
sym_SEIUSDT,2.9513397626597925e-05
bb_flow_ratio_60s,0.0
flow_divergence_15s,0.0
flow_divergence_60s,0.0
