month,variant,folds,mean_events,mean_fast_pair_net_15m_bps,mean_fast_pair_win_15m
2025-10,active_fast_exec_baseline,31,12.0,-10.33516559586117,0.19086021505376344
2025-10,active_fast_exec_model_top_quantile,31,11.0,-6.265024620671828,0.2909963692221757
2025-10,active_fast_exec_state_top_quantile,31,11.806451612903226,-10.956872102195156,0.14708141321044546
2025-11,active_fast_exec_baseline,30,12.0,-13.331271537211247,0.15277777777777776
2025-11,active_fast_exec_model_top_quantile,30,12.0,-9.306339998346608,0.22777777777777777
2025-11,active_fast_exec_state_top_quantile,30,12.0,-11.79795621815209,0.20555555555555555
2025-12,active_fast_exec_baseline,31,12.0,-11.176754578467612,0.21774193548387097
2025-12,active_fast_exec_model_top_quantile,31,12.0,-6.323257443605228,0.29301075268817206
2025-12,active_fast_exec_state_top_quantile,31,12.0,-12.25922500267806,0.19086021505376344
2026-01,active_fast_exec_baseline,31,12.0,-10.511753955698255,0.23924731182795697
2026-01,active_fast_exec_model_top_quantile,31,12.0,-6.153854118323457,0.3225806451612903
2026-01,active_fast_exec_state_top_quantile,31,12.0,-10.24375314910108,0.1908602150537634
2026-02,active_fast_exec_baseline,28,12.0,-12.832178454442024,0.2261904761904762
2026-02,active_fast_exec_model_top_quantile,28,12.0,-7.483332073148278,0.33035714285714285
2026-02,active_fast_exec_state_top_quantile,28,12.0,-10.404357329272829,0.21726190476190474
2026-03,active_fast_exec_baseline,4,12.0,0.27635909193300323,0.375
2026-03,active_fast_exec_model_top_quantile,4,12.0,-5.30169643239012,0.3125
2026-03,active_fast_exec_state_top_quantile,4,12.0,-5.001566727966501,0.25
