test_day,symbols
2025-10-01,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT']"
2025-10-02,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT']"
2025-10-03,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT']"
2025-10-04,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT']"
2025-10-05,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT']"
2025-10-06,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT']"
2025-10-07,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT']"
2025-10-08,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-09,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'AXSUSDT']"
2025-10-10,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'AXSUSDT']"
2025-10-11,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'AXSUSDT']"
2025-10-12,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'AXSUSDT']"
2025-10-13,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'AXSUSDT']"
2025-10-14,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'AXSUSDT']"
2025-10-15,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'AXSUSDT']"
2025-10-16,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-17,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-18,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-19,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-20,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-21,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-22,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-23,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-24,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-25,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-26,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-27,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-28,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-29,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-30,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-10-31,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-11-01,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-11-02,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-11-03,"['DYDXUSDT', 'DASHUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-11-04,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-11-05,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-11-06,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-11-07,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-11-08,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-11-09,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT']"
2025-11-10,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT']"
2025-11-11,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT']"
2025-11-12,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT']"
2025-11-13,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT']"
2025-11-14,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT']"
2025-11-15,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT']"
2025-11-16,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT']"
2025-11-17,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT']"
2025-11-18,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'ATHUSDT']"
2025-11-19,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'ATHUSDT']"
2025-11-20,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'ATHUSDT']"
2025-11-21,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'ATHUSDT']"
2025-11-22,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'ATHUSDT', 'BERAUSDT']"
2025-11-23,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'ATHUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-11-24,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'ATHUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-11-25,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'ATHUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-11-26,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'ATHUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-11-27,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-11-28,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-11-29,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-11-30,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-01,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-02,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-03,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-04,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-05,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-06,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'GALAUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-07,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-08,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-09,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-10,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-11,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-12,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-13,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-14,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-15,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'BERAUSDT', 'AXSUSDT']"
2025-12-16,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'AXSUSDT']"
2025-12-17,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'AXSUSDT']"
2025-12-18,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'AXSUSDT']"
2025-12-19,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'AXSUSDT']"
2025-12-20,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'AXSUSDT']"
2025-12-21,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'AXSUSDT']"
2025-12-22,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'AXSUSDT', 'ALGOUSDT', 'GALAUSDT', 'BERAUSDT']"
2025-12-23,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'AXSUSDT', 'ALGOUSDT', 'GALAUSDT', 'BERAUSDT']"
2025-12-24,"['DYDXUSDT', 'CRVUSDT', 'CHZUSDT', 'INITUSDT', 'AXSUSDT', 'ALGOUSDT', 'GALAUSDT', 'BERAUSDT']"
