test_day,symbols
2026-01-31,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'BREVUSDT', 'GALAUSDT']"
2026-02-01,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'BREVUSDT', 'GALAUSDT']"
2026-02-02,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'BREVUSDT', 'GALAUSDT']"
2026-02-03,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT']"
2026-02-04,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT']"
2026-02-05,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT']"
2026-02-06,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT']"
2026-02-07,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT']"
2026-02-08,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'AIXBTUSDT', 'GIGGLEUSDT']"
2026-02-09,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'AIXBTUSDT', 'GIGGLEUSDT', 'AEROUSDT']"
2026-02-10,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'AIXBTUSDT', 'GIGGLEUSDT', 'AEROUSDT']"
2026-02-11,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'AIXBTUSDT', 'GIGGLEUSDT', 'AEROUSDT']"
2026-02-12,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'AIXBTUSDT', 'GIGGLEUSDT', 'AEROUSDT']"
2026-02-13,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'AIXBTUSDT', 'GIGGLEUSDT', 'AEROUSDT']"
2026-02-14,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'AIXBTUSDT', 'GIGGLEUSDT', 'AEROUSDT']"
2026-02-15,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT']"
2026-02-16,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT']"
2026-02-17,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT']"
2026-02-18,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT']"
2026-02-19,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT']"
2026-02-20,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT']"
2026-02-21,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT']"
2026-02-22,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT', 'MOODENGUSDT']"
2026-02-23,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT', 'BREVUSDT']"
2026-02-24,"['DYDXUSDT', 'CRVUSDT', 'INITUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT', 'BREVUSDT']"
2026-02-25,"['DYDXUSDT', 'CRVUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT', 'BREVUSDT']"
2026-02-26,"['DYDXUSDT', 'CRVUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT', 'BREVUSDT']"
2026-02-27,"['DYDXUSDT', 'CRVUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT', 'BREVUSDT']"
2026-02-28,"['DYDXUSDT', 'CRVUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT', 'BREVUSDT']"
2026-03-01,"['DYDXUSDT', 'CRVUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT', 'BREVUSDT']"
2026-03-02,"['DYDXUSDT', 'CRVUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT', 'JTOUSDT']"
2026-03-03,"['DYDXUSDT', 'CRVUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT', 'JTOUSDT', 'CHZUSDT']"
2026-03-04,"['DYDXUSDT', 'CRVUSDT', 'ATHUSDT', 'GALAUSDT', 'GIGGLEUSDT', 'AEROUSDT', 'JTOUSDT', 'CHZUSDT']"
