bucket,trades,mean_score,gross_bps_per_trade,mean_gap_close_bps,net_bps_per_trade
9,7350,0.5278090638487473,-1.3897466923170132,10.86997304591215,-9.389746692317013
8,7349,0.5038027916914541,-1.4714795903773392,11.4536473994572,-9.471479590377339
7,7350,0.49455444423790024,-0.21375239897304352,11.728755294055821,-8.213752398973044
6,7349,0.48777564558053055,0.179708249796213,11.752860394385301,-7.820291750203787
5,7349,0.48207138213055434,-0.6387956490658706,12.144372123142047,-8.638795649065871
4,7350,0.47676889151596,-0.9724413697517341,12.271861137849404,-8.972441369751735
3,7349,0.4715694085897316,-0.92747537216873,12.106436132090511,-8.92747537216873
2,7350,0.46595635625232,-0.21755827463401828,12.555904266811803,-8.217558274634019
1,7349,0.4589319021260988,-0.29396883461963386,13.232360526413169,-8.293968834619633
0,7350,0.44528069724413033,-1.1346765101760896,15.282613460311053,-9.134676510176089
