symbol,train_days,test_days,train_events,train_pair_net_15m_bps,train_pair_net_30m_bps,train_win_rate_15m,test_events,test_pair_net_15m_bps,test_pair_net_30m_bps,test_win_rate_15m,all_events,all_pair_net_15m_bps,all_pair_net_30m_bps,mean_gap_bps,selection_score
AVAXUSDT,30,155,1.0,2.4710438775246217,9.145774208481292,1.0,14.0,26.731932871936817,-1.5889587891139736,0.7142857142857143,15.0,25.11454027230934,-0.8733099226076212,52.24244170386073,72.39141618969927
DYDXUSDT,30,155,615.0,4.6959756481466,4.1510287499618705,0.6585365853658537,3486.0,22.04902008999873,21.1451489661132,0.7165806081468732,4101.0,19.446698136392524,18.596030933690503,25.3189999452072,179.84938195219374
DOGEUSDT,30,155,4.0,20.552713632354067,20.010042936177925,1.0,19.0,13.251447567449501,-9.052710384704497,0.8947368421052632,23.0,14.521232970041599,-3.9983185028118995,36.08147021465917,39.69778914911699
LINKUSDT,30,155,0.0,,,,20.0,13.207921178945043,9.987399599614706,0.75,20.0,13.207921178945043,9.987399599614706,44.25362689236157,40.21181238498059
AAVEUSDT,30,155,1.0,3.7178345441759646,5.220520595493834,1.0,19.0,12.450460940073405,6.326837545367331,0.5789473684210527,20.0,12.013829620278532,6.271521697873655,33.05442387541369,37.29824765880126
HBARUSDT,30,155,1.0,8.664656925668986,9.581373247803622,1.0,16.0,12.23281397996908,30.95883981429364,0.9375,17.0,12.022922388539664,29.701341780970697,48.407553383352194,34.65817180340583
CRVUSDT,30,155,528.0,3.1234091429130193,2.935512659090989,0.625,3257.0,11.507333215045046,11.434740873389503,0.7341111452256678,3785.0,10.337792419778014,10.24911537876609,15.71733936912143,93.08130848966498
LTCUSDT,30,155,0.0,,,,10.0,10.734013629381542,20.459499884731507,0.8,10.0,10.734013629381542,20.459499884731507,45.971929692158795,25.73904054004728
ADAUSDT,30,155,3.0,4.7199848365600054,5.127430290099292,0.6666666666666666,32.0,6.355121844312375,-0.5446905609159947,0.65625,35.0,6.214967243647886,-0.058508773686113055,26.042925522367657,22.220731582679022
INITUSDT,30,155,185.0,1.3187256890645072,1.8199415977542637,0.6,1874.0,5.5762817701242104,5.492082083743969,0.683564567769477,2059.0,5.193742734186355,5.162142312054754,14.760632195045881,42.02488884274657
BCHUSDT,30,155,4.0,-0.09975894632784765,-1.6665741069291569,0.25,28.0,5.463276620150503,4.706815709202949,0.6785714285714286,32.0,4.767897174340709,3.910141982186436,15.536538260734964,18.396468581095387
GALAUSDT,30,155,309.0,1.6413195603952178,1.2075291993840707,0.4919093851132686,2576.0,5.21733545593981,5.38926521537254,0.6770186335403726,2885.0,4.834323701443005,4.941222070802347,13.86992042390482,40.97894157480403
ETCUSDT,30,155,2.0,1.510133351698924,3.2568702109544505,0.5,73.0,5.02600917758688,-0.9996040471283796,0.6712328767123288,75.0,4.932252488896534,-0.8860980669128374,17.578232105897662,21.63227065937549
CHZUSDT,30,155,111.0,2.6067405941827078,3.078502248868962,0.7027027027027027,1101.0,3.9980658630242782,4.110218318623362,0.7475022706630337,1212.0,3.8706425091947283,4.015729470650806,12.91218624343902,28.005979557584567
ATHUSDT,30,155,31.0,4.2168329026070115,5.815403096282193,0.8064516129032258,1756.0,3.4894116570191738,3.562783647793857,0.6304100227790432,1787.0,3.5020306042006086,3.601860985736296,13.826528608269872,26.07066145374283
MOODENGUSDT,30,155,16.0,2.3225913264361893,3.2493844904916482,0.5625,236.0,3.010196579995896,4.173050369974126,0.6652542372881356,252.0,2.9665391035794064,4.114404917308572,13.166624396033628,16.459935936056848
FARTCOINUSDT,30,155,4.0,6.856680042897863,8.544062165706752,0.75,261.0,2.588253463812544,1.9320232588991504,0.5517241379310345,265.0,2.652682544251567,2.0318276197566236,13.335201760333744,14.4122869495612
BERAUSDT,30,155,196.0,0.8896648590361279,1.3224335500654494,0.6020408163265306,880.0,2.5390557267606786,3.2937728595581546,0.6147727272727272,1076.0,2.2386090631231212,2.9346813124758406,12.406095994450434,17.21748319862743
AXSUSDT,30,155,175.0,1.421030394863829,1.8457123322104452,0.6742857142857143,1797.0,2.494953356959208,2.8934824144862183,0.6199220923761826,1972.0,2.3996508628584516,2.8005007895378107,14.55231747197922,18.698253823489523
EIGENUSDT,30,155,2.0,6.090605328325734,3.4296316869855197,1.0,119.0,2.0941141634999862,4.529678593845396,0.7394957983193278,121.0,2.160171868703717,4.511496000343579,14.17635471921886,10.025554266199116
IPUSDT,30,155,166.0,-3.853309529002468,-3.394685481562726,0.10240963855421686,759.0,1.6815569425762713,3.069000844994428,0.5428194993412385,925.0,0.6882727974064649,1.909031190714982,13.08269941448396,11.154302663801772
ALGOUSDT,30,155,30.0,3.1586521183537255,3.156816460791993,0.9,1946.0,1.6746867669302226,1.3849917385576063,0.5729701952723536,1976.0,1.6972166052615512,1.4118919114660233,12.541008780001244,12.684152942630769
DASHUSDT,30,155,55.0,9.727821470779569,11.23116056088943,0.8909090909090909,642.0,1.5727311307138327,2.053731606449822,0.543613707165109,697.0,2.216246150374687,2.777918970143048,12.65394585049778,10.169507103509515
ENAUSDT,30,155,2.0,6.398306048311049,10.30951296383665,1.0,256.0,1.4969028715003594,1.4497031503281694,0.6015625,258.0,1.534898244964008,1.5183838465569175,12.071078967248797,8.306427925653628
ETHUSDT,30,155,0.0,,,,11.0,1.3355448273865518,-5.918902654093068,0.9090909090909091,11.0,1.3355448273865518,-5.918902654093068,16.906505611253436,3.3187042226628094
ORDIUSDT,30,155,12.0,1.1136343231348893,2.530689757961379,0.75,571.0,1.2331722850333824,1.691030565380554,0.4973730297723292,583.0,1.2307118124042538,1.7083134304079466,12.755524586360531,7.82958223799437
AEROUSDT,30,155,507.0,-5.585584749393075,-5.419246290062715,0.03944773175542406,942.0,1.2290886755491945,1.154402264387448,0.5276008492569002,1449.0,-1.1553415704450984,-1.1456942277493585,12.082161943065403,8.418109806070602
LDOUSDT,30,155,1.0,2.165362541596501,3.9263751533416063,1.0,327.0,1.040804531984376,1.3941790274934995,0.5565749235474006,328.0,1.0442330625014862,1.4018991376332803,12.20869665549131,6.0293948174533805
ETHFIUSDT,30,155,7.0,5.9591858306333165,4.254455830771021,0.8571428571428571,551.0,0.9190801530407112,1.009708763239361,0.5499092558983666,558.0,0.9823072851968908,1.0504134755560663,11.892781538805247,5.802656704602236
AIXBTUSDT,30,155,247.0,-1.3200244790133904,-1.3588702381887245,0.31983805668016196,2205.0,0.8252893379530936,0.8894944997399714,0.5342403628117914,2452.0,0.6091830929324077,0.6630075134967462,13.16307968763363,6.353849959287146
AGLDUSDT,30,155,474.0,-0.4593190966200399,-0.6869646047780882,0.44936708860759494,2990.0,0.7483494715467828,0.8438091779594147,0.5013377926421405,3464.0,0.5830969018842326,0.6342836876280324,14.052589163547973,5.989312515522764
ARBUSDT,30,155,6.0,2.614724635869543,1.9943564262316986,0.6666666666666666,764.0,0.3264669366350027,0.4311695545311558,0.5052356020942408,770.0,0.3442975161095576,0.44336607108538617,11.706155915025134,2.1676999231061336
JTOUSDT,30,155,167.0,0.7562842446076414,1.3138445313979235,0.592814371257485,1488.0,0.19591357845242344,0.4254339632630118,0.5047043010752689,1655.0,0.25245853388923395,0.5150802260294954,12.270554793077412,1.4313171826756634
ICPUSDT,30,155,14.0,-0.2216992233493197,0.5209569287053588,0.35714285714285715,634.0,0.029054411249027384,0.536965954661874,0.47634069400630913,648.0,0.02363689445214948,0.5366200806442949,12.408222083303192,0.18750627476483217
ATOMUSDT,30,155,3.0,5.328671862578763,3.723152011459496,1.0,653.0,-0.015836683231128114,0.23146495037072137,0.450229709035222,656.0,0.008604666825929273,0.2474330314427737,11.569063639466897,-0.10267091747842562
JUPUSDT,30,155,16.0,0.9877642648433786,1.5831975789967965,0.75,1238.0,-0.12674174786933828,-0.03453652558377292,0.48384491114701134,1254.0,-0.11252157545833075,-0.013895580070783254,11.723661250029645,-0.9026623178277701
APTUSDT,30,155,5.0,3.764075821677711,2.939161543963793,0.8,485.0,-0.4743987433552558,-0.6292864354384581,0.4268041237113402,490.0,-0.43114900289573566,-0.5928737009547617,12.17899918029558,-2.9347295973118404
JELLYJELLYUSDT,30,155,314.0,-0.7208216844682046,-0.44454648984700645,0.4394904458598726,2059.0,-0.7260380058510827,0.6265424572332419,0.4254492472073822,2373.0,-0.7253477720060664,0.4848138734223704,14.995843134667265,-5.540004878229321
DOTUSDT,30,155,2.0,0.8129286087423875,0.09238997417027761,1.0,64.0,-0.8763386549496197,-2.713145048666897,0.515625,66.0,-0.8251487378680437,-2.62812883585365,14.607585863339473,-3.6581769253391574
FILUSDT,30,155,25.0,1.1854538272310382,3.388749965584077,0.68,909.0,-3.529234395982769,0.9430811801843337,0.5511551155115512,934.0,-3.4030382443978175,1.0085434067742625,12.950182175370985,-24.046243035716895
GRASSUSDT,30,155,458.0,-2.6442866514835206,-2.8087573368775467,0.259825327510917,3353.0,-3.81818605836921,-3.9111007518616825,0.2654339397554429,3811.0,-3.6771086696645017,-3.778622849982193,14.770648113952245,-30.9956867469181
HUMAUSDT,30,155,236.0,1.6675662996796181,1.8210421700433694,0.5805084745762712,3280.0,-3.823461992544964,-3.8925073217403856,0.2649390243902439,3516.0,-3.45489467827733,-3.5090039997662763,14.96461116839952,-30.954379453587265
HYPEUSDT,30,155,236.0,-6.504477135655691,-6.4324381641575155,0.012711864406779662,397.0,-4.443907452551507,-4.387339239329461,0.07808564231738035,633.0,-5.212145122713572,-5.149808980655561,11.88582353386659,-26.603238680625424
HUSDT,30,155,528.0,-1.830882362653476,-1.2366573505240834,0.375,2968.0,-5.804676500579528,-5.757280343903993,0.16408355795148247,3496.0,-5.204515372197104,-5.074336441041449,17.284015079471637,-46.414079960953934
BNBUSDT,30,155,588.0,-7.095402894896201,-7.112717820323284,0.0,2000.0,-6.898913161234631,-6.851851942558015,0.0025,2588.0,-6.943556114632237,-6.9111213150951,11.006935328363353,-52.44141460989937
BTCUSDT,30,155,0.0,,,,2.0,-14.505264134519797,1.791733778520828,0.5,2.0,-14.505264134519797,1.791733778520828,17.156263337277935,-15.935661428560243
