symbol,train_days,test_days,train_events,train_pair_net_15m_bps,train_pair_net_30m_bps,train_win_rate_15m,test_events,test_pair_net_15m_bps,test_pair_net_30m_bps,test_win_rate_15m,all_events,all_pair_net_15m_bps,all_pair_net_30m_bps,mean_gap_bps,selection_score
DYDXUSDT,30,155,615.0,4.6959756481466,4.1510287499618705,0.6585365853658537,3486.0,22.04902008999873,21.1451489661132,0.7165806081468732,4101.0,19.446698136392524,18.596030933690503,25.3189999452072,179.84938195219374
CRVUSDT,30,155,528.0,3.1234091429130193,2.935512659090989,0.625,3257.0,11.507333215045046,11.434740873389503,0.7341111452256678,3785.0,10.337792419778014,10.24911537876609,15.71733936912143,93.08130848966498
INITUSDT,30,155,185.0,1.3187256890645072,1.8199415977542637,0.6,1874.0,5.5762817701242104,5.492082083743969,0.683564567769477,2059.0,5.193742734186355,5.162142312054754,14.760632195045881,42.02488884274657
GALAUSDT,30,155,309.0,1.6413195603952178,1.2075291993840707,0.4919093851132686,2576.0,5.21733545593981,5.38926521537254,0.6770186335403726,2885.0,4.834323701443005,4.941222070802347,13.86992042390482,40.97894157480403
CHZUSDT,30,155,111.0,2.6067405941827078,3.078502248868962,0.7027027027027027,1101.0,3.9980658630242782,4.110218318623362,0.7475022706630337,1212.0,3.8706425091947283,4.015729470650806,12.91218624343902,28.005979557584567
BERAUSDT,30,155,196.0,0.8896648590361279,1.3224335500654494,0.6020408163265306,880.0,2.5390557267606786,3.2937728595581546,0.6147727272727272,1076.0,2.2386090631231212,2.9346813124758406,12.406095994450434,17.21748319862743
AXSUSDT,30,155,175.0,1.421030394863829,1.8457123322104452,0.6742857142857143,1797.0,2.494953356959208,2.8934824144862183,0.6199220923761826,1972.0,2.3996508628584516,2.8005007895378107,14.55231747197922,18.698253823489523
IPUSDT,30,155,166.0,-3.853309529002468,-3.394685481562726,0.10240963855421686,759.0,1.6815569425762713,3.069000844994428,0.5428194993412385,925.0,0.6882727974064649,1.909031190714982,13.08269941448396,11.154302663801772
DASHUSDT,30,155,55.0,9.727821470779569,11.23116056088943,0.8909090909090909,642.0,1.5727311307138327,2.053731606449822,0.543613707165109,697.0,2.216246150374687,2.777918970143048,12.65394585049778,10.169507103509515
AEROUSDT,30,155,507.0,-5.585584749393075,-5.419246290062715,0.03944773175542406,942.0,1.2290886755491945,1.154402264387448,0.5276008492569002,1449.0,-1.1553415704450984,-1.1456942277493585,12.082161943065403,8.418109806070602
AIXBTUSDT,30,155,247.0,-1.3200244790133904,-1.3588702381887245,0.31983805668016196,2205.0,0.8252893379530936,0.8894944997399714,0.5342403628117914,2452.0,0.6091830929324077,0.6630075134967462,13.16307968763363,6.353849959287146
AGLDUSDT,30,155,474.0,-0.4593190966200399,-0.6869646047780882,0.44936708860759494,2990.0,0.7483494715467828,0.8438091779594147,0.5013377926421405,3464.0,0.5830969018842326,0.6342836876280324,14.052589163547973,5.989312515522764
JTOUSDT,30,155,167.0,0.7562842446076414,1.3138445313979235,0.592814371257485,1488.0,0.19591357845242344,0.4254339632630118,0.5047043010752689,1655.0,0.25245853388923395,0.5150802260294954,12.270554793077412,1.4313171826756634
JELLYJELLYUSDT,30,155,314.0,-0.7208216844682046,-0.44454648984700645,0.4394904458598726,2059.0,-0.7260380058510827,0.6265424572332419,0.4254492472073822,2373.0,-0.7253477720060664,0.4848138734223704,14.995843134667265,-5.540004878229321
GRASSUSDT,30,155,458.0,-2.6442866514835206,-2.8087573368775467,0.259825327510917,3353.0,-3.81818605836921,-3.9111007518616825,0.2654339397554429,3811.0,-3.6771086696645017,-3.778622849982193,14.770648113952245,-30.9956867469181
HUMAUSDT,30,155,236.0,1.6675662996796181,1.8210421700433694,0.5805084745762712,3280.0,-3.823461992544964,-3.8925073217403856,0.2649390243902439,3516.0,-3.45489467827733,-3.5090039997662763,14.96461116839952,-30.954379453587265
HYPEUSDT,30,155,236.0,-6.504477135655691,-6.4324381641575155,0.012711864406779662,397.0,-4.443907452551507,-4.387339239329461,0.07808564231738035,633.0,-5.212145122713572,-5.149808980655561,11.88582353386659,-26.603238680625424
HUSDT,30,155,528.0,-1.830882362653476,-1.2366573505240834,0.375,2968.0,-5.804676500579528,-5.757280343903993,0.16408355795148247,3496.0,-5.204515372197104,-5.074336441041449,17.284015079471637,-46.414079960953934
BNBUSDT,30,155,588.0,-7.095402894896201,-7.112717820323284,0.0,2000.0,-6.898913161234631,-6.851851942558015,0.0025,2588.0,-6.943556114632237,-6.9111213150951,11.006935328363353,-52.44141460989937
