symbol,train_days,test_days,train_events,train_pair_net_15m_bps,train_pair_net_30m_bps,train_win_rate_15m,test_events,test_pair_net_15m_bps,test_pair_net_30m_bps,test_win_rate_15m,all_events,all_pair_net_15m_bps,all_pair_net_30m_bps,mean_gap_bps,selection_score
DYDXUSDT,30,33,696.0,19.36570363500877,18.05771933253189,0.6954022988505747,738.0,44.6055208823948,42.78189166036583,0.7899728997289973,1434.0,32.355233013370615,30.77350091356023,35.849599478826036,294.63275434729394
INITUSDT,30,33,388.0,6.02758970963764,5.818164505442664,0.711340206185567,20.0,18.919662087870385,15.655855593331278,0.9,408.0,6.659554041903951,6.300404264652891,13.807893295367577,57.60133574066657
CRVUSDT,30,33,646.0,10.786750007543207,11.33529354429766,0.7151702786377709,740.0,16.612908937342777,17.255419579662032,0.7256756756756757,1386.0,13.897397632400121,14.496111196656702,18.557122509770586,109.77811264594801
BREVUSDT,30,33,74.0,28.67244092742399,28.488513750146073,0.7702702702702703,48.0,10.230963337057561,11.277933326387354,0.9375,122.0,21.41677761318146,21.717137845716415,17.362314616724206,39.817070784386246
GALAUSDT,30,33,600.0,3.236315156849127,3.4462424256557083,0.62,711.0,9.26085046791464,9.384521835750473,0.7060478199718706,1311.0,6.5036260692576535,6.6646992051727185,14.747019243720763,60.825987399199406
DOGEUSDT,30,33,3.0,14.075906065803785,14.065974640921304,1.0,3.0,8.484369737447269,10.160908324141486,1.0,6.0,11.280137901625528,12.113441482531394,20.993776467275186,11.761833924679395
ETHUSDT,30,33,1.0,1.5721184666364145,1.0634613535023334,1.0,4.0,8.193238013761935,8.484023663487225,1.0,5.0,6.86901410433683,6.999911201490247,16.302894817493474,13.186507884944723
AXSUSDT,30,33,251.0,1.52272113161822,2.0777186312140272,0.5896414342629482,11.0,7.621506781550065,5.758095611864262,0.7272727272727273,262.0,1.778777017684061,2.2322382754398005,12.562633250615557,18.938732882878096
HBARUSDT,30,33,2.0,2.342747823953724,3.1759015928813987,1.0,4.0,7.539632768624689,6.166748528842976,1.0,6.0,5.807337787067702,5.169799550189117,14.871908431019671,12.134570823655055
BCHUSDT,30,33,3.0,4.802977272837375,5.968964116985265,0.6666666666666666,6.0,7.049694201001625,6.956859054317356,0.6666666666666666,9.0,6.300788558280208,6.6275607418733244,16.298742474872718,13.718071493465448
GIGGLEUSDT,30,33,176.0,1.2726318500107203,1.7365038033255913,0.5625,273.0,6.978456798112515,6.508376381846223,0.8131868131868132,449.0,4.741875081261923,4.637887353294706,13.03184131541055,39.17097199270026
BERAUSDT,30,33,46.0,2.0323377527023636,2.9822161840687946,0.6521739130434783,15.0,6.719053090083144,29.104217735874762,0.5333333333333333,61.0,3.184808737304196,9.405659188611248,12.13283177554811,18.629170821694878
AAVEUSDT,30,33,2.0,34.031875445960324,32.16065369543187,1.0,5.0,6.252405484922905,5.6409813715252515,0.6,7.0,14.189396902362168,13.218030606927142,23.221578404674887,11.202806733064044
ATHUSDT,30,33,403.0,4.73092219269783,4.826510253269102,0.7220843672456576,385.0,5.527104339166702,6.267911005276407,0.7298701298701299,788.0,5.119919815020821,5.530747930328508,13.20032829949535,32.91853456814027
MOODENGUSDT,30,33,71.0,1.6959171931408765,1.8857060688940182,0.49295774647887325,62.0,5.196988858718526,5.727380743791217,0.8548387096774194,133.0,3.327995713936472,3.67656193237993,12.85550092041309,21.531825013226623
EIGENUSDT,30,33,17.0,3.971354186872478,5.352064876747509,0.5882352941176471,62.0,4.4156708134963925,4.013793487909842,0.7258064516129032,79.0,4.320058374855803,4.301775938672378,12.63060141077142,18.29471908771045
LTCUSDT,30,33,2.0,11.832850988752426,16.252382043155052,0.5,2.0,3.9427992998866195,6.595858985629873,1.0,4.0,7.887825144319523,11.424120514392463,18.502999933740494,4.33160776260746
JTOUSDT,30,33,159.0,1.562361999080142,1.6840387231694223,0.5849056603773585,86.0,3.543865493486654,4.025309883762168,0.6627906976744186,245.0,2.257910164463653,2.50587268158157,12.020126212186522,15.82657767878188
LINEAUSDT,30,33,164.0,1.758734501277458,2.162717068268526,0.5548780487804879,80.0,3.505685042656741,4.034933960974298,0.75,244.0,2.331505170582141,2.776558672434353,12.076674218843056,15.405554672250728
CHZUSDT,30,33,54.0,4.724968843903507,5.310415757850389,0.8148148148148148,205.0,3.1776045364551866,2.8836213117682004,0.7170731707317073,259.0,3.5002210329888124,3.3895938989822465,12.67942406546712,16.929883483617253
AEROUSDT,30,33,152.0,1.72903986833547,2.353397033970532,0.6973684210526315,301.0,3.116445527253288,3.3470870322164923,0.7342192691029901,453.0,2.650914268631857,3.013663456646104,12.446087572816564,17.796234737004244
LINKUSDT,30,33,4.0,15.657826622028312,15.554637001907963,0.75,2.0,2.917799718698218,2.3829323122339723,0.5,6.0,11.411150987584946,11.164068772016634,21.564842896590516,3.205530626834216
APTUSDT,30,33,45.0,-0.8354841200811206,-0.09396979417041607,0.4222222222222222,14.0,2.6687557702200055,1.061656183357382,0.6428571428571429,59.0,-0.003969569840175557,0.18024653948024785,11.756258737076942,7.227124600236969
FILUSDT,30,33,23.0,1.071555662120966,1.4776030840626952,0.6956521739130435,145.0,2.6633513516359666,4.281034168340404,0.6344827586206897,168.0,2.4454269417618892,3.8972311032309555,11.14516107957506,13.273095431948851
FARTCOINUSDT,30,33,16.0,2.6942658345621915,4.571306306401672,0.625,68.0,2.603895851717606,2.9350154164752746,0.6470588235294118,84.0,2.6211091817832415,3.246689871699351,12.071736008475071,11.025172363051336
