symbol,train_days,test_days,train_events,train_pair_net_15m_bps,train_pair_net_30m_bps,train_win_rate_15m,test_events,test_pair_net_15m_bps,test_pair_net_30m_bps,test_win_rate_15m,all_events,all_pair_net_15m_bps,all_pair_net_30m_bps,mean_gap_bps,selection_score
DYDXUSDT,30,33,696.0,19.36570363500877,18.05771933253189,0.6954022988505747,738.0,44.6055208823948,42.78189166036583,0.7899728997289973,1434.0,32.355233013370615,30.77350091356023,35.849599478826036,294.63275434729394
INITUSDT,30,33,388.0,6.02758970963764,5.818164505442664,0.711340206185567,20.0,18.919662087870385,15.655855593331278,0.9,408.0,6.659554041903951,6.300404264652891,13.807893295367577,57.60133574066657
CRVUSDT,30,33,646.0,10.786750007543207,11.33529354429766,0.7151702786377709,740.0,16.612908937342777,17.255419579662032,0.7256756756756757,1386.0,13.897397632400121,14.496111196656702,18.557122509770586,109.77811264594801
BREVUSDT,30,33,74.0,28.67244092742399,28.488513750146073,0.7702702702702703,48.0,10.230963337057561,11.277933326387354,0.9375,122.0,21.41677761318146,21.717137845716415,17.362314616724206,39.817070784386246
GALAUSDT,30,33,600.0,3.236315156849127,3.4462424256557083,0.62,711.0,9.26085046791464,9.384521835750473,0.7060478199718706,1311.0,6.5036260692576535,6.6646992051727185,14.747019243720763,60.825987399199406
GIGGLEUSDT,30,33,176.0,1.2726318500107203,1.7365038033255913,0.5625,273.0,6.978456798112515,6.508376381846223,0.8131868131868132,449.0,4.741875081261923,4.637887353294706,13.03184131541055,39.17097199270026
ATHUSDT,30,33,403.0,4.73092219269783,4.826510253269102,0.7220843672456576,385.0,5.527104339166702,6.267911005276407,0.7298701298701299,788.0,5.119919815020821,5.530747930328508,13.20032829949535,32.91853456814027
MOODENGUSDT,30,33,71.0,1.6959171931408765,1.8857060688940182,0.49295774647887325,62.0,5.196988858718526,5.727380743791217,0.8548387096774194,133.0,3.327995713936472,3.67656193237993,12.85550092041309,21.531825013226623
JTOUSDT,30,33,159.0,1.562361999080142,1.6840387231694223,0.5849056603773585,86.0,3.543865493486654,4.025309883762168,0.6627906976744186,245.0,2.257910164463653,2.50587268158157,12.020126212186522,15.82657767878188
LINEAUSDT,30,33,164.0,1.758734501277458,2.162717068268526,0.5548780487804879,80.0,3.505685042656741,4.034933960974298,0.75,244.0,2.331505170582141,2.776558672434353,12.076674218843056,15.405554672250728
CHZUSDT,30,33,54.0,4.724968843903507,5.310415757850389,0.8148148148148148,205.0,3.1776045364551866,2.8836213117682004,0.7170731707317073,259.0,3.5002210329888124,3.3895938989822465,12.67942406546712,16.929883483617253
AEROUSDT,30,33,152.0,1.72903986833547,2.353397033970532,0.6973684210526315,301.0,3.116445527253288,3.3470870322164923,0.7342192691029901,453.0,2.650914268631857,3.013663456646104,12.446087572816564,17.796234737004244
ALLOUSDT,30,33,643.0,2.7492904388794845,2.1901154707195536,0.5956454121306376,562.0,2.2995179010786457,2.8807658014501,0.5551601423487544,1205.0,2.5395210063117903,2.5122279071266633,16.416872746924007,14.563489877443928
DASHUSDT,30,33,82.0,-1.436284375950267,-1.3630065482168048,0.4024390243902439,28.0,1.9538463944001678,2.7804336764568447,0.6428571428571429,110.0,-0.5733419980428835,-0.30831267284533054,12.205586089389953,6.579178816297793
IPUSDT,30,33,172.0,-1.3498479978104418,-1.2558609503972635,0.42441860465116277,298.0,1.866619121829054,3.0636692012542244,0.5906040268456376,470.0,0.6895290269822598,1.4829049755434676,11.99971051232063,10.640556976998598
AGLDUSDT,30,33,519.0,1.1082299135095672,0.8813356254988005,0.5260115606936416,504.0,1.7108430112599622,1.7190543856071943,0.5734126984126984,1023.0,1.405118477797152,1.2936375201509747,13.948292507538188,10.649242286905038
ICPUSDT,30,33,113.0,-1.3086006265649335,-0.9905437704869685,0.3805309734513274,139.0,1.7050301903773968,2.3750388906203224,0.697841726618705,252.0,0.3536798637326216,0.8658688878222114,12.451457814783296,8.425649520598562
ALGOUSDT,30,33,363.0,0.8314489381228645,0.6640412835251165,0.5702479338842975,562.0,1.6746817674785142,1.4091302133689638,0.5711743772241993,925.0,1.3437698571475944,1.1167331522518646,11.693835419284957,10.606227921588644
LDOUSDT,30,33,48.0,0.40084868338209406,0.41788090460972765,0.4375,180.0,1.6371782758080238,2.270048048093598,0.6388888888888888,228.0,1.3768983616130912,1.880118123149625,12.37520460747775,8.510866406440915
JELLYJELLYUSDT,30,33,224.0,0.48180257666164666,1.2473923225554546,0.47767857142857145,573.0,1.6265919129915547,1.582524167253757,0.6090750436300174,797.0,1.3048443454408651,1.4883340377526029,13.045651147855931,10.333135602285829
ETHFIUSDT,30,33,174.0,0.6782188247537353,0.7971431068956809,0.5747126436781609,160.0,1.6151080679893404,1.9685511408797858,0.6875,334.0,1.1270280430701929,1.3582966561096232,11.48148036161532,8.207017186602657
NEARUSDT,30,33,51.0,-0.49539760093400337,-0.15527956906447193,0.49019607843137253,274.0,0.9511094964161416,1.5849309094015587,0.5656934306569343,325.0,0.7241191519088885,1.3118517266268894,11.189607638352356,5.342164330186392
ARBUSDT,30,33,74.0,-0.2820391219476219,-0.7829724049564444,0.47297297297297297,314.0,0.49717129867597226,1.1369241114918733,0.5222929936305732,388.0,0.3485590019591013,0.7698121160986549,11.436410455351258,2.860014009572805
CCUSDT,30,33,70.0,3.9074042973554364,2.8810723726358662,0.7571428571428571,262.0,0.3140558781257604,0.7924367551868495,0.5076335877862596,332.0,1.0716895809753908,1.2328117347694734,12.148409744658048,1.7499677276275845
