symbol,train_days,test_days,train_events,train_pair_net_15m_bps,train_pair_net_30m_bps,train_win_rate_15m,test_events,test_pair_net_15m_bps,test_pair_net_30m_bps,test_win_rate_15m,all_events,all_pair_net_15m_bps,all_pair_net_30m_bps,mean_gap_bps,selection_score
DYDXUSDT,5,4,114.0,43.43092538025524,46.495815387419256,0.7368421052631579,85.0,53.44559321529881,59.437408240710674,0.8,199.0,47.708547319846716,51.986188113058034,50.52666761295578,238.06523363523104
OPNUSDT,5,4,40.0,41.68810295073217,35.910967283847654,0.975,16.0,25.97996683891319,35.45819577284027,0.8125,56.0,37.20006406164104,35.78160399498841,16.90120837014245,73.60678872614685
STABLEUSDT,5,4,1.0,10.228670960764859,15.242066073232426,1.0,1.0,18.87781372410214,14.944754962500589,1.0,2.0,14.5532423424335,15.093410517866507,16.559289398900834,13.08510335799724
CRVUSDT,5,4,116.0,14.556977355260319,11.889453098926271,0.6896551724137931,85.0,17.462790405204245,18.314665323916355,0.7647058823529411,201.0,15.78580376941571,14.60658264680765,21.25278343237091,77.78533322646322
RESOLVUSDT,5,4,0.0,,,,3.0,12.461309889379848,19.67449853284957,1.0,3.0,12.461309889379848,19.67449853284957,11.689039656451369,17.27504363181481
HUMAUSDT,5,4,43.0,9.560200743242834,10.627616997393408,0.9069767441860465,26.0,12.416414208218303,11.65145928147509,0.9615384615384616,69.0,10.636455092364027,11.013412640670564,13.956099084658023,40.92247569102584
GIGGLEUSDT,5,4,67.0,6.108664706254225,6.05856085053097,0.7761194029850746,12.0,12.361361857137533,11.647144925021934,1.0,79.0,7.058441488666879,6.907459697289091,13.07858598015237,31.706267152814466
SKYUSDT,5,4,5.0,8.684925002198314,4.814132642596122,1.0,5.0,11.83321527056314,10.143566175546466,1.0,10.0,10.259070136380728,7.478849409071293,11.589616702817107,21.202275512445528
CCUSDT,5,4,17.0,1.6823470200146267,4.705132669535011,0.6470588235294118,3.0,11.559756055522735,12.847874123750922,1.0,20.0,3.163958375340843,5.926543887667398,13.382293516994158,16.025224635692677
INITUSDT,5,4,0.0,,,,2.0,11.5408575957845,15.75287074903143,1.0,2.0,11.5408575957845,15.75287074903143,17.1061215582069,12.678927976497548
BREVUSDT,5,4,10.0,11.583836730145519,11.395051822011066,0.9,10.0,10.201589788882421,12.751050297290297,1.0,20.0,10.89271325951397,12.073051059650682,12.849402385113894,24.462343929789284
GALAUSDT,5,4,112.0,9.33346270307184,9.803672716200538,0.6696428571428571,86.0,9.972924986739658,10.241718074574132,0.7093023255813954,198.0,9.611208947493218,9.992677058645997,16.672337479881012,44.5381666650138
TRIAUSDT,5,4,30.0,-0.7854824112112287,2.5431298969920944,0.5333333333333333,3.0,9.178933780848855,13.110292615677354,1.0,33.0,0.12037360624877882,3.5037810532362093,13.415520643598928,12.724704141483645
WETUSDT,5,4,3.0,8.200899615073094,7.854067896255245,1.0,7.0,9.023729186274831,9.856573528863668,0.8571428571428571,10.0,8.776880314914312,9.255821839081142,11.292263712711968,18.764317330808666
LINEAUSDT,5,4,13.0,4.156751933932218,3.9433019938931264,0.7692307692307693,1.0,7.631874211464725,4.496094970322336,1.0,14.0,4.404974953755969,3.9827872064952126,11.948453354620073,5.29001209206493
TRUMPUSDT,5,4,3.0,0.6129609115292993,3.4632938934441007,0.6666666666666666,3.0,7.407007066282989,8.38490323806178,1.0,6.0,4.009983988906144,5.9240985657529395,14.8891254549303,10.26829212876329
ATHUSDT,5,4,50.0,5.762370753028685,8.645238440233934,0.74,3.0,5.429156276404027,5.396053648205101,1.0,53.0,5.74350955623861,8.461322319930414,13.462383740329635,7.526408731617564
TAOUSDT,5,4,0.0,,,,1.0,4.9733468410964115,3.4118019830000694,1.0,1.0,4.9733468410964115,3.4118019830000694,10.896072225392572,3.447261340852688
ZROUSDT,5,4,6.0,-0.5094206606455508,-0.6890594947833287,0.3333333333333333,1.0,4.945331695330964,2.696294671952433,1.0,7.0,0.26982967592252266,-0.20543747096393414,11.759299254207837,3.427842721552392
AGLDUSDT,5,4,4.0,5.3191829434956,4.811938664418488,1.0,16.0,4.732575168361155,3.3106936428259233,0.6875,20.0,4.849896723388044,3.626745226319096,11.571822805450992,13.408395118749919
ALLOUSDT,5,4,48.0,4.542762598902745,5.307560985662917,0.7916666666666666,29.0,4.685183210812938,5.998453331299213,0.7241379310344828,77.0,4.596401530661129,5.567767193759704,12.398828054135663,15.935232869224455
