symbol,train_days,test_days,train_events,train_pair_net_15m_bps,train_pair_net_30m_bps,train_win_rate_15m,test_events,test_pair_net_15m_bps,test_pair_net_30m_bps,test_win_rate_15m,all_events,all_pair_net_15m_bps,all_pair_net_30m_bps,mean_gap_bps,selection_score
DYDXUSDT,5,4,114.0,43.43092538025524,46.495815387419256,0.7368421052631579,85.0,53.44559321529881,59.437408240710674,0.8,199.0,47.708547319846716,51.986188113058034,50.52666761295578,238.06523363523104
OPNUSDT,5,4,40.0,41.68810295073217,35.910967283847654,0.975,16.0,25.97996683891319,35.45819577284027,0.8125,56.0,37.20006406164104,35.78160399498841,16.90120837014245,73.60678872614685
CRVUSDT,5,4,116.0,14.556977355260319,11.889453098926271,0.6896551724137931,85.0,17.462790405204245,18.314665323916355,0.7647058823529411,201.0,15.78580376941571,14.60658264680765,21.25278343237091,77.78533322646322
HUMAUSDT,5,4,43.0,9.560200743242834,10.627616997393408,0.9069767441860465,26.0,12.416414208218303,11.65145928147509,0.9615384615384616,69.0,10.636455092364027,11.013412640670564,13.956099084658023,40.92247569102584
GIGGLEUSDT,5,4,67.0,6.108664706254225,6.05856085053097,0.7761194029850746,12.0,12.361361857137533,11.647144925021934,1.0,79.0,7.058441488666879,6.907459697289091,13.07858598015237,31.706267152814466
GALAUSDT,5,4,112.0,9.33346270307184,9.803672716200538,0.6696428571428571,86.0,9.972924986739658,10.241718074574132,0.7093023255813954,198.0,9.611208947493218,9.992677058645997,16.672337479881012,44.5381666650138
ALLOUSDT,5,4,48.0,4.542762598902745,5.307560985662917,0.7916666666666666,29.0,4.685183210812938,5.998453331299213,0.7241379310344828,77.0,4.596401530661129,5.567767193759704,12.398828054135663,15.935232869224455
ORDIUSDT,5,4,27.0,3.3137202989533603,3.7911885168996298,0.6666666666666666,16.0,4.492747575092098,5.530683635855911,0.8125,43.0,3.7524281226328906,4.438442514650804,12.663973615024096,12.72891238122714
RENDERUSDT,5,4,51.0,0.6705560192841783,-0.08218926256800974,0.5098039215686274,10.0,3.9065348304523426,2.5667859322562396,0.7,61.0,1.2010443489838771,0.3520689660917033,11.524677033495482,9.367461402963857
IPUSDT,5,4,64.0,2.6817670000510305,2.952635684563245,0.640625,40.0,2.982761644072053,3.212473725444622,0.625,104.0,2.7975341708283468,3.0525733925945437,11.771945580241171,11.076700323062994
ETHFIUSDT,5,4,27.0,1.2823521398585525,1.667524060684512,0.5185185185185185,14.0,2.661124413919785,2.883689668478937,0.7142857142857143,41.0,1.7531524285623885,2.0828001218826087,11.89848374812643,7.206458504273475
WLFIUSDT,5,4,50.0,2.7450161776712516,1.8664234259653756,0.7,52.0,2.5848891234472386,1.6016014846754623,0.6730769230769231,102.0,2.6633827774786174,1.7327014556110627,11.517598865107523,10.262764384251405
LDOUSDT,5,4,32.0,0.26452649258121314,1.6155556029461213,0.4375,20.0,2.573532028382293,2.5534330715891245,0.85,52.0,1.1526055448123977,1.9762777062703536,11.805878069526822,7.835176004609765
ALGOUSDT,5,4,81.0,2.4440911484664447,0.20094044309217082,0.6049382716049383,64.0,2.518034585375313,3.155829359246472,0.5625,145.0,2.4767282516538076,1.5051672750499314,11.801169340830052,10.511251518347645
AEROUSDT,5,4,38.0,2.464001755842226,3.4917826721655807,0.6842105263157895,61.0,2.099258690441207,1.4625270564669124,0.7377049180327869,99.0,2.2392610791809915,2.2414332523916536,12.931878831184656,8.663922724424635
CHZUSDT,5,4,37.0,4.582383416871726,4.672462634452277,0.8378378378378378,21.0,2.0767628281053128,2.3562271167362008,0.7142857142857143,58.0,3.6751759623183697,3.833825636658525,12.381922012081287,6.419362067230001
FILUSDT,5,4,32.0,1.6864127472280626,3.4431273068418826,0.625,21.0,1.6382284395089635,3.213555873855805,0.5714285714285714,53.0,1.6673208517167215,3.3521650409417383,11.25529758403326,5.063833654821152
LITUSDT,5,4,92.0,-0.6072496344131095,-0.4074684290123042,0.44565217391304346,48.0,1.6003588430999358,1.6669042174621123,0.625,140.0,0.1496447007342203,0.3037450497789243,12.63048750019269,6.2283090298371695
ZKUSDT,5,4,23.0,1.8362060677208334,2.0495177761173378,0.6956521739130435,20.0,1.31737991069298,0.8765116534275655,0.55,43.0,1.5948915760799713,1.503933533005816,11.441283920929088,4.0107926971108565
NEARUSDT,5,4,39.0,1.215612145987087,2.216402071423691,0.5897435897435898,10.0,1.0956933043164767,3.86615780801703,0.6,49.0,1.1911389129930847,2.553086915626413,11.062172956060545,2.627357794857306
