symbol,day,month,entry_ts_ms,exit_ts_ms,gross_pnl_bps,entry_spread_bps,entry_spread_abs_bps,entry_spread_velocity_bps,ls_diff_signed,oi_diff_signed_bps,carry_diff_signed_bps,score
CRVUSDT,2025-08-05,2025-08,1754363400000,1754363460000,2.186761,-14.407625,14.407625,9.979907,0.653820,21.229665,12.379278,11.089392
CRVUSDT,2025-08-05,2025-08,1754377140000,1754377200000,3.305018,-16.474465,16.474465,3.290549,0.839898,15.412069,14.159715,11.002169
CRVUSDT,2025-08-06,2025-08,1754480280000,1754480340000,5.503567,-16.528926,16.528926,7.706694,0.817754,15.443097,8.453461,8.133104
CRVUSDT,2025-08-06,2025-08,1754491560000,1754491620000,1.095888,-14.265335,14.265335,10.984137,0.852109,33.882783,11.204767,13.231049
GALAUSDT,2025-08-09,2025-08,1754775780000,1754775840000,16.694491,-16.694491,16.694491,11.129661,0.469388,25.818915,2.449694,6.858017
GALAUSDT,2025-08-11,2025-08,1754929560000,1754929620000,11.534025,-17.301038,17.301038,11.524031,0.377475,18.241759,6.358269,7.204961
CRVUSDT,2025-08-12,2025-08,1754980200000,1754980260000,15.178738,-14.095197,14.095197,10.849497,1.168760,36.537193,10.330253,13.641325
CRVUSDT,2025-08-12,2025-08,1754986020000,1754986080000,3.271629,-14.141194,14.141194,9.781046,1.118071,19.332611,4.912116,7.440651
GALAUSDT,2025-08-13,2025-08,1755084000000,1755084060000,10.831300,-16.251354,16.251354,5.411246,0.330826,83.939482,9.837384,22.037414
CRVUSDT,2025-08-14,2025-08,1755192480000,1755192540000,16.177158,-14.019196,14.019196,2.167024,0.827582,26.695624,11.031786,11.682599
CRVUSDT,2025-08-14,2025-08,1755198660000,1755198720000,10.792138,-14.034330,14.034330,6.480645,0.770812,18.842625,10.060059,9.569367
CRVUSDT,2025-08-14,2025-08,1755199560000,1755199620000,5.379227,-16.155089,16.155089,9.700700,0.791809,29.600405,9.460882,11.442331
CRVUSDT,2025-08-14,2025-08,1755208380000,1755208440000,2.178751,-14.265335,14.265335,3.288387,0.979567,40.004315,8.321737,13.141298
CRVUSDT,2025-08-14,2025-08,1755209820000,1755209880000,19.837628,-16.528926,16.528926,3.315977,0.975187,20.626870,9.201329,9.701225
CRVUSDT,2025-08-14,2025-08,1755213660000,1755213720000,7.649406,-15.277172,15.277172,4.360141,0.985187,28.788335,11.058841,12.272275
CRVUSDT,2025-08-15,2025-08,1755218760000,1755218820000,16.244901,-14.079931,14.079931,3.206154,0.997908,5.934608,12.531660,8.450660
CRVUSDT,2025-08-15,2025-08,1755221580000,1755221640000,-0.000000,-14.079931,14.079931,5.420048,1.000275,5.849334,7.930010,6.135147
CRVUSDT,2025-08-15,2025-08,1755223380000,1755223440000,14.110963,-15.194270,15.194270,5.442400,1.027619,5.393251,15.297568,9.755053
CRVUSDT,2025-08-15,2025-08,1755223560000,1755223620000,11.902767,-15.144959,15.144959,3.241485,1.019505,23.519533,7.530984,9.488903
CRVUSDT,2025-08-15,2025-08,1755230100000,1755230160000,10.841284,-15.177797,15.177797,6.499125,1.011152,6.476292,9.660738,7.136780
CRVUSDT,2025-08-15,2025-08,1755231300000,1755231360000,12.995450,-14.079931,14.079931,4.338617,1.018128,19.752293,10.530650,10.233911
