symbol,overlap_days,train_days,test_days,aligned_bars_total,signal_count_total,avg_net_pnl_bps_total,hit_rate_total,signal_count_train,avg_net_pnl_bps_train,hit_rate_train,signal_count_test,avg_net_pnl_bps_test,hit_rate_test,mean_signal_spread_bps_total
CRVUSDT,245,30,15,64800,45425,11.593603,0.584678,29224,11.012593,0.599678,16201,12.641653,0.557620,23.367379
PAXGUSDT,245,30,15,64800,8,-1.555404,0.125000,7,-3.506128,0.000000,1,12.099660,1.000000,13.629154
ZECUSDT,245,30,15,64800,431,-3.288998,0.085847,428,-3.375989,0.079439,3,9.121653,1.000000,11.620464
GALAUSDT,245,30,15,64800,31732,6.648261,0.620887,18964,6.050093,0.642059,12768,7.536705,0.589442,17.184799
SOLUSDT,246,30,15,64800,27,-1.993798,0.222222,26,-2.355598,0.192308,1,7.412998,1.000000,13.389404
ETHUSDT,246,30,15,64800,12,17.773259,0.833333,11,18.766773,0.818182,1,6.844605,1.000000,24.057099
BCHUSDT,245,30,15,64800,10,6.853290,0.700000,9,6.899218,0.666667,1,6.439939,1.000000,15.253911
PENGUUSDT,245,30,15,64800,19,6.048767,0.789474,18,6.114573,0.777778,1,4.864262,1.000000,14.766553
BTCUSDT,246,30,15,64800,2,4.628826,1.000000,0,nan,nan,2,4.628826,1.000000,10.863487
HYPEUSDT,246,30,15,64800,142,-2.933872,0.176056,136,-3.260045,0.147059,6,4.459372,0.833333,12.204272
TONUSDT,245,30,15,64800,30,3.419893,0.566667,25,3.228948,0.520000,5,4.374622,0.800000,13.325620
TRUMPUSDT,245,30,15,64800,59,1.559893,0.491525,47,0.989505,0.425532,12,3.793913,0.750000,12.754493
XLMUSDT,245,30,15,64800,7,17.538394,1.000000,6,19.838387,1.000000,1,3.738432,1.000000,20.415095
TRXUSDT,245,30,15,64800,62,-5.407443,0.032258,61,-5.552284,0.016393,1,3.427859,1.000000,11.848191
1000RATSUSDT,245,30,15,64800,25440,-0.782263,0.449371,19190,-2.153435,0.390255,6250,3.427781,0.630880,16.614274
HBARUSDT,245,30,15,64800,12,7.718387,0.833333,11,8.113615,0.818182,1,3.370875,1.000000,20.683088
CAKEUSDT,245,30,15,64800,1023,3.669573,0.751711,900,3.720461,0.743333,123,3.297225,0.813008,12.685649
ETHFIUSDT,245,30,15,64800,684,2.783933,0.776316,473,2.606818,0.754757,211,3.180973,0.824645,12.083761
VIRTUALUSDT,245,30,15,64800,29,8.652529,0.827586,24,9.822940,0.833333,5,3.034555,0.800000,16.822913
AEROUSDT,245,30,15,64800,1798,2.862854,0.701335,1112,2.772028,0.699640,686,3.010082,0.704082,12.684730
ZROUSDT,245,30,15,64800,638,-2.979337,0.227273,612,-3.230861,0.209150,26,2.941132,0.653846,14.861637
ETCUSDT,245,30,15,64800,77,3.663942,0.766234,74,3.701060,0.756757,3,2.748367,1.000000,12.346410
STRKUSDT,232,30,15,2880,14,2.306962,0.857143,0,nan,nan,14,2.306962,0.857143,11.496251
CHZUSDT,245,30,15,64800,1494,2.499597,0.623829,636,2.962636,0.679245,858,2.156366,0.582751,12.612919
LDOUSDT,245,30,15,64800,462,2.585911,0.666667,244,2.991234,0.627049,218,2.132247,0.711009,12.377910
KAVAUSDT,245,30,15,64800,30783,1.699202,0.500081,19134,1.459737,0.509198,11649,2.092534,0.485106,18.988869
ARBUSDT,245,30,15,64800,2168,1.927557,0.598247,619,1.810239,0.612278,1549,1.974439,0.592640,11.613077
SEIUSDT,245,30,15,64800,13427,1.439704,0.513294,8303,1.299732,0.520294,5124,1.666516,0.501952,12.986712
ICPUSDT,245,30,15,64800,400,2.241717,0.645000,195,2.870701,0.687179,205,1.643415,0.604878,12.977785
ENAUSDT,245,30,15,64800,1732,1.492920,0.551963,477,1.707524,0.526205,1255,1.411354,0.561753,11.404085
ADAUSDT,246,30,15,64800,44,3.035149,0.795455,28,3.972300,0.821429,16,1.395134,0.750000,12.026193
NEARUSDT,246,30,15,64800,3242,1.415844,0.566317,1777,1.440279,0.566123,1465,1.386205,0.566553,11.744570
1000BONKUSDT,245,30,15,64800,48,3.620087,0.645833,33,4.700804,0.696970,15,1.242509,0.533333,13.239778
APTUSDT,245,30,15,64800,28,6.421569,0.750000,19,8.888776,0.842105,9,1.213020,0.555556,13.583305
FILUSDT,245,30,15,64800,7296,0.913776,0.520970,4292,0.811708,0.516542,3004,1.059607,0.527297,12.055896
