ls_threshold,oi_threshold_bps,carry_threshold_bps,train_signals,train_avg_net_bps,test_signals,test_avg_net_bps
0.15,5.0,0.0,60724,-2.176883400741239,35759,-2.073168937348714
0.15,5.0,0.5,59083,-2.215783745786948,35259,-2.122061203703014
0.1,5.0,0.0,64451,-2.269382350350735,37281,-2.122464529679605
0.15,5.0,1.0,58416,-2.2394905026448986,34905,-2.1516836950482547
0.1,5.0,0.5,62775,-2.307749247751285,36747,-2.1683868857327706
0.1,5.0,1.0,62078,-2.3308505480004786,36382,-2.1972837614770544
0.15,5.0,2.0,57113,-2.2902475457610314,34206,-2.206007204295465
0.05,5.0,0.0,68761,-2.371771223814152,39165,-2.2158819833699526
0.15,2.0,0.0,77832,-2.2348192701487153,46962,-2.232080773523426
0.1,5.0,2.0,60721,-2.377519503684112,35642,-2.2501929765774444
0.05,5.0,0.5,67038,-2.411331413007904,38607,-2.2610746989023682
0.1,2.0,0.0,82841,-2.3296213142768485,48866,-2.2657233223311324
0.15,2.0,0.5,75560,-2.2651276960158193,46326,-2.2763394799645957
0.05,5.0,1.0,66308,-2.4345798391028852,38225,-2.289302359079282
0.15,2.0,1.0,74719,-2.2869061308385294,45872,-2.306529293002158
0.1,2.0,0.5,80519,-2.360000594917507,48185,-2.308590562173932
0.0,5.0,0.0,73634,-2.4817741798443214,41541,-2.3348015712123584
0.15,0.0,0.0,96584,-2.3033051903514132,58675,-2.337124483804383
0.1,2.0,1.0,79635,-2.3807337749179944,47716,-2.338011215488207
0.05,5.0,2.0,64908,-2.4813008452933616,37455,-2.3412066726499368
0.05,2.0,0.0,88938,-2.442085543349115,51430,-2.35574169722254
0.15,2.0,2.0,73042,-2.3369861470893296,44980,-2.3584886956362423
0.1,0.0,0.0,103099,-2.401192971666557,61001,-2.364726529363059
0.0,5.0,0.5,71801,-2.523802586154594,40946,-2.377946255477579
0.15,0.0,0.5,93205,-2.3295051001249236,57822,-2.378484317305955
0.1,2.0,2.0,77886,-2.4266581322548557,46771,-2.389963538216729
0.05,2.0,0.5,86543,-2.4742739741819166,50711,-2.398044892328964
0.0,5.0,1.0,71020,-2.545573915617972,40552,-2.4043422099517326
0.1,0.0,0.5,99659,-2.428424867074452,60095,-2.4049228078448723
0.15,0.0,1.0,92136,-2.3518746861702677,57270,-2.4052747274624453
0.05,2.0,1.0,85611,-2.494690104216575,50223,-2.426637658532505
0.1,0.0,1.0,98535,-2.449514124717115,59523,-2.4307225820294063
0.15,0.0,2.0,90028,-2.3975431323787717,56144,-2.4504197819544786
0.0,5.0,2.0,69542,-2.5927874001964004,39734,-2.453636609958153
0.05,0.0,0.0,111959,-2.536838440225409,64519,-2.46666278429254
0.1,0.0,2.0,96330,-2.4915687132704405,58329,-2.476160831294779
0.05,2.0,2.0,83796,-2.540860501865189,49237,-2.4777731909495633
0.0,2.0,0.0,96117,-2.5597202050253536,54920,-2.4955513355223626
0.05,0.0,0.5,108426,-2.56696348309769,63564,-2.5065995958177973
0.05,0.0,1.0,107242,-2.5875337540562744,62965,-2.532114100768937
0.0,2.0,0.5,93543,-2.5943348666312307,54149,-2.5360342484496003
0.0,2.0,1.0,92545,-2.613301452600994,53643,-2.5630341156859484
0.05,0.0,2.0,104946,-2.6303989287859797,61715,-2.577535025329548
0.0,2.0,2.0,90622,-2.658925817606168,52589,-2.6126864888785852
0.0,0.0,0.0,122182,-2.6685448653529127,69919,-2.6473383486032818
0.0,0.0,0.5,118427,-2.701865816878854,68893,-2.6860608176148535
0.0,0.0,1.0,117159,-2.7216193560195223,68269,-2.7105807460409737
0.0,0.0,2.0,114735,-2.763844051381972,66929,-2.7554894609916025
