iso_week,fills,pnl_dollars
2025-W32,27,28.06
2025-W33,42,-115.79
2025-W34,25,-157.91
2025-W35,39,54.09
2025-W36,27,-65.57
2025-W37,32,-53.74
2025-W38,37,-217.21
2025-W39,28,-119.53
2025-W40,49,-34.36
2025-W41,40,-480.71
2025-W42,30,7.15
2025-W43,54,-106.62
2025-W44,51,112.11
2025-W45,51,192.76
2025-W46,51,-5.59
2025-W47,44,-10.95
2025-W48,58,391.15
2025-W49,54,154.00
2025-W50,63,487.27
2025-W51,55,126.35
2025-W52,57,423.42
2026-W01,57,88.54
2026-W02,37,-23.57
2026-W03,50,83.15
2026-W04,52,-33.64
2026-W05,60,947.39
2026-W06,61,800.24
2026-W07,63,544.81
2026-W08,63,718.14
2026-W09,58,1295.15
2026-W10,6,154.88
