iso_week,fills,pnl_dollars
2025-W32,5,-56.13
2025-W33,16,-51.00
2025-W34,11,-102.94
2025-W35,12,28.32
2025-W36,7,13.71
2025-W37,4,16.15
2025-W38,17,130.62
2025-W39,21,213.21
2025-W40,19,72.31
2025-W41,23,28.50
2025-W42,21,-13.60
2025-W43,33,-78.71
2025-W44,32,259.61
2025-W45,26,186.71
2025-W46,28,253.96
2025-W47,31,290.43
2025-W48,37,207.98
2025-W49,37,12.90
2025-W50,48,300.22
2025-W51,43,153.50
2025-W52,45,586.65
2026-W01,37,87.36
2026-W02,22,443.52
2026-W03,28,64.72
2026-W04,41,226.06
2026-W05,46,613.52
2026-W06,46,804.25
2026-W07,53,964.20
2026-W08,55,719.89
2026-W09,47,1092.87
2026-W10,6,170.26
