min_score,sei_score_extra,max_velocity,min_spread_abs,min_ls,min_oi,min_carry,train_trades,train_avg_net_bps,train_win_rate,test_trades,test_avg_net_bps,test_win_rate
8.0,10.0,12.0,12.0,0.15,5.0,6.0,6181,2.608301,0.519333,2698,6.080853,0.503336
8.0,10.0,12.0,12.0,0.15,5.0,6.0,6181,2.608301,0.519333,2698,6.080853,0.503336
8.0,10.0,12.0,12.0,0.25,5.0,2.0,6350,2.602086,0.522520,2914,6.085818,0.502402
8.0,10.0,12.0,12.0,0.25,5.0,2.0,6350,2.602086,0.522520,2914,6.085818,0.502402
8.0,10.0,12.0,12.0,0.15,15.0,2.0,4534,2.601947,0.529775,1872,6.556355,0.523504
8.0,10.0,12.0,12.0,0.15,15.0,2.0,4534,2.601947,0.529775,1872,6.556355,0.523504
8.0,10.0,12.0,12.0,0.15,5.0,2.0,6734,2.598297,0.522424,2914,6.085818,0.502402
8.0,10.0,12.0,12.0,0.15,5.0,2.0,6734,2.598297,0.522424,2914,6.085818,0.502402
8.0,10.0,12.0,12.0,0.15,5.0,2.0,6734,2.598297,0.522424,2914,6.085818,0.502402
8.0,10.0,12.0,12.0,0.15,5.0,2.0,6734,2.598297,0.522424,2914,6.085818,0.502402
8.0,10.0,12.0,12.0,0.15,5.0,2.0,6734,2.598297,0.522424,2914,6.085818,0.502402
8.0,10.0,12.0,12.0,0.15,5.0,2.0,6734,2.598297,0.522424,2914,6.085818,0.502402
8.0,10.0,12.0,12.0,0.15,5.0,2.0,6734,2.598297,0.522424,2914,6.085818,0.502402
8.0,10.0,12.0,12.0,0.15,5.0,2.0,6734,2.598297,0.522424,2914,6.085818,0.502402
8.0,10.0,12.0,12.0,0.15,5.0,2.0,6734,2.598297,0.522424,2914,6.085818,0.502402
8.0,10.0,12.0,12.0,0.15,5.0,2.0,6734,2.598297,0.522424,2914,6.085818,0.502402
8.0,10.0,12.0,12.0,0.15,5.0,2.0,6734,2.598297,0.522424,2914,6.085818,0.502402
8.0,10.0,12.0,12.0,0.15,5.0,4.0,6534,2.592473,0.520355,2806,6.080276,0.501426
8.0,10.0,12.0,12.0,0.15,5.0,4.0,6534,2.592473,0.520355,2806,6.080276,0.501426
8.0,8.0,12.0,12.0,0.15,5.0,2.0,6753,2.587614,0.522286,2946,6.030640,0.502716
8.0,10.0,12.0,12.0,0.15,10.0,2.0,5567,2.565284,0.526855,2352,6.298615,0.508078
8.0,10.0,12.0,12.0,0.15,10.0,2.0,5567,2.565284,0.526855,2352,6.298615,0.508078
8.0,6.0,12.0,12.0,0.15,5.0,2.0,6790,2.561038,0.521208,3003,5.910291,0.500833
8.0,10.0,10.0,12.0,0.15,5.0,2.0,6018,2.534474,0.514789,2696,5.925850,0.491469
8.0,10.0,12.0,12.0,0.35,5.0,2.0,5783,2.505587,0.515131,2914,6.085818,0.502402
8.0,10.0,12.0,12.0,0.35,5.0,2.0,5783,2.505587,0.515131,2914,6.085818,0.502402
7.0,10.0,12.0,12.0,0.15,5.0,2.0,7698,2.497387,0.519745,3148,6.229235,0.509848
5.0,10.0,12.0,12.0,0.15,5.0,2.0,9319,2.484751,0.521944,3492,6.099095,0.507159
4.0,10.0,12.0,12.0,0.15,5.0,2.0,9779,2.484468,0.522446,3602,6.051813,0.507218
6.0,10.0,12.0,12.0,0.15,5.0,2.0,8605,2.483040,0.520163,3321,6.107323,0.506474
8.0,10.0,6.0,12.0,0.15,5.0,2.0,4441,2.445784,0.505292,2056,5.961462,0.485409
8.0,10.0,8.0,12.0,0.15,5.0,2.0,5273,2.424285,0.507681,2316,6.003841,0.492228
8.0,10.0,12.0,11.0,0.15,5.0,2.0,7780,2.157162,0.513111,3013,5.719564,0.498175
8.0,10.0,12.0,11.0,0.15,5.0,2.0,7780,2.157162,0.513111,3013,5.719564,0.498175
8.0,10.0,12.0,10.0,0.15,5.0,2.0,8710,1.779716,0.507463,3107,5.487140,0.495655
8.0,10.0,12.0,10.0,0.15,5.0,2.0,8710,1.779716,0.507463,3107,5.487140,0.495655
8.0,10.0,12.0,10.0,0.15,5.0,2.0,8710,1.779716,0.507463,3107,5.487140,0.495655
8.0,10.0,10.0,10.0,0.15,5.0,2.0,7554,1.725799,0.496558,2858,5.424844,0.486704
8.0,10.0,10.0,10.0,0.15,5.0,2.0,7554,1.725799,0.496558,2858,5.424844,0.486704
8.0,8.0,10.0,10.0,0.15,5.0,2.0,7580,1.712632,0.496174,2896,5.352799,0.486188
8.0,6.0,10.0,10.0,0.15,5.0,2.0,7636,1.681196,0.494893,2965,5.217242,0.483980
8.0,6.0,10.0,10.0,0.15,5.0,2.0,7636,1.681196,0.494893,2965,5.217242,0.483980
8.0,10.0,6.0,10.0,0.15,5.0,2.0,5561,1.638791,0.486963,2169,5.415407,0.478562
8.0,10.0,8.0,10.0,0.15,5.0,2.0,6620,1.625803,0.489426,2464,5.422701,0.486201
7.0,6.0,10.0,10.0,0.15,5.0,2.0,8858,1.551744,0.490178,3245,5.289641,0.489676
6.0,6.0,10.0,10.0,0.15,5.0,2.0,10097,1.499760,0.488957,3484,5.084143,0.485936
5.0,6.0,10.0,10.0,0.15,5.0,2.0,11131,1.483299,0.489624,3707,5.086324,0.489614
4.0,6.0,10.0,10.0,0.15,5.0,2.0,11847,1.471097,0.489238,3887,4.954328,0.489323
