min_bybit_trade_count_5s,min_binance_trade_count_5s,max_bybit_book_spread_bps,max_bybit_trade_imbalance_5s,train_n,train_avg_net_bps,train_win_rate,test_n,test_avg_net_bps,test_win_rate
8.0,0.0,4.5,1.0,44,10.998216,0.636364,35,6.080009,0.514286
8.0,0.0,4.5,1.0,44,10.998216,0.636364,35,6.080009,0.514286
8.0,0.0,4.5,1.0,44,10.998216,0.636364,35,6.080009,0.514286
8.0,0.0,10.0,1.0,53,10.386611,0.603774,35,6.080009,0.514286
8.0,0.0,10.0,1.0,53,10.386611,0.603774,35,6.080009,0.514286
8.0,0.0,10.0,1.0,53,10.386611,0.603774,35,6.080009,0.514286
8.0,0.0,6.0,1.0,53,10.386611,0.603774,35,6.080009,0.514286
4.0,0.0,4.5,1.0,92,9.421506,0.586957,66,7.844438,0.590909
0.0,4.0,4.5,1.0,52,9.052912,0.576923,37,5.128321,0.594595
0.0,0.0,4.5,0.2,224,8.978900,0.589286,151,4.620699,0.516556
0.0,0.0,4.5,0.0,222,8.965426,0.590090,148,4.514334,0.506757
2.0,0.0,4.5,1.0,117,8.942962,0.598291,82,7.025471,0.585366
0.0,0.0,4.5,0.5,226,8.842004,0.584071,156,4.387111,0.506410
6.0,0.0,4.5,1.0,66,8.789205,0.560606,48,6.768277,0.541667
4.0,0.0,10.0,1.0,108,8.685212,0.555556,67,7.633617,0.582090
0.0,0.0,4.5,1.0,290,8.398464,0.582759,197,5.104024,0.522843
0.0,0.0,4.5,1.0,290,8.398464,0.582759,197,5.104024,0.522843
0.0,0.0,4.5,1.0,290,8.398464,0.582759,197,5.104024,0.522843
0.0,0.0,4.5,1.0,290,8.398464,0.582759,197,5.104024,0.522843
6.0,0.0,10.0,1.0,78,8.047948,0.525641,48,6.768277,0.541667
2.0,0.0,10.0,1.0,139,7.791685,0.553957,83,6.865157,0.578313
0.0,0.0,10.0,1.0,362,6.947705,0.530387,199,4.984682,0.517588
0.0,0.0,10.0,1.0,362,6.947705,0.530387,199,4.984682,0.517588
0.0,0.0,6.0,1.0,362,6.947705,0.530387,198,5.041577,0.520202
0.0,2.0,4.5,1.0,126,6.866806,0.571429,76,5.819966,0.565789
0.0,0.0,3.8,1.0,161,3.047215,0.540373,83,6.777426,0.638554
0.0,0.0,3.5,1.0,161,3.047215,0.540373,83,6.777426,0.638554
