min_bybit_trade_count_5s,min_binance_trade_count_5s,max_bybit_book_spread_bps,max_bybit_trade_imbalance_5s,train_n,train_avg_net_bps,train_win_rate,test_n,test_avg_net_bps,test_win_rate
2.0,0.0,4.5,0.5,464,5.101979,0.528017,109,9.297148,0.623853
2.0,0.0,4.5,0.5,464,5.101979,0.528017,109,9.297148,0.623853
6.0,0.0,4.5,1.0,514,4.987838,0.507782,114,7.938288,0.552632
2.0,0.0,4.5,0.0,413,4.912665,0.518160,97,10.197452,0.649485
2.0,0.0,4.5,0.0,413,4.912665,0.518160,97,10.197452,0.649485
8.0,0.0,4.5,1.0,398,4.910839,0.500000,79,8.819264,0.582278
6.0,0.0,10.0,1.0,535,4.771114,0.508411,126,7.560454,0.531746
2.0,0.0,4.5,1.0,901,4.745526,0.512764,199,8.152840,0.592965
2.0,0.0,4.5,1.0,901,4.745526,0.512764,199,8.152840,0.592965
2.0,0.0,4.5,1.0,901,4.745526,0.512764,199,8.152840,0.592965
2.0,0.0,4.5,1.0,901,4.745526,0.512764,199,8.152840,0.592965
2.0,0.0,4.5,1.0,901,4.745526,0.512764,199,8.152840,0.592965
2.0,0.0,4.5,1.0,901,4.745526,0.512764,199,8.152840,0.592965
2.0,0.0,4.5,0.2,433,4.721781,0.512702,102,10.193196,0.656863
2.0,0.0,4.5,0.2,433,4.721781,0.512702,102,10.193196,0.656863
8.0,0.0,10.0,1.0,418,4.693172,0.502392,88,8.673758,0.568182
2.0,0.0,6.0,1.0,929,4.579657,0.511302,221,7.507388,0.565611
2.0,0.0,6.0,1.0,929,4.579657,0.511302,221,7.507388,0.565611
2.0,0.0,10.0,1.0,935,4.560266,0.511230,222,7.445280,0.563063
2.0,0.0,10.0,1.0,935,4.560266,0.511230,222,7.445280,0.563063
2.0,0.0,10.0,1.0,935,4.560266,0.511230,222,7.445280,0.563063
2.0,0.0,10.0,1.0,935,4.560266,0.511230,222,7.445280,0.563063
4.0,0.0,4.5,1.0,694,4.553589,0.502882,158,8.762731,0.588608
4.0,0.0,10.0,1.0,720,4.347659,0.502778,175,8.282602,0.565714
2.0,6.0,4.5,1.0,151,4.338832,0.516556,28,10.826921,0.642857
2.0,2.0,4.5,1.0,516,4.107281,0.494186,112,7.684018,0.598214
2.0,0.0,3.8,1.0,489,3.987259,0.539877,110,4.432616,0.572727
2.0,0.0,3.8,1.0,489,3.987259,0.539877,110,4.432616,0.572727
2.0,2.0,10.0,1.0,536,3.939792,0.494403,125,7.217987,0.576000
2.0,6.0,10.0,1.0,163,3.924761,0.515337,31,13.419273,0.677419
0.0,0.0,4.5,1.0,2462,3.788602,0.475223,487,7.065806,0.558522
0.0,0.0,10.0,1.0,2529,3.764425,0.474891,561,6.251374,0.525847
2.0,4.0,4.5,1.0,248,3.530783,0.475806,56,10.149964,0.660714
2.0,4.0,10.0,1.0,263,3.023182,0.471483,61,11.019414,0.672131
2.0,0.0,3.5,1.0,399,2.816824,0.523810,110,4.432616,0.572727
2.0,0.0,3.5,1.0,399,2.816824,0.523810,110,4.432616,0.572727
