symbol,day,month,entry_ts_ms,exit_ts_ms,gross_pnl_bps,entry_spread_bps,entry_spread_abs_bps,entry_spread_velocity_bps,ls_diff_signed,oi_diff_signed_bps,carry_diff_signed_bps,score,net_pnl_bps_25pct_model,is_winner_25pct_model,bybit_book_lag_ms,bybit_best_bid,bybit_best_ask,bybit_book_spread_bps,bybit_top5_bid_notional,bybit_top5_ask_notional,bybit_top5_imbalance,bybit_trade_count_5s,bybit_buy_notional_5s,bybit_sell_notional_5s,bybit_trade_imbalance_5s,binance_depth_lag_ms,binance_bid_notional_1pct,binance_ask_notional_1pct,binance_depth_imbalance_1pct,binance_trade_count_5s,binance_buy_notional_5s,binance_sell_notional_5s,binance_trade_imbalance_5s
CRVUSDT,2026-02-24,2026-02,1771893840000,1771893900000,75.851060,-44.642857,44.642857,4.446341,1.476585,22.821437,5.563057,8.822401,62.914457,1,0,0.223900,0.224000,4.465282,83504.560190,93304.672860,-0.055428,1.000000,0,4.992970,-1.000000,28000,342737.592800,193841.917700,0.277490,0.000000,0,0,nan
CRVUSDT,2026-02-24,2026-02,1771895580000,1771895640000,36.092945,-27.075812,27.075812,8.992718,1.442630,38.954071,4.511823,11.489356,24.685728,1,0,0.221700,0.221800,4.509583,70048.623590,122875.404110,-0.273822,26.000000,3021.674630,4418.627190,-0.187755,0,361734.751600,254710.523100,0.173615,2.000000,0,11.911900,-1.000000
CRVUSDT,2026-02-24,2026-02,1771895880000,1771895940000,-0.000000,-18.148820,18.148820,4.406264,1.457249,25.750687,10.337020,11.775896,-10.285195,0,0,0.218200,0.218300,4.581901,74696.889960,98151.114000,-0.135693,50.000000,1514.142460,8188.928030,-0.687904,28000,214297.117600,301177.432900,-0.168544,2.000000,0,285.253000,-1.000000
CRVUSDT,2026-02-24,2026-02,1771897680000,1771897740000,18.086900,-40.558810,40.558810,8.968430,1.542437,15.767434,22.450258,15.921053,5.332597,1,0,0.222000,0.222100,4.503490,78427.555470,104360.948500,-0.141876,0.000000,0,0,nan,0,214286.881800,398302.304000,-0.300390,2.000000,0,112.489000,-1.000000
CRVUSDT,2026-02-24,2026-02,1771899480000,1771899540000,-8.992718,-27.075812,27.075812,0.000000,1.538185,24.214989,4.524470,8.643418,-19.950299,0,0,0.221500,0.221600,4.513654,89721.200640,105321.660560,-0.079985,1.000000,0,2121.620560,-1.000000,0,334403.291400,282556.802500,0.084035,0.000000,0,0,nan
CRVUSDT,2026-02-24,2026-02,1771899540000,1771899600000,40.575065,-36.068530,36.068530,8.992718,1.538185,24.214989,25.311570,19.036968,28.268576,1,0,0.221600,0.221700,4.511617,105029.102180,131890.068700,-0.113376,0.000000,0,0,nan,28000,262869.411500,317008.403700,-0.093363,1.000000,0,12.376000,-1.000000
CRVUSDT,2026-02-24,2026-02,1771901400000,1771901460000,-0.000000,-31.574199,31.574199,8.984611,1.497474,17.782955,12.293874,11.201002,-11.856650,0,0,0.221800,0.221900,4.507550,129647.740360,107986.776700,0.091152,0.000000,0,0,nan,28000,307421.709400,278557.045200,0.049259,5.000000,10.500600,37.945700,-0.566506
CRVUSDT,2026-02-24,2026-02,1771901460000,1771901520000,4.498387,-31.574199,31.574199,0.000000,1.497474,17.782955,16.460752,13.284441,-6.909033,0,0,0.221700,0.221800,4.509583,133258.314150,122594.698100,0.041679,0.000000,0,0,nan,27000,292864.606800,314030.303200,-0.034875,0.000000,0,0,nan
CRVUSDT,2026-02-24,2026-02,1771901520000,1771901580000,4.502449,-27.075812,27.075812,4.498387,1.497474,17.782955,10.299025,10.203578,-6.680052,0,0,0.221600,0.221700,4.511617,129133.834760,83571.324480,0.214205,0.000000,0,0,nan,28000,290075.523800,314748.947200,-0.040794,0.000000,0,0,nan
CRVUSDT,2026-02-24,2026-02,1771901580000,1771901640000,4.506516,-22.573363,22.573363,4.502449,1.497474,17.782955,6.832894,8.470512,-6.225943,0,0,0.221600,0.221700,4.511617,106300.437510,94282.879140,0.059913,6.000000,908.582160,0,1.000000,0,326817.052400,410935.627900,-0.114020,1.000000,0,39.117000,-1.000000
CRVUSDT,2026-02-24,2026-02,1771902480000,1771902540000,9.066168,-18.148820,18.148820,4.526917,1.492698,55.560573,6.057179,15.633402,-1.225060,0,0,0.220500,0.220600,4.534119,122529.157010,123721.203240,-0.004841,6.000000,0,3252.793950,-1.000000,29000,205249.794100,409113.633200,-0.331829,2.000000,17.967300,6.424000,0.473255
CRVUSDT,2026-02-24,2026-02,1771903140000,1771903200000,4.522738,-49.977283,49.977283,4.522738,1.474989,22.123941,35.403206,23.601381,-8.951127,0,0,0.220000,0.220100,4.544422,101054.892830,147369.890030,-0.186435,5.000000,487.608000,0,1.000000,0,316703.895300,302303.377700,0.023264,3.000000,0,23.827200,-1.000000
CRVUSDT,2026-02-24,2026-02,1771903200000,1771903260000,-4.522738,-45.454545,45.454545,4.522738,1.476336,53.370354,39.737978,32.019395,-17.544329,0,0,0.220100,0.220200,4.542357,91944.987950,139059.228590,-0.203954,0.000000,0,0,nan,27000,317901.355000,304176.442200,0.022063,1.000000,0,20.432700,-1.000000
CRVUSDT,2026-02-24,2026-02,1771903260000,1771903320000,-0.000000,-49.977283,49.977283,4.522738,1.476336,53.370354,34.742189,29.521501,-13.473865,0,0,0.220000,0.220100,4.544422,106081.234520,114208.550040,-0.036894,3.000000,0,22.000000,-1.000000,27000,323607.519100,282511.836200,0.067801,3.000000,99.990000,10.862400,0.804020
CRVUSDT,2026-02-24,2026-02,1771903320000,1771903380000,9.049589,-49.977283,49.977283,0.000000,1.476336,53.370354,34.820248,29.560531,-4.198139,0,0,0.220000,0.220100,4.544422,86354.857410,120130.427490,-0.163574,0.000000,0,0,nan,28000,327934.380800,278111.177300,0.082210,1.000000,0,9.723600,-1.000000
CRVUSDT,2026-02-24,2026-02,1771903380000,1771903440000,-4.526851,-40.927694,40.927694,9.049589,1.476336,53.370354,26.954869,25.627841,-17.322100,0,0,0.220000,0.220100,4.544422,87937.050040,117564.043050,-0.144170,0.000000,0,0,nan,30000,326800.967400,290255.771900,0.059225,3.000000,0,45.004500,-1.000000
CRVUSDT,2026-02-24,2026-02,1771903440000,1771903500000,-4.522738,-45.454545,45.454545,4.526851,1.476336,53.370354,26.119111,25.209962,-17.544535,0,0,0.219900,0.220000,4.546488,105042.398400,127278.184130,-0.095712,0.000000,0,0,nan,59000,328660.855800,284334.129100,0.072312,1.000000,0,8.059200,-1.000000
CRVUSDT,2026-02-24,2026-02,1771903500000,1771903560000,13.580559,-49.977283,49.977283,4.522738,1.476727,7.845308,28.372085,17.231831,0.106694,1,0,0.220000,0.220100,4.544422,96716.636900,141985.299400,-0.189645,0.000000,0,0,nan,0,324956.045700,282213.520500,0.070396,2.000000,0,77.328900,-1.000000
CRVUSDT,2026-02-24,2026-02,1771903620000,1771903680000,-0.000000,-36.396724,36.396724,0.000000,1.476727,7.845308,27.970791,17.031184,-11.889672,0,0,0.219800,0.219900,4.548556,87589.266500,128146.198020,-0.187994,1.000000,0,8.660120,-1.000000,28000,308186.820900,273768.425500,0.059143,0.000000,0,0,nan
CRVUSDT,2026-02-24,2026-02,1771903680000,1771903740000,-0.000000,-36.396724,36.396724,0.000000,1.476727,7.845308,23.021977,14.556778,-11.889672,0,0,0.219800,0.219900,4.548556,87908.249700,121227.063640,-0.159317,1.000000,0,8.660120,-1.000000,28000,316885.374500,282258.097300,0.057795,0.000000,0,0,nan
CRVUSDT,2026-02-24,2026-02,1771906740000,1771906800000,73.344087,-45.871560,45.871560,0.000000,1.486469,109.628751,32.833716,39.829077,60.506931,1,0,0.218000,0.218100,4.586104,97048.749380,119415.697130,-0.103329,0.000000,0,0,nan,0,286107.580400,325655.333900,-0.064646,5.000000,0,155.675800,-1.000000
CRVUSDT,2026-02-24,2026-02,1771907700000,1771907760000,-4.539225,-27.322404,27.322404,9.090864,1.459199,10.019408,8.367918,7.647040,-15.976009,0,0,0.219400,0.219500,4.556847,106642.187020,94038.837790,0.062803,0.000000,0,0,nan,28000,242700.723400,377314.568300,-0.217114,1.000000,0,231.023100,-1.000000
CRVUSDT,2026-02-24,2026-02,1771907760000,1771907820000,-4.535095,-31.861629,31.861629,4.539225,1.459199,10.019408,15.400144,11.163153,-16.198219,0,0,0.219600,0.219700,4.552697,109151.824580,66565.961760,0.242354,0.000000,0,0,nan,28000,241201.264800,374326.624200,-0.216278,3.000000,8.184000,25.732500,-0.517403
CRVUSDT,2026-02-24,2026-02,1771907820000,1771907880000,-4.530970,-36.396724,36.396724,4.535095,1.459199,10.019408,18.407711,12.666936,-16.647397,0,0,0.219700,0.219800,4.550626,105721.135010,113771.654470,-0.036678,11.000000,153.350600,13760.777680,-0.977958,0,252640.171700,375296.892300,-0.195333,1.000000,0,8.453400,-1.000000
CRVUSDT,2026-02-24,2026-02,1771907940000,1771908000000,-18.082746,-40.927694,40.927694,0.000000,1.459199,10.019408,26.992881,16.959522,-30.425515,0,0,0.219900,0.220000,4.546488,125803.289220,104930.641250,0.090462,2.000000,37.207080,0,1.000000,28000,275345.706500,346987.443700,-0.115118,3.000000,6.424000,14.694900,-0.391635
