symbol,day,month,entry_ts_ms,exit_ts_ms,gross_pnl_bps,entry_spread_bps,entry_spread_abs_bps,entry_spread_velocity_bps,ls_diff_signed,oi_diff_signed_bps,carry_diff_signed_bps,score,net_pnl_bps_25pct_model,is_winner_25pct_model,bybit_book_lag_ms,bybit_best_bid,bybit_best_ask,bybit_book_spread_bps,bybit_top5_bid_notional,bybit_top5_ask_notional,bybit_top5_imbalance,bybit_trade_count_5s,bybit_buy_notional_5s,bybit_sell_notional_5s,bybit_trade_imbalance_5s,binance_depth_lag_ms,binance_bid_notional_1pct,binance_ask_notional_1pct,binance_depth_imbalance_1pct,binance_trade_count_5s,binance_buy_notional_5s,binance_sell_notional_5s,binance_trade_imbalance_5s
CRVUSDT,2026-02-24,2026-02,1771893840000,1771893900000,75.851060,-44.642857,44.642857,4.446341,1.476585,22.821437,5.563057,8.822401,62.914457,1,0,0.223900,0.224000,4.465282,83504.560190,93304.672860,-0.055428,1.000000,0,4.992970,-1.000000,28000,342737.592800,193841.917700,0.277490,0.000000,0,0,nan
CRVUSDT,2026-02-24,2026-02,1771956720000,1771956780000,58.213659,-22.371365,22.371365,0.000000,1.488182,11.854881,6.587083,7.152700,47.726523,1,0,0.223400,0.223500,4.475274,64511.359990,83071.655900,-0.125762,0.000000,0,0,nan,30000,255928.011400,325718.313200,-0.119988,2.000000,0,151.194000,-1.000000
CRVUSDT,2026-02-24,2026-02,1771959420000,1771959480000,71.452551,-31.291909,31.291909,4.454293,1.471908,13.265800,10.239725,9.244930,59.850645,1,0,0.223700,0.223800,4.469274,53435.713730,95058.928280,-0.280301,0.000000,0,0,nan,29000,297758.457100,288941.099900,0.015029,4.000000,6.988800,42.258500,-0.716175
CRVUSDT,2026-02-24,2026-02,1771975440000,1771975500000,44.523598,-26.714159,26.714159,8.888847,1.433832,12.766299,4.847116,6.410650,33.157740,1,0,0.224300,0.224400,4.457321,136899.991550,91561.268230,0.198453,0.000000,0,0,nan,0,244643.000500,339998.411200,-0.163101,0.000000,0,0,nan
CRVUSDT,2026-02-26,2026-02,1772065440000,1772065500000,51.068219,-27.483314,27.483314,11.760043,1.114913,12.773989,9.310657,8.325040,39.481885,1,0,0.254300,0.254400,3.931590,60140.354010,92343.466300,-0.211190,53.000000,743.484000,28690.057050,-0.949480,0,643733.541400,494489.979900,0.131120,0.000000,0,0,nan
CRVUSDT,2026-02-26,2026-02,1772078880000,1772078940000,-19.786102,-23.847377,23.847377,0.000000,0.974635,22.350827,12.283355,11.586478,-30.420840,0,0,0.251500,0.251600,3.975353,88504.538270,78680.770590,0.058760,0.000000,0,0,nan,29000,594957.629300,579895.977700,0.012820,2.000000,5.821200,30.044700,-0.675391
CRVUSDT,2026-02-26,2026-02,1772091660000,1772091720000,71.738564,-31.897927,31.897927,3.976108,0.868934,27.277029,13.642515,13.145598,60.099966,1,0,0.250700,0.250800,3.988036,43334.094310,64277.204680,-0.194618,8.000000,0,1531.379850,-1.000000,26000,600981.200300,437694.603400,0.157207,0.000000,0,0,nan
CRVUSDT,2026-02-26,2026-02,1772094900000,1772094960000,39.714059,-31.771247,31.771247,0.000000,0.808727,43.593295,22.263713,20.659242,28.286934,1,0,0.251800,0.251900,3.970617,51204.998590,75298.034820,-0.190454,0.000000,0,0,nan,28000,599341.731000,412623.301300,0.184511,0.000000,0,0,nan
CRVUSDT,2026-02-26,2026-02,1772098620000,1772098680000,15.552024,-31.152648,31.152648,0.000000,0.751354,54.020960,12.555966,17.833529,4.186759,1,0,0.256700,0.256800,3.894839,67998.807840,45983.334580,0.193148,0.000000,0,0,nan,29000,461698.159900,624582.017800,-0.149946,1.000000,0,10.598400,-1.000000
CRVUSDT,2026-02-26,2026-02,1772103180000,1772103240000,39.432177,-23.659306,23.659306,3.935440,0.704328,39.959459,7.931770,12.662105,28.619474,1,0,0.253500,0.253600,3.943995,60561.162170,67511.550230,-0.054269,16.000000,1173.679650,848.058900,0.161060,0,452315.883400,509943.241300,-0.059888,1.000000,0,6.451500,-1.000000
CRVUSDT,2026-02-26,2026-02,1772106960000,1772107020000,-3.929178,-47.393365,47.393365,3.929178,0.692406,16.632841,28.486834,18.262391,-17.114973,0,0,0.253200,0.253300,3.948667,73683.842900,76570.235260,-0.019210,0.000000,0,0,nan,28000,557018.111700,441120.596500,0.116114,0.000000,0,0,nan
CRVUSDT,2026-02-26,2026-02,1772107020000,1772107080000,43.423648,-51.322542,51.322542,3.929178,0.692406,16.632841,27.219586,17.628767,29.844935,1,0,0.253100,0.253200,3.950227,80438.744670,59537.381690,0.149321,0.000000,0,0,nan,29000,574465.865100,458181.650600,0.112608,3.000000,0,59.799600,-1.000000
CRVUSDT,2026-02-26,2026-02,1772111880000,1772111940000,47.238009,-27.591644,27.591644,0.000000,0.718529,11.237572,17.533213,11.732650,36.228845,1,0,0.253700,0.253800,3.940887,77617.755400,73194.332320,0.029331,0.000000,0,0,nan,27000,432251.169800,584658.904200,-0.149873,0.000000,0,0,nan
CRVUSDT,2026-02-26,2026-02,1772112180000,1772112240000,-11.723171,-31.397174,31.397174,0.000000,0.711047,145.075168,5.279751,32.365956,-23.112888,0,0,0.254700,0.254800,3.925417,84972.004600,63925.050430,0.141352,0.000000,0,0,nan,0,442752.732000,507076.771200,-0.067722,0.000000,0,0,nan
