symbol,day,month,entry_ts_ms,exit_ts_ms,gross_pnl_bps,entry_spread_bps,entry_spread_abs_bps,entry_spread_velocity_bps,ls_diff_signed,oi_diff_signed_bps,carry_diff_signed_bps,score,net_pnl_bps_25pct_model,is_winner_25pct_model,bybit_book_lag_ms,bybit_best_bid,bybit_best_ask,bybit_book_spread_bps,bybit_top5_bid_notional,bybit_top5_ask_notional,bybit_top5_imbalance,bybit_trade_count_5s,bybit_buy_notional_5s,bybit_sell_notional_5s,bybit_trade_imbalance_5s,binance_depth_lag_ms,binance_bid_notional_1pct,binance_ask_notional_1pct,binance_depth_imbalance_1pct,binance_trade_count_5s,binance_buy_notional_5s,binance_sell_notional_5s,binance_trade_imbalance_5s
CRVUSDT,2026-02-01,2026-02,1769930640000,1769930700000,31.191036,-17.331023,17.331023,3.461397,1.090445,20.894522,2.399889,6.469294,21.034864,1,0,0.288300,0.288400,3.468008,45065.381850,78370.475950,-0.269817,7.000000,0,267.087240,-1.000000,0,508776.463600,700861.903600,-0.158796,0.000000,0,0,nan
CRVUSDT,2026-02-01,2026-02,1769937480000,1769937540000,34.506556,-27.605245,27.605245,3.442318,1.079131,6.182658,8.768959,6.700142,23.323916,1,0,0.289700,0.289800,3.451251,35443.741980,63181.733680,-0.281246,19.000000,0,4334.013130,-1.000000,0,665629.593300,582138.102400,0.066913,1.000000,0,46.702400,-1.000000
CRVUSDT,2026-02-01,2026-02,1769942940000,1769943000000,41.594459,-20.790021,20.790021,6.920395,1.093639,9.148495,11.398062,8.622369,30.919437,1,0,0.288400,0.288500,3.466805,35246.290620,53747.322250,-0.207892,6.000000,38.414880,0,1.000000,0,369553.497600,720573.800500,-0.321999,1.000000,0,0.028800,-1.000000
CRVUSDT,2026-02-01,2026-02,1769960040000,1769960100000,32.062733,-28.490028,28.490028,0.000000,1.085337,35.760273,13.521066,14.997924,20.963730,1,0,0.280700,0.280800,3.561888,35632.289460,44494.077040,-0.110598,11.000000,114.931440,2.808000,0.952301,28000,360086.192600,488833.416300,-0.151660,5.000000,0,1155.952000,-1.000000
CRVUSDT,2026-02-01,2026-02,1769962860000,1769962920000,3.684324,-25.298157,25.298157,7.087593,1.027559,45.326280,5.116498,12.651064,-7.449871,0,0,0.277900,0.278000,3.597769,37745.577940,50886.462350,-0.148263,19.000000,6066.882420,66.418100,0.978342,21000,780996.366600,426168.044200,0.293935,2.000000,0,30.774700,-1.000000
CRVUSDT,2026-02-01,2026-02,1769962980000,1769963040000,25.016582,-32.154341,32.154341,10.540508,1.027559,45.326280,11.662255,15.923943,13.024122,1,0,0.277500,0.277600,3.602954,42260.242990,48806.783800,-0.071887,28.000000,950.635880,318.231370,0.498401,29000,719883.583000,375863.072900,0.313960,1.000000,0,10.775300,-1.000000
CRVUSDT,2026-02-01,2026-02,1769966940000,1769967000000,7.231817,-39.271689,39.271689,3.557403,1.033840,52.260780,27.056439,25.014215,-5.123222,0,0,0.280000,0.280100,3.570791,45104.113720,56566.900200,-0.112744,4.000000,527.324000,0,1.000000,0,706092.333000,417017.624200,0.257388,0.000000,0,0,nan
CRVUSDT,2026-02-01,2026-02,1769970240000,1769970300000,42.110191,-35.087719,35.087719,10.586494,1.025405,14.371243,18.081873,12.940590,29.822094,1,0,0.285700,0.285800,3.499563,34272.197160,51594.345200,-0.201733,22.000000,547.041060,3275.770360,-0.713802,0,630336.348500,356716.595700,0.277209,2.000000,0,35.938500,-1.000000
CRVUSDT,2026-02-01,2026-02,1769972400000,1769972460000,-17.699036,-14.114326,14.114326,7.052179,1.077925,13.534209,9.109421,8.339478,-27.713078,0,0,0.283100,0.283200,3.531697,65647.220160,45374.212590,0.182604,7.000000,0,48.059040,-1.000000,28000,400561.778400,421180.049600,-0.025091,11.000000,0,6777.708500,-1.000000
CRVUSDT,2026-02-01,2026-02,1769974020000,1769974080000,38.885497,-31.813362,31.813362,3.522327,1.058408,10.237826,11.703878,8.957912,27.278044,1,0,0.282900,0.283000,3.534193,62368.909540,45319.387360,0.158323,11.000000,75.391200,6.990100,0.830299,28000,481200.088900,417304.270700,0.071114,0.000000,0,0,nan
CRVUSDT,2026-02-01,2026-02,1769976900000,1769976960000,17.825321,-14.265335,14.265335,0.000000,1.077433,17.368064,3.543572,6.322832,8.148787,1,0,0.280300,0.280400,3.566970,48749.437800,53961.186960,-0.050742,10.000000,712.356200,0,1.000000,28000,305756.858500,638991.072300,-0.352723,0.000000,0,0,nan
CRVUSDT,2026-02-01,2026-02,1769979360000,1769979420000,3.539798,-28.388928,28.388928,3.539798,1.074357,10.526004,18.893730,12.626423,-7.726085,0,0,0.281700,0.281800,3.549246,57967.939150,58610.680610,-0.005513,8.000000,0,971.301600,-1.000000,0,447841.129300,487777.797400,-0.042685,2.000000,0,25.402400,-1.000000
CRVUSDT,2026-02-01,2026-02,1769984880000,1769984940000,10.669799,-14.214641,14.214641,10.657188,1.052213,27.227487,13.094354,13.044887,0.465475,1,0,0.281000,0.281100,3.558086,15503.568290,9879.446550,0.221570,8.000000,5.874990,63.871300,-0.831533,30000,345235.299000,417972.871300,-0.095305,21.000000,2472.238000,6121.585000,-0.424648
CRVUSDT,2026-02-01,2026-02,1769989860000,1769989920000,3.570140,-21.459227,21.459227,10.695113,1.078388,64.665572,12.100788,20.061896,-7.360538,0,0,0.279800,0.279900,3.573343,38716.022400,49766.535850,-0.124889,7.000000,22.400000,48.206660,-0.365499,22000,540102.796400,365532.283000,0.192760,5.000000,35.224000,79.236000,-0.384519
CRVUSDT,2026-02-01,2026-02,1769989920000,1769989980000,3.623752,-17.889088,17.889088,3.570140,1.078388,64.665572,9.034923,18.528963,-6.593664,0,0,0.279500,0.279600,3.577178,38626.772200,44242.539340,-0.067767,9.000000,215.236080,63.553080,0.544078,28000,566162.243600,377152.389400,0.200368,1.000000,0,49.996800,-1.000000
CRVUSDT,2026-02-02,2026-02,1769994480000,1769994540000,-3.610671,-14.214641,14.214641,7.092177,1.081484,21.801061,8.513608,9.698500,-13.636744,0,0,0.281500,0.281600,3.551767,36986.826700,64412.318970,-0.270471,10.000000,0,150.804800,-1.000000,27000,518448.965000,417462.277900,0.107902,10.000000,65.847000,250.933000,-0.584273
CRVUSDT,2026-02-02,2026-02,1769994540000,1769994600000,35.714400,-17.825312,17.825312,3.610671,1.081484,21.801061,17.161494,14.022443,25.501335,1,0,0.281300,0.281400,3.554292,42634.465140,49853.268940,-0.078051,3.000000,0,100.572360,-1.000000,29000,441130.824500,422891.364300,0.021110,5.000000,193.113600,18.939400,0.821371
CRVUSDT,2026-02-02,2026-02,1770000960000,1770001020000,32.673149,-14.524328,14.524328,10.865588,1.116416,30.847096,18.678749,16.625210,22.427437,1,0,0.275700,0.275800,3.626473,45537.280920,80483.326620,-0.277304,9.000000,69.194880,29.637750,0.400244,0,472226.752200,403954.794700,0.077920,1.000000,0,36.795000,-1.000000
CRVUSDT,2026-02-02,2026-02,1770001200000,1770001260000,47.197489,-21.770682,21.770682,7.246354,1.121587,29.170099,5.008583,9.459898,36.408103,1,0,0.275300,0.275400,3.631741,47548.130520,49739.260320,-0.022522,3.000000,174.383280,0,1.000000,28000,463614.560600,435057.981600,0.031776,1.000000,0,10.092500,-1.000000
CRVUSDT,2026-02-02,2026-02,1770003780000,1770003840000,63.640987,-37.453184,37.453184,7.468176,1.187124,84.277147,16.556368,26.320737,51.272260,1,0,0.266800,0.266900,3.747424,41892.407720,49406.704740,-0.082304,3.000000,16.034680,0,1.000000,28000,597340.348500,324524.754800,0.295939,0.000000,0,0,nan
CRVUSDT,2026-02-02,2026-02,1770004380000,1770004440000,14.513779,-18.148820,18.148820,10.881378,1.158505,64.410161,6.173049,17.127062,3.904828,1,0,0.275100,0.275200,3.634381,47728.910510,28903.344880,0.245661,14.000000,637.777170,247.817600,0.440336,28000,367015.603900,481533.374100,-0.134957,2.000000,735.429600,19.937500,0.947211
CRVUSDT,2026-02-02,2026-02,1770005700000,1770005760000,14.684288,-14.684288,14.684288,3.667027,1.167890,38.722381,4.064004,10.944369,4.782508,1,0,0.272200,0.272300,3.673095,44467.137450,55636.632940,-0.111579,3.000000,9.693880,11.953970,-0.104403,28000,369241.795700,549792.414300,-0.196457,2.000000,0,66.150400,-1.000000
CRVUSDT,2026-02-02,2026-02,1770008520000,1770008580000,25.408369,-21.770682,21.770682,10.912919,1.142091,31.260622,13.521856,14.155144,14.435655,1,0,0.276200,0.276300,3.619910,72885.807030,49735.609280,0.188794,8.000000,0,142.349760,-1.000000,28000,439456.122200,484973.357100,-0.049238,3.000000,0,22.438800,-1.000000
CRVUSDT,2026-02-02,2026-02,1770009780000,1770009840000,43.913155,-14.630578,14.630578,0.000000,1.091587,25.372390,10.679673,11.505902,34.200097,1,0,0.273300,0.273400,3.658314,54659.807350,47541.639680,0.069648,4.000000,71.630800,829.933040,-0.841097,0,359646.636500,620494.187000,-0.266133,0.000000,0,0,nan
