symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
CRVUSDT,2025-08-05,2025-08,1754363400000,1754363460000,11.089392,2.186761,-5.752997,50000.00,-28.76
CRVUSDT,2025-08-05,2025-08,1754363460000,1754363520000,9.608772,22.219753,14.888329,49985.62,74.42
CRVUSDT,2025-08-05,2025-08,1754366400000,1754366460000,8.652601,4.492360,-2.744238,50022.83,-13.73
CRVUSDT,2025-08-06,2025-08,1754444520000,1754444580000,4.907194,11.181924,3.504222,50015.96,17.53
CRVUSDT,2025-08-06,2025-08,1754455080000,1754455140000,6.927537,11.299432,3.039902,50024.73,15.21
CRVUSDT,2025-08-06,2025-08,1754457900000,1754457960000,6.755106,13.431601,5.696061,50032.33,28.50
GALAUSDT,2025-08-06,2025-08,1754499960000,1754500020000,11.170803,6.501929,-1.451196,50046.58,-7.26
CRVUSDT,2025-08-07,2025-08,1754538780000,1754538840000,17.314536,10.822506,2.442677,50042.95,12.22
GALAUSDT,2025-08-07,2025-08,1754565600000,1754565660000,10.132522,12.468828,4.598504,50049.06,23.02
CRVUSDT,2025-08-07,2025-08,1754566140000,1754566200000,4.686614,13.822902,5.963037,50060.57,29.85
GALAUSDT,2025-08-07,2025-08,1754568240000,1754568300000,7.054341,-0.007692,-7.557791,50075.49,-37.85
GALAUSDT,2025-08-07,2025-08,1754570280000,1754570340000,9.551301,12.484395,4.611736,50056.57,23.08
CRVUSDT,2025-08-07,2025-08,1754574420000,1754574480000,7.508747,17.098129,9.709149,50068.11,48.61
SEIUSDT,2025-08-07,2025-08,1754585100000,1754585160000,5.851842,3.286140,-4.048973,50092.42,-20.28
SEIUSDT,2025-08-07,2025-08,1754596860000,1754596920000,8.601030,6.572449,-1.233252,50082.28,-6.18
GALAUSDT,2025-08-08,2025-08,1754611920000,1754611980000,8.685908,12.180268,4.658106,50079.19,23.33
GALAUSDT,2025-08-08,2025-08,1754615820000,1754615880000,14.062001,12.128563,4.913492,50090.85,24.61
CRVUSDT,2025-08-08,2025-08,1754625000000,1754625060000,9.368727,13.594060,5.763850,50103.16,28.88
CRVUSDT,2025-08-08,2025-08,1754625120000,1754625180000,9.414655,7.320081,-0.560404,50117.60,-2.81
CRVUSDT,2025-08-08,2025-08,1754626440000,1754626500000,6.052606,14.749708,7.221778,50116.19,36.19
GALAUSDT,2025-08-08,2025-08,1754637660000,1754637720000,24.978797,5.998796,-1.801924,50134.29,-9.03
GALAUSDT,2025-08-09,2025-08,1754719620000,1754719680000,4.014705,11.383039,3.960483,50129.77,19.85
GALAUSDT,2025-08-09,2025-08,1754721480000,1754721540000,6.993634,17.214997,9.780688,50139.70,49.04
GALAUSDT,2025-08-09,2025-08,1754721960000,1754722020000,4.866770,5.747126,-1.689490,50164.22,-8.48
CRVUSDT,2025-08-09,2025-08,1754775960000,1754776020000,5.717630,8.042622,0.434460,50159.98,2.18
GALAUSDT,2025-08-10,2025-08,1754787960000,1754788020000,6.708788,11.043622,3.662409,50161.07,18.37
GALAUSDT,2025-08-10,2025-08,1754862000000,1754862060000,13.840447,11.396011,3.971347,50170.26,19.92
GALAUSDT,2025-08-11,2025-08,1754903760000,1754903820000,6.935483,11.280316,3.870118,50180.22,19.42
GALAUSDT,2025-08-11,2025-08,1754904060000,1754904120000,7.510512,5.640144,-2.053814,50189.93,-10.31
GALAUSDT,2025-08-11,2025-08,1754910000000,1754910060000,3.878619,5.717538,-1.999692,50184.78,-10.04
CRVUSDT,2025-08-11,2025-08,1754926440000,1754926500000,6.661901,10.373444,2.765555,50179.76,13.88
CRVUSDT,2025-08-11,2025-08,1754926740000,1754926800000,4.785222,15.541358,8.090452,50186.70,40.60
CRVUSDT,2025-08-11,2025-08,1754949300000,1754949360000,10.171410,12.915957,5.463809,50207.00,27.43
CRVUSDT,2025-08-12,2025-08,1754957520000,1754957580000,6.503966,14.109560,6.209740,50220.72,31.19
CRVUSDT,2025-08-12,2025-08,1754958360000,1754958420000,3.525879,4.341629,-3.335456,50236.31,-16.76
CRVUSDT,2025-08-12,2025-08,1754958720000,1754958780000,4.968411,5.400114,-2.060591,50227.93,-10.35
GALAUSDT,2025-08-12,2025-08,1754987760000,1754987820000,11.851352,5.938238,-1.545617,50222.76,-7.76
GALAUSDT,2025-08-12,2025-08,1754995140000,1754995200000,6.111953,6.005897,-2.102537,50218.87,-10.56
GALAUSDT,2025-08-12,2025-08,1754996640000,1754996700000,7.337137,18.086818,9.976750,50213.59,50.10
