symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
CRVUSDT,2025-08-05,2025-08,1754363400000,1754363460000,11.089392,2.186761,-11.752997,50000.00,-58.76
CRVUSDT,2025-08-05,2025-08,1754363460000,1754363520000,9.608772,22.219753,8.888329,49970.62,44.42
CRVUSDT,2025-08-05,2025-08,1754366400000,1754366460000,8.652601,4.492360,-8.744238,49992.83,-43.71
CRVUSDT,2025-08-06,2025-08,1754444520000,1754444580000,4.907194,11.181924,-2.495778,49970.97,-12.47
CRVUSDT,2025-08-06,2025-08,1754455080000,1754455140000,6.927537,11.299432,-2.960098,49964.73,-14.79
CRVUSDT,2025-08-06,2025-08,1754457900000,1754457960000,6.755106,13.431601,-0.303939,49957.34,-1.52
GALAUSDT,2025-08-06,2025-08,1754499960000,1754500020000,11.170803,6.501929,-7.451196,49956.58,-37.22
CRVUSDT,2025-08-07,2025-08,1754538780000,1754538840000,17.314536,10.822506,-3.557323,49937.97,-17.76
GALAUSDT,2025-08-07,2025-08,1754565600000,1754565660000,10.132522,12.468828,-1.401496,49929.08,-7.00
CRVUSDT,2025-08-07,2025-08,1754566140000,1754566200000,4.686614,13.822902,-0.036963,49925.58,-0.18
GALAUSDT,2025-08-07,2025-08,1754568240000,1754568300000,7.054341,-0.007692,-13.557791,49925.49,-67.69
GALAUSDT,2025-08-07,2025-08,1754570280000,1754570340000,9.551301,12.484395,-1.388264,49891.65,-6.93
CRVUSDT,2025-08-07,2025-08,1754574420000,1754574480000,7.508747,17.098129,3.709149,49888.19,18.50
SEIUSDT,2025-08-07,2025-08,1754585100000,1754585160000,5.851842,3.286140,-10.048973,49897.44,-50.14
SEIUSDT,2025-08-07,2025-08,1754596860000,1754596920000,8.601030,6.572449,-7.233252,49872.37,-36.07
GALAUSDT,2025-08-08,2025-08,1754611920000,1754611980000,8.685908,12.180268,-1.341894,49854.33,-6.69
GALAUSDT,2025-08-08,2025-08,1754615820000,1754615880000,14.062001,12.128563,-1.086508,49850.98,-5.42
CRVUSDT,2025-08-08,2025-08,1754625000000,1754625060000,9.368727,13.594060,-0.236150,49848.28,-1.18
CRVUSDT,2025-08-08,2025-08,1754625120000,1754625180000,9.414655,7.320081,-6.560404,49847.69,-32.70
CRVUSDT,2025-08-08,2025-08,1754626440000,1754626500000,6.052606,14.749708,1.221778,49831.34,6.09
GALAUSDT,2025-08-08,2025-08,1754637660000,1754637720000,24.978797,5.998796,-7.801924,49834.38,-38.88
GALAUSDT,2025-08-09,2025-08,1754719620000,1754719680000,4.014705,11.383039,-2.039517,49814.94,-10.16
GALAUSDT,2025-08-09,2025-08,1754721480000,1754721540000,6.993634,17.214997,3.780688,49809.86,18.83
GALAUSDT,2025-08-09,2025-08,1754721960000,1754722020000,4.866770,5.747126,-7.689490,49819.28,-38.31
CRVUSDT,2025-08-09,2025-08,1754775960000,1754776020000,5.717630,8.042622,-5.565540,49800.12,-27.72
GALAUSDT,2025-08-10,2025-08,1754787960000,1754788020000,6.708788,11.043622,-2.337591,49786.26,-11.64
GALAUSDT,2025-08-10,2025-08,1754862000000,1754862060000,13.840447,11.396011,-2.028653,49780.45,-10.10
GALAUSDT,2025-08-11,2025-08,1754903760000,1754903820000,6.935483,11.280316,-2.129882,49775.40,-10.60
GALAUSDT,2025-08-11,2025-08,1754904060000,1754904120000,7.510512,5.640144,-8.053814,49770.10,-40.08
GALAUSDT,2025-08-11,2025-08,1754910000000,1754910060000,3.878619,5.717538,-7.999692,49750.05,-39.80
CRVUSDT,2025-08-11,2025-08,1754926440000,1754926500000,6.661901,10.373444,-3.234445,49730.15,-16.08
CRVUSDT,2025-08-11,2025-08,1754926740000,1754926800000,4.785222,15.541358,2.090452,49722.11,10.39
CRVUSDT,2025-08-11,2025-08,1754949300000,1754949360000,10.171410,12.915957,-0.536191,49727.31,-2.67
CRVUSDT,2025-08-12,2025-08,1754957520000,1754957580000,6.503966,14.109560,0.209740,49725.98,1.04
CRVUSDT,2025-08-12,2025-08,1754958360000,1754958420000,3.525879,4.341629,-9.335456,49726.50,-46.42
CRVUSDT,2025-08-12,2025-08,1754958720000,1754958780000,4.968411,5.400114,-8.060591,49703.29,-40.06
GALAUSDT,2025-08-12,2025-08,1754987760000,1754987820000,11.851352,5.938238,-7.545617,49683.25,-37.49
