symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
CRVUSDT,2026-02-01,2026-02,1769930460000,1769930520000,8.471174,38.135461,27.806579,25000.00,69.52
CRVUSDT,2026-02-01,2026-02,1769930640000,1769930700000,6.469294,31.191036,21.034864,25017.38,52.62
CRVUSDT,2026-02-01,2026-02,1769937480000,1769937540000,6.700142,34.506556,23.323916,25030.54,58.38
GALAUSDT,2026-02-01,2026-02,1769961000000,1769961060000,22.488523,6.428967,-3.637843,25045.13,-9.11
GALAUSDT,2026-02-01,2026-02,1769967840000,1769967900000,9.722477,-2.133554,-12.413993,25042.85,-31.09
GALAUSDT,2026-02-01,2026-02,1769967900000,1769967960000,12.559300,34.182562,23.902396,25035.08,59.84
CRVUSDT,2026-02-02,2026-02,1769994480000,1769994540000,9.698500,-3.610671,-13.636744,25050.04,-34.16
CRVUSDT,2026-02-02,2026-02,1769994540000,1769994600000,14.022443,35.714400,25.501335,25041.50,63.86
CRVUSDT,2026-02-02,2026-02,1770000900000,1770000960000,13.138005,10.865588,-0.285458,25057.47,-0.72
GALAUSDT,2026-02-02,2026-02,1770015480000,1770015540000,13.890227,8.560709,-1.400702,25057.29,-3.51
GALAUSDT,2026-02-02,2026-02,1770021240000,1770021300000,50.015607,14.934885,3.695440,25056.41,9.26
GALAUSDT,2026-02-02,2026-02,1770023100000,1770023160000,20.063783,25.684932,14.757155,25058.72,36.98
CRVUSDT,2026-02-03,2026-02,1770078720000,1770078780000,29.359909,17.367112,6.160958,25067.97,15.44
GALAUSDT,2026-02-03,2026-02,1770106860000,1770106920000,7.463867,16.743407,6.400832,25071.83,16.05
CRVUSDT,2026-02-03,2026-02,1770108960000,1770109020000,7.398494,38.372500,27.680923,25075.84,69.41
CRVUSDT,2026-02-03,2026-02,1770109200000,1770109260000,8.820587,-0.000000,-11.387345,25093.19,-28.57
GALAUSDT,2026-02-03,2026-02,1770111300000,1770111360000,9.864061,31.634454,20.748998,25086.05,52.05
GALAUSDT,2026-02-03,2026-02,1770113340000,1770113400000,8.577174,8.361188,-2.085530,25099.06,-5.23
CRVUSDT,2026-02-04,2026-02,1770166320000,1770166380000,19.098812,25.106307,13.092675,25097.76,32.86
CRVUSDT,2026-02-04,2026-02,1770166440000,1770166500000,15.856712,-7.163291,-17.748123,25105.97,-44.56
CRVUSDT,2026-02-04,2026-02,1770169260000,1770169320000,9.152198,35.348180,23.564237,25094.83,59.13
GALAUSDT,2026-02-04,2026-02,1770206460000,1770206520000,14.444857,21.061500,11.126580,25109.61,27.94
GALAUSDT,2026-02-04,2026-02,1770210120000,1770210180000,6.997931,12.647532,1.971839,25116.60,4.95
GALAUSDT,2026-02-04,2026-02,1770210600000,1770210660000,19.932824,16.876745,6.096034,25117.84,15.31
CRVUSDT,2026-02-05,2026-02,1770250440000,1770250500000,12.558020,29.218408,18.046567,25121.66,45.34
CRVUSDT,2026-02-05,2026-02,1770251700000,1770251760000,9.167776,10.928956,0.674782,25133.00,1.70
CRVUSDT,2026-02-05,2026-02,1770252600000,1770252660000,6.285191,40.096764,30.024872,25133.42,75.46
GALAUSDT,2026-02-05,2026-02,1770259200000,1770259260000,17.257405,12.912478,2.836020,25152.29,7.13
GALAUSDT,2026-02-05,2026-02,1770266760000,1770266820000,9.423327,19.654946,8.893004,25154.07,22.37
GALAUSDT,2026-02-05,2026-02,1770268440000,1770268500000,10.037225,-2.193454,-12.643090,25159.66,-31.81
CRVUSDT,2026-02-06,2026-02,1770336720000,1770336780000,44.966325,35.653127,23.383475,25151.71,58.81
CRVUSDT,2026-02-06,2026-02,1770337320000,1770337380000,93.053240,4.710271,-6.846295,25166.42,-17.23
CRVUSDT,2026-02-06,2026-02,1770337380000,1770337440000,95.900910,-9.238597,-20.559649,25162.11,-51.73
SEIUSDT,2026-02-06,2026-02,1770337860000,1770337920000,39.915107,12.829219,2.869643,25149.17,7.22
GALAUSDT,2026-02-06,2026-02,1770340680000,1770340740000,25.724368,-2.625724,-13.448533,25150.98,-33.82
GALAUSDT,2026-02-06,2026-02,1770340740000,1770340800000,22.952390,33.495217,22.793745,25142.52,57.31
GALAUSDT,2026-02-06,2026-02,1770346860000,1770346920000,10.346466,36.684894,26.078051,25156.85,65.60
SEIUSDT,2026-02-06,2026-02,1770360360000,1770360420000,19.229846,1.369452,-8.708462,25173.25,-21.92
SEIUSDT,2026-02-06,2026-02,1770394080000,1770394140000,17.992777,11.461491,0.985991,25167.77,2.48
CRVUSDT,2026-02-07,2026-02,1770424860000,1770424920000,28.189587,-27.566773,-37.781872,25168.39,-95.09
CRVUSDT,2026-02-07,2026-02,1770424980000,1770425040000,30.110092,59.062914,46.483910,25144.62,116.88
GALAUSDT,2026-02-07,2026-02,1770426420000,1770426480000,11.905155,25.815579,15.690506,25173.84,39.50
CRVUSDT,2026-02-07,2026-02,1770427320000,1770427380000,14.542621,27.501833,17.091504,25183.71,43.04
