symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
CRVUSDT,2025-08-05,2025-08,1754363400000,1754363460000,11.089392,2.186761,-8.002997,25000.00,-20.01
CRVUSDT,2025-08-05,2025-08,1754363460000,1754363520000,9.608772,22.219753,12.638329,24995.00,31.59
CRVUSDT,2025-08-05,2025-08,1754366400000,1754366460000,8.652601,4.492360,-4.994238,25002.90,-12.49
CRVUSDT,2025-08-06,2025-08,1754444520000,1754444580000,4.907194,11.181924,1.254222,24999.77,3.14
CRVUSDT,2025-08-06,2025-08,1754455080000,1754455140000,6.927537,11.299432,0.789902,25000.56,1.97
CRVUSDT,2025-08-06,2025-08,1754457900000,1754457960000,6.755106,13.431601,3.446061,25001.05,8.62
GALAUSDT,2025-08-06,2025-08,1754499960000,1754500020000,11.170803,6.501929,-3.701196,25003.21,-9.25
CRVUSDT,2025-08-07,2025-08,1754538780000,1754538840000,17.314536,10.822506,0.192677,25000.89,0.48
GALAUSDT,2025-08-07,2025-08,1754565600000,1754565660000,10.132522,12.468828,2.348504,25001.01,5.87
CRVUSDT,2025-08-07,2025-08,1754566140000,1754566200000,4.686614,13.822902,3.713037,25002.48,9.28
GALAUSDT,2025-08-07,2025-08,1754568240000,1754568300000,7.054341,-0.007692,-9.807791,25004.80,-24.52
GALAUSDT,2025-08-07,2025-08,1754570280000,1754570340000,9.551301,12.484395,2.361736,24998.67,5.90
CRVUSDT,2025-08-07,2025-08,1754574420000,1754574480000,7.508747,17.098129,7.459149,25000.15,18.65
SEIUSDT,2025-08-07,2025-08,1754585100000,1754585160000,5.851842,3.286140,-6.298973,25004.81,-15.75
SEIUSDT,2025-08-07,2025-08,1754596860000,1754596920000,8.601030,6.572449,-3.483252,25000.87,-8.71
GALAUSDT,2025-08-08,2025-08,1754611920000,1754611980000,8.685908,12.180268,2.408106,24998.69,6.02
GALAUSDT,2025-08-08,2025-08,1754615820000,1754615880000,14.062001,12.128563,2.663492,25000.20,6.66
CRVUSDT,2025-08-08,2025-08,1754625000000,1754625060000,9.368727,13.594060,3.513850,25001.86,8.79
