symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
CRVUSDT,2025-08-05,2025-08,1754363400000,1754363460000,11.089392,2.186761,-5.752997,10000.00,-5.75
CRVUSDT,2025-08-05,2025-08,1754363460000,1754363520000,9.608772,22.219753,14.888329,9999.42,14.89
CRVUSDT,2025-08-05,2025-08,1754374800000,1754374860000,11.519571,7.686390,-0.181089,10000.91,-0.18
CRVUSDT,2025-08-06,2025-08,1754480280000,1754480340000,8.133104,5.503567,-2.534660,10000.90,-2.53
CRVUSDT,2025-08-06,2025-08,1754491560000,1754491620000,13.231049,1.095888,-6.879852,10000.64,-6.88
CRVUSDT,2025-08-06,2025-08,1754491620000,1754491680000,11.800424,9.873830,2.502091,9999.95,2.50
GALAUSDT,2025-08-07,2025-08,1754573760000,1754573820000,14.047519,6.211175,-1.342585,10000.20,-1.34
GALAUSDT,2025-08-07,2025-08,1754596740000,1754596800000,14.111664,6.211161,-1.338936,10000.07,-1.34
GALAUSDT,2025-08-07,2025-08,1754601720000,1754601780000,15.554007,12.315271,4.776052,9999.94,4.78
GALAUSDT,2025-08-08,2025-08,1754611920000,1754611980000,8.685908,12.180268,4.658106,10000.41,4.66
GALAUSDT,2025-08-08,2025-08,1754615820000,1754615880000,14.062001,12.128563,4.913492,10000.88,4.91
CRVUSDT,2025-08-08,2025-08,1754625000000,1754625060000,9.368727,13.594060,5.763850,10001.37,5.76
GALAUSDT,2025-08-08,2025-08,1754637780000,1754637840000,24.669439,6.013225,-1.489359,10001.95,-1.49
CRVUSDT,2025-08-12,2025-08,1754980200000,1754980260000,13.641325,15.178738,7.226743,10001.80,7.23
CRVUSDT,2025-08-12,2025-08,1754998080000,1754998140000,12.654889,18.718223,11.232149,10002.52,11.23
GALAUSDT,2025-08-13,2025-08,1755084000000,1755084060000,22.037414,10.831300,2.935602,10003.64,2.94
CRVUSDT,2025-08-14,2025-08,1755182760000,1755182820000,8.330643,10.535188,3.216916,10003.94,3.22
CRVUSDT,2025-08-14,2025-08,1755192480000,1755192540000,11.682599,16.177158,8.666887,10004.26,8.67
CRVUSDT,2025-08-14,2025-08,1755198660000,1755198720000,9.569367,10.792138,3.064673,10005.13,3.07
GALAUSDT,2025-08-14,2025-08,1755209220000,1755209280000,8.169808,18.259295,10.738799,10005.43,10.74
CRVUSDT,2025-08-15,2025-08,1755218760000,1755218820000,8.450660,16.244901,8.676600,10006.51,8.68
CRVUSDT,2025-08-15,2025-08,1755223380000,1755223440000,9.755053,14.110963,6.319416,10007.38,6.32
CRVUSDT,2025-08-15,2025-08,1755223560000,1755223620000,9.488903,11.902767,4.226197,10008.01,4.23
CRVUSDT,2025-08-16,2025-08,1755315240000,1755315300000,8.846918,18.358107,10.923377,10008.43,10.93
CRVUSDT,2025-08-16,2025-08,1755325320000,1755325380000,8.344436,10.367735,2.812416,10009.52,2.82
CRVUSDT,2025-08-16,2025-08,1755327360000,1755327420000,8.678038,9.236008,1.388421,10009.81,1.39
CRVUSDT,2025-08-17,2025-08,1755393960000,1755394020000,9.273026,8.121322,0.787451,10009.95,0.79
CRVUSDT,2025-08-17,2025-08,1755408000000,1755408060000,11.235850,12.671084,4.828138,10010.02,4.83
CRVUSDT,2025-08-17,2025-08,1755412560000,1755412620000,13.590481,9.258187,1.290916,10010.51,1.29
CRVUSDT,2025-08-18,2025-08,1755478560000,1755478620000,10.714568,-3.393903,-10.711638,10010.64,-10.72
CRVUSDT,2025-08-18,2025-08,1755478680000,1755478740000,8.024815,19.400010,11.915600,10009.56,11.93
CRVUSDT,2025-08-18,2025-08,1755545880000,1755545940000,8.088377,11.358459,3.767602,10010.76,3.77
CRVUSDT,2025-08-19,2025-08,1755621960000,1755622020000,10.319931,12.924451,5.514014,10011.13,5.52
CRVUSDT,2025-08-20,2025-08,1755661020000,1755661080000,13.392980,11.860989,4.022522,10011.69,4.03
CRVUSDT,2025-08-20,2025-08,1755665880000,1755665940000,10.548012,10.546422,2.848647,10012.09,2.85
CRVUSDT,2025-08-20,2025-08,1755701880000,1755701940000,16.432070,9.216324,1.835312,10012.37,1.84
CRVUSDT,2025-08-21,2025-08,1755759660000,1755759720000,12.420024,5.711016,-1.829435,10012.56,-1.83
CRVUSDT,2025-08-22,2025-08,1755871560000,1755871620000,23.161370,12.442031,4.688951,10012.37,4.69
CRVUSDT,2025-08-23,2025-08,1755948600000,1755948660000,11.584795,6.724940,-1.181870,10012.84,-1.18
CRVUSDT,2025-08-23,2025-08,1755964860000,1755964920000,9.810842,0.013868,-7.447348,10012.73,-7.46
CRVUSDT,2025-08-23,2025-08,1755964920000,1755964980000,8.834438,4.485306,-2.749817,10011.98,-2.75
CRVUSDT,2025-08-24,2025-08,1756015680000,1756015740000,8.984510,13.635072,6.327822,10011.71,6.34
CRVUSDT,2025-08-24,2025-08,1756016460000,1756016520000,14.766994,12.597212,4.821706,10012.34,4.83
CRVUSDT,2025-08-24,2025-08,1756022040000,1756022100000,9.880046,-1.114227,-8.414280,10012.82,-8.43
CRVUSDT,2025-08-25,2025-08,1756098300000,1756098360000,9.341946,-1.133963,-8.699246,10011.98,-8.71
CRVUSDT,2025-08-25,2025-08,1756098780000,1756098840000,10.788989,1.123215,-6.451537,10011.11,-6.46
CRVUSDT,2025-08-25,2025-08,1756098840000,1756098900000,11.557289,-2.262634,-9.556001,10010.46,-9.57
GALAUSDT,2025-08-25,2025-08,1756158180000,1756158240000,12.766616,6.325106,-1.256972,10009.51,-1.26
CRVUSDT,2025-08-26,2025-08,1756169820000,1756169880000,9.005202,14.100756,6.562640,10009.38,6.57
CRVUSDT,2025-08-26,2025-08,1756187820000,1756187880000,8.724562,12.835323,4.974102,10010.04,4.98
CRVUSDT,2025-08-26,2025-08,1756196340000,1756196400000,9.449592,19.164445,11.632221,10010.53,11.64
CRVUSDT,2025-08-27,2025-08,1756258680000,1756258740000,8.152108,7.427573,-0.183546,10011.70,-0.18
CRVUSDT,2025-08-27,2025-08,1756263360000,1756263420000,9.323713,4.950405,-2.788663,10011.68,-2.79
CRVUSDT,2025-08-27,2025-08,1756272000000,1756272060000,10.172704,10.946686,3.183384,10011.40,3.19
CRVUSDT,2025-08-29,2025-08,1756449840000,1756449900000,9.986580,12.735609,4.698171,10011.72,4.70
CRVUSDT,2025-08-29,2025-08,1756488600000,1756488660000,8.238048,11.844007,4.199921,10012.19,4.21
CRVUSDT,2025-08-29,2025-08,1756509360000,1756509420000,9.574304,20.993244,13.483636,10012.61,13.50
CRVUSDT,2025-08-30,2025-08,1756515360000,1756515420000,8.633783,15.723270,7.561552,10013.96,7.57
CRVUSDT,2025-08-31,2025-08,1756667280000,1756667340000,10.066931,6.397946,-1.136973,10014.72,-1.14
CRVUSDT,2025-09-02,2025-09,1756777080000,1756777140000,9.172760,9.396151,1.652735,10014.60,1.66
CRVUSDT,2025-09-04,2025-09,1756995720000,1756995780000,9.316139,10.617797,3.159052,10014.77,3.16
CRVUSDT,2025-09-04,2025-09,1757009400000,1757009460000,8.564868,4.008012,-3.596588,10015.09,-3.60
