symbol,overlap_days,raw_test_signals,raw_test_avg_net_bps,filt_test_signals,filt_test_avg_net_bps,raw_total_signals,filt_total_signals
CRVUSDT,245,16201,12.641653,2524,12.904011,45425,7251
GALAUSDT,245,12768,7.536705,2128,6.660693,31732,4985
IMXUSDT,245,10866,-3.627120,23,6.266625,25862,74
1000RATSUSDT,245,6250,3.427781,125,5.787888,25440,1913
TRUMPUSDT,245,12,3.793913,1,5.754334,59,16
PHAUSDT,245,10894,-0.465744,246,5.583675,28400,488
VVVUSDT,245,5847,-3.584132,6,5.560935,14860,179
MORPHOUSDT,245,307,0.528329,4,4.699780,6900,171
CAKEUSDT,245,123,3.297225,9,4.152478,1023,53
SPXUSDT,245,3326,-1.914856,3,3.993737,9550,17
XLMUSDT,245,1,3.738432,1,3.738432,7,1
JELLYJELLYUSDT,245,3145,-0.228391,34,3.681619,13584,1510
ETHFIUSDT,245,211,3.180973,2,3.405173,684,35
LDOUSDT,245,218,2.132247,18,3.328675,462,22
NOTUSDT,245,2679,-0.596837,70,3.218568,9688,101
AEROUSDT,245,686,3.010082,16,2.729805,1798,184
STRKUSDT,232,14,2.306962,2,2.666165,14,2
ZROUSDT,245,26,2.941132,3,2.604888,638,59
ARBUSDT,245,1549,1.974439,104,2.512004,2168,119
AKTUSDT,245,7624,-0.170128,416,2.311492,24368,1527
JTOUSDT,155,680,-1.087954,16,2.194558,8367,124
WLDUSDT,245,71,-0.147296,1,1.857498,170,3
VIRTUALUSDT,245,5,3.034555,1,1.822275,29,3
SEIUSDT,245,5124,1.666516,950,1.736403,13427,1722
ENAUSDT,245,1255,1.411354,264,1.639959,1732,388
BEATUSDT,102,8802,-3.497264,5,1.570304,20564,20
NEARUSDT,246,1444,1.391832,214,1.555807,3221,393
CHZUSDT,245,858,2.156366,176,1.041185,1494,238
KAVAUSDT,245,11649,2.092534,734,0.961339,30783,844
JUPUSDT,245,1084,-0.635665,43,0.832066,4334,84
ICPUSDT,245,205,1.643415,9,0.766115,400,22
FILUSDT,245,3004,1.059607,889,0.518509,7296,2006
WLFIUSDT,192,3355,-1.586656,147,0.490139,9395,1639
XPLUSDT,193,3612,0.984174,829,0.420543,7532,1439
ONDOUSDT,245,96,0.536016,6,0.380482,211,11
AIXBTUSDT,245,8776,-2.219085,51,0.014742,17013,332
RENDERUSDT,245,2008,-0.812080,72,-0.003441,7654,78
WIFUSDT,245,38,-0.255443,6,-0.016568,94,10
FARTCOINUSDT,245,470,0.286345,96,-0.365594,1420,345
1000BONKUSDT,245,15,1.242509,1,-0.660972,48,2
DOTUSDT,245,569,-0.880198,116,-1.055187,774,169
IPUSDT,245,3601,-0.215203,801,-1.068612,13495,2773
DASHUSDT,245,264,-0.185792,77,-1.077268,5071,1478
GRASSUSDT,245,13358,-3.893150,135,-1.185176,46566,135
CCUSDT,123,1737,-2.217597,90,-1.237634,12750,1060
2ZUSDT,152,1540,-1.983881,308,-1.543018,9666,1710
FIOUSDT,245,14155,-1.967000,763,-1.568409,47075,2580
FORMUSDT,245,13003,-2.185189,1940,-2.050475,35880,6012
EIGENUSDT,245,2157,-1.410039,460,-2.098765,4174,802
OPUSDT,245,998,-0.625382,192,-2.200445,1839,194
KAITOUSDT,245,3059,-2.012117,787,-2.229222,13204,4165
SIRENUSDT,245,5531,-1.762236,1046,-2.306658,26019,3022
ADAUSDT,246,15,1.646772,1,-2.475160,43,5
BTRUSDT,188,15405,-4.992821,351,-2.873596,47555,4383
AUCTIONUSDT,245,4136,-2.531051,876,-3.045525,29816,6852
MYXUSDT,210,14914,-0.751178,3076,-3.191693,52748,5918
BANUSDT,245,19128,-5.161129,18,-3.455733,54146,375
ATOMUSDT,245,363,-3.156204,134,-3.589889,617,136
AVNTUSDT,175,9745,-3.581769,2777,-3.889749,29713,9641
ANIMEUSDT,245,8457,-3.928197,2096,-4.082003,26942,7568
BNBUSDT,245,1013,-4.698553,40,-4.082886,13898,2115
FFUSDT,155,4691,-3.904540,825,-4.090265,17723,1679
ATHUSDT,245,5327,-3.538555,524,-4.113646,18468,677
BIOUSDT,245,10700,-4.296051,1899,-4.207767,15285,2842
ARCUSDT,245,5517,-3.600800,750,-4.235133,16696,2569
CYBERUSDT,245,10031,-4.343688,2606,-4.607123,19107,4322
KITEUSDT,125,7218,-4.906706,469,-4.822607,34131,681
COAIUSDT,152,16329,-4.676697,861,-4.830991,44438,3707
SAHARAUSDT,245,18166,-5.167921,2450,-4.846466,29524,4512
HANAUSDT,137,16518,-4.960107,3364,-5.040402,50469,15803
GPSUSDT,245,10443,-4.873259,2358,-5.154109,27816,2787
PIPPINUSDT,245,12225,-5.556594,156,-5.274064,37684,2595
INJUSDT,245,3695,-5.185286,1169,-5.379687,4137,1176
LYNUSDT,148,17107,-4.977656,3070,-5.443199,53924,5924
AXSUSDT,245,18277,-5.480008,6310,-5.505997,54257,12427
INITUSDT,245,19157,-5.701853,3461,-5.556389,51141,9236
BERAUSDT,245,9522,-5.601397,2574,-5.567252,36662,8910
0GUSDT,166,16516,-5.567836,4550,-5.628758,50774,14474
RIVERUSDT,133,11698,-5.508203,3095,-5.630780,43005,10827
BARDUSDT,166,13237,-5.486209,1513,-5.680246,22937,1818
ENSOUSDT,140,20267,-5.891105,3857,-5.785967,60627,5682
GUNUSDT,245,21149,-5.871525,2017,-5.821763,56835,6090
TAOUSDT,245,204,-5.508832,84,-5.878044,218,85
HUSDT,245,12222,-5.587603,1497,-5.929181,53845,2691
1000PEPEUSDT,245,26,-1.532450,0,nan,73,0
AAVEUSDT,245,0,nan,0,nan,13,2
ALCHUSDT,245,21567,-5.982225,0,nan,63313,2
APTUSDT,245,9,1.213020,0,nan,28,0
ASTERUSDT,165,0,nan,0,nan,16,0
AVAXUSDT,245,1,0.672341,0,nan,4,0
BCHUSDT,245,1,6.439939,0,nan,10,0
BTCUSDT,246,2,4.628826,0,nan,2,0
DOGEUSDT,246,0,nan,0,nan,7,0
ETCUSDT,245,3,2.748367,0,nan,77,1
ETHUSDT,246,1,6.844605,0,nan,12,0
HBARUSDT,245,1,3.370875,0,nan,12,0
HYPEUSDT,246,6,4.459372,0,nan,142,1
LINKUSDT,245,0,nan,0,nan,6,0
LTCUSDT,245,0,nan,0,nan,11,1
PAXGUSDT,245,1,12.099660,0,nan,8,0
PENGUUSDT,245,1,4.864262,0,nan,19,1
POLUSDT,245,49,-0.951032,0,nan,109,4
SOLUSDT,246,1,7.412998,0,nan,27,0
SUIUSDT,245,0,nan,0,nan,10,0
TIAUSDT,245,170,0.328142,0,nan,575,3
TONUSDT,245,5,4.374622,0,nan,30,1
TRXUSDT,245,1,3.427859,0,nan,62,58
UNIUSDT,245,56,-0.991212,0,nan,177,2
XMRUSDT,245,15,0.991173,0,nan,249,8
XRPUSDT,245,0,nan,0,nan,6,0
ZECUSDT,245,3,9.121653,0,nan,431,178
