min_score,sei_score_extra,max_velocity,min_spread_abs,train_fills,train_win_rate,train_avg_net_bps,train_total_pnl_dollars,test_fills,test_win_rate,test_avg_net_bps,test_total_pnl_dollars
6.0,8.0,10.0,10.0,908,0.560573,2.565476,2356.30,229,0.602620,9.093172,2103.69
6.0,8.0,10.0,12.0,791,0.577750,3.529361,2830.56,222,0.617117,9.821664,2203.88
6.0,8.0,10.0,14.0,671,0.606557,4.284426,2916.09,217,0.622120,10.182217,2233.66
6.0,8.0,12.0,10.0,936,0.568376,2.767423,2623.65,230,0.613043,8.705012,2021.86
6.0,8.0,12.0,12.0,806,0.585608,3.540294,2894.09,225,0.622222,9.245930,2101.65
6.0,8.0,12.0,14.0,690,0.611594,4.320218,3025.34,220,0.618182,9.205099,2045.31
6.0,8.0,14.0,10.0,955,0.569634,2.725747,2636.77,231,0.614719,8.528831,1989.23
6.0,8.0,14.0,12.0,831,0.584838,3.448432,2906.62,225,0.626667,9.156286,2081.07
6.0,8.0,14.0,14.0,706,0.600567,4.010731,2871.58,220,0.627273,9.358841,2079.84
6.0,10.0,10.0,10.0,891,0.564534,2.653130,2391.61,221,0.601810,9.256487,2066.28
6.0,10.0,10.0,12.0,779,0.578947,3.592684,2837.73,215,0.623256,10.062415,2186.51
6.0,10.0,10.0,14.0,665,0.606015,4.303074,2902.40,211,0.630332,10.306841,2198.09
6.0,10.0,12.0,10.0,915,0.572678,2.864139,2654.84,222,0.608108,8.810112,1974.63
6.0,10.0,12.0,12.0,795,0.588679,3.628850,2926.46,218,0.628440,9.548739,2102.97
6.0,10.0,12.0,14.0,684,0.612573,4.364873,3030.11,213,0.624413,9.292267,1998.51
6.0,10.0,14.0,10.0,934,0.574946,2.826113,2674.25,223,0.618834,8.778173,1976.36
6.0,10.0,14.0,12.0,819,0.588523,3.543658,2944.30,219,0.639269,9.518852,2106.05
6.0,10.0,14.0,14.0,700,0.601429,4.051713,2876.34,214,0.635514,9.524098,2058.62
6.0,12.0,10.0,10.0,880,0.565909,2.687899,2393.06,214,0.598131,9.572095,2069.08
6.0,12.0,10.0,12.0,773,0.578266,3.601227,2822.36,209,0.612440,10.202225,2154.69
6.0,12.0,10.0,14.0,660,0.606061,4.324153,2894.57,202,0.633663,10.718787,2188.34
6.0,12.0,12.0,10.0,902,0.575388,2.915806,2664.46,216,0.601852,9.046205,1972.73
6.0,12.0,12.0,12.0,789,0.588086,3.637495,2911.08,212,0.617925,9.683957,2073.75
6.0,12.0,12.0,14.0,679,0.612666,4.385817,3022.28,205,0.624390,9.580947,1983.06
6.0,12.0,14.0,10.0,922,0.577007,2.867675,2678.78,217,0.608295,8.982644,1967.90
6.0,12.0,14.0,12.0,813,0.587946,3.551419,2928.91,214,0.626168,9.609868,2077.35
6.0,12.0,14.0,14.0,695,0.601439,4.069922,2868.52,206,0.640777,9.887789,2057.32
8.0,8.0,10.0,10.0,851,0.544066,2.373451,2039.86,219,0.593607,8.629743,1907.44
8.0,8.0,10.0,12.0,737,0.583446,3.580425,2673.40,213,0.610329,9.512217,2046.31
