day,month,equity_start_dollars,day_pnl_dollars,day_return_pct,month_realized_pnl_dollars,equity_end_dollars
2025-08-05,2025-08,100000.00,-36.90,-0.0369,-181.77,99963.10
2025-08-06,2025-08,99963.10,-34.77,-0.0348,-181.77,99928.33
2025-08-09,2025-08,99928.33,15.54,0.0155,-181.77,99943.87
2025-08-11,2025-08,99943.87,2.44,0.0024,-181.77,99946.31
2025-08-12,2025-08,99946.31,-4.76,-0.0048,-181.77,99941.55
2025-08-13,2025-08,99941.55,1.71,0.0017,-181.77,99943.26
2025-08-14,2025-08,99943.26,5.65,0.0056,-181.77,99948.91
2025-08-15,2025-08,99948.91,1.41,0.0014,-181.77,99950.32
2025-08-16,2025-08,99950.32,-1.83,-0.0018,-181.77,99948.49
2025-08-17,2025-08,99948.49,-55.64,-0.0557,-181.77,99892.85
2025-08-18,2025-08,99892.85,-26.19,-0.0262,-181.77,99866.67
2025-08-19,2025-08,99866.67,20.54,0.0206,-181.77,99887.21
2025-08-20,2025-08,99887.21,1.49,0.0015,-181.77,99888.70
2025-08-23,2025-08,99888.70,-33.01,-0.0330,-181.77,99855.69
2025-08-24,2025-08,99855.69,-65.78,-0.0659,-181.77,99789.91
2025-08-25,2025-08,99789.91,-3.44,-0.0034,-181.77,99786.47
2025-08-26,2025-08,99786.47,40.25,0.0403,-181.77,99826.72
2025-08-27,2025-08,99826.72,-19.41,-0.0194,-181.77,99807.32
2025-08-29,2025-08,99807.32,6.11,0.0061,-181.77,99813.43
2025-08-30,2025-08,99813.43,13.25,0.0133,-181.77,99826.68
2025-08-31,2025-08,99826.68,-8.45,-0.0085,-181.77,99818.23
2025-09-02,2025-09,99818.23,-1.49,-0.0015,393.22,99816.74
2025-09-04,2025-09,99816.74,-0.01,-0.0000,393.22,99816.73
2025-09-05,2025-09,99816.73,11.33,0.0114,393.22,99828.06
2025-09-07,2025-09,99828.06,3.88,0.0039,393.22,99831.94
2025-09-14,2025-09,99831.94,16.16,0.0162,393.22,99848.10
2025-09-15,2025-09,99848.10,-24.97,-0.0250,393.22,99823.12
2025-09-16,2025-09,99823.12,-1.05,-0.0011,393.22,99822.07
2025-09-17,2025-09,99822.07,-0.80,-0.0008,393.22,99821.27
2025-09-18,2025-09,99821.27,70.85,0.0710,393.22,99892.12
2025-09-20,2025-09,99892.12,75.24,0.0753,393.22,99967.36
2025-09-21,2025-09,99967.36,11.39,0.0114,393.22,99978.74
2025-09-22,2025-09,99978.74,-75.54,-0.0756,393.22,99903.20
2025-09-23,2025-09,99903.20,25.97,0.0260,393.22,99929.17
2025-09-24,2025-09,99929.17,78.90,0.0790,393.22,100008.07
2025-09-25,2025-09,100008.07,-17.48,-0.0175,393.22,99990.59
2025-09-26,2025-09,99990.59,67.67,0.0677,393.22,100058.26
2025-09-27,2025-09,100058.26,71.98,0.0719,393.22,100130.24
2025-09-28,2025-09,100130.24,61.69,0.0616,393.22,100191.93
2025-09-29,2025-09,100191.93,-20.88,-0.0208,393.22,100171.06
2025-09-30,2025-09,100171.06,40.39,0.0403,393.22,100211.45
2025-10-01,2025-10,100211.45,-2.79,-0.0028,160.68,100208.66
2025-10-02,2025-10,100208.66,47.46,0.0474,160.68,100256.12
2025-10-03,2025-10,100256.12,1.90,0.0019,160.68,100258.02
2025-10-04,2025-10,100258.02,-10.96,-0.0109,160.68,100247.06
2025-10-05,2025-10,100247.06,17.18,0.0171,160.68,100264.24
2025-10-06,2025-10,100264.24,22.63,0.0226,160.68,100286.87
2025-10-07,2025-10,100286.87,-59.83,-0.0597,160.68,100227.04
2025-10-08,2025-10,100227.04,16.95,0.0169,160.68,100244.00
2025-10-09,2025-10,100244.00,6.53,0.0065,160.68,100250.53
2025-10-10,2025-10,100250.53,-35.91,-0.0358,160.68,100214.61
2025-10-11,2025-10,100214.61,97.21,0.0970,160.68,100311.82
2025-10-12,2025-10,100311.82,-19.05,-0.0190,160.68,100292.77
2025-10-13,2025-10,100292.77,0.06,0.0001,160.68,100292.83
2025-10-14,2025-10,100292.83,9.26,0.0092,160.68,100302.09
2025-10-15,2025-10,100302.09,-1.27,-0.0013,160.68,100300.82
2025-10-16,2025-10,100300.82,8.48,0.0085,160.68,100309.30
2025-10-17,2025-10,100309.30,18.39,0.0183,160.68,100327.69
2025-10-18,2025-10,100327.69,20.25,0.0202,160.68,100347.94
2025-10-19,2025-10,100347.94,-68.78,-0.0685,160.68,100279.16
2025-10-20,2025-10,100279.16,3.63,0.0036,160.68,100282.79
2025-10-21,2025-10,100282.79,-0.24,-0.0002,160.68,100282.55
2025-10-22,2025-10,100282.55,-53.33,-0.0532,160.68,100229.22
2025-10-23,2025-10,100229.22,-45.97,-0.0459,160.68,100183.25
2025-10-24,2025-10,100183.25,-1.30,-0.0013,160.68,100181.95
2025-10-25,2025-10,100181.95,38.07,0.0380,160.68,100220.02
2025-10-26,2025-10,100220.02,-19.57,-0.0195,160.68,100200.44
2025-10-27,2025-10,100200.44,112.36,0.1121,160.68,100312.80
2025-10-28,2025-10,100312.80,32.37,0.0323,160.68,100345.17
2025-10-29,2025-10,100345.17,-68.01,-0.0678,160.68,100277.16
2025-10-30,2025-10,100277.16,99.99,0.0997,160.68,100377.15
2025-10-31,2025-10,100377.15,-5.02,-0.0050,160.68,100372.13
2025-11-01,2025-11,100372.13,-46.65,-0.0465,1026.96,100325.48
2025-11-02,2025-11,100325.48,134.58,0.1341,1026.96,100460.06
2025-11-03,2025-11,100460.06,-73.53,-0.0732,1026.96,100386.53
2025-11-04,2025-11,100386.53,3.68,0.0037,1026.96,100390.21
2025-11-05,2025-11,100390.21,26.20,0.0261,1026.96,100416.41
2025-11-06,2025-11,100416.41,-28.02,-0.0279,1026.96,100388.39
2025-11-07,2025-11,100388.39,81.35,0.0810,1026.96,100469.74
2025-11-08,2025-11,100469.74,101.03,0.1006,1026.96,100570.76
2025-11-09,2025-11,100570.76,76.00,0.0756,1026.96,100646.76
2025-11-10,2025-11,100646.76,-9.07,-0.0090,1026.96,100637.69
2025-11-11,2025-11,100637.69,51.00,0.0507,1026.96,100688.70
2025-11-12,2025-11,100688.70,-37.83,-0.0376,1026.96,100650.87
2025-11-13,2025-11,100650.87,52.90,0.0526,1026.96,100703.77
2025-11-14,2025-11,100703.77,89.42,0.0888,1026.96,100793.19
2025-11-15,2025-11,100793.19,154.99,0.1538,1026.96,100948.18
2025-11-16,2025-11,100948.18,-47.48,-0.0470,1026.96,100900.70
2025-11-17,2025-11,100900.70,145.67,0.1444,1026.96,101046.36
2025-11-18,2025-11,101046.36,-14.31,-0.0142,1026.96,101032.05
2025-11-19,2025-11,101032.05,97.89,0.0969,1026.96,101129.94
2025-11-20,2025-11,101129.94,12.78,0.0126,1026.96,101142.72
2025-11-21,2025-11,101142.72,14.92,0.0147,1026.96,101157.64
2025-11-22,2025-11,101157.64,76.43,0.0756,1026.96,101234.07
2025-11-23,2025-11,101234.07,-42.94,-0.0424,1026.96,101191.13
2025-11-24,2025-11,101191.13,-1.51,-0.0015,1026.96,101189.62
2025-11-25,2025-11,101189.62,98.15,0.0970,1026.96,101287.77
2025-11-26,2025-11,101287.77,78.62,0.0776,1026.96,101366.39
2025-11-27,2025-11,101366.39,17.91,0.0177,1026.96,101384.30
2025-11-28,2025-11,101384.30,7.49,0.0074,1026.96,101391.79
2025-11-29,2025-11,101391.79,20.43,0.0201,1026.96,101412.21
2025-11-30,2025-11,101412.21,-13.12,-0.0129,1026.96,101399.09
2025-12-01,2025-12,101399.09,-114.61,-0.1130,1006.92,101284.49
2025-12-02,2025-12,101284.49,121.53,0.1200,1006.92,101406.02
2025-12-03,2025-12,101406.02,-19.73,-0.0195,1006.92,101386.29
2025-12-04,2025-12,101386.29,56.38,0.0556,1006.92,101442.66
2025-12-05,2025-12,101442.66,-72.78,-0.0717,1006.92,101369.89
2025-12-06,2025-12,101369.89,-32.42,-0.0320,1006.92,101337.47
2025-12-07,2025-12,101337.47,74.51,0.0735,1006.92,101411.98
2025-12-08,2025-12,101411.98,84.63,0.0835,1006.92,101496.62
2025-12-09,2025-12,101496.62,-65.55,-0.0646,1006.92,101431.06
2025-12-10,2025-12,101431.06,150.30,0.1482,1006.92,101581.36
2025-12-11,2025-12,101581.36,5.14,0.0051,1006.92,101586.50
2025-12-12,2025-12,101586.50,55.91,0.0550,1006.92,101642.41
2025-12-13,2025-12,101642.41,51.37,0.0505,1006.92,101693.78
2025-12-14,2025-12,101693.78,18.42,0.0181,1006.92,101712.20
2025-12-15,2025-12,101712.20,-68.93,-0.0678,1006.92,101643.28
2025-12-16,2025-12,101643.28,-0.50,-0.0005,1006.92,101642.78
2025-12-17,2025-12,101642.78,69.52,0.0684,1006.92,101712.29
2025-12-18,2025-12,101712.29,32.02,0.0315,1006.92,101744.31
2025-12-19,2025-12,101744.31,-6.66,-0.0065,1006.92,101737.65
2025-12-20,2025-12,101737.65,68.14,0.0670,1006.92,101805.79
2025-12-21,2025-12,101805.79,59.90,0.0588,1006.92,101865.68
2025-12-22,2025-12,101865.68,57.80,0.0567,1006.92,101923.48
2025-12-23,2025-12,101923.48,224.34,0.2201,1006.92,102147.82
2025-12-24,2025-12,102147.82,148.03,0.1449,1006.92,102295.85
2025-12-25,2025-12,102295.85,89.04,0.0870,1006.92,102384.90
2025-12-26,2025-12,102384.90,141.13,0.1378,1006.92,102526.03
2025-12-27,2025-12,102526.03,-103.74,-0.1012,1006.92,102422.29
2025-12-28,2025-12,102422.29,30.02,0.0293,1006.92,102452.31
2025-12-29,2025-12,102452.31,-3.95,-0.0039,1006.92,102448.36
2025-12-30,2025-12,102448.36,54.94,0.0536,1006.92,102503.30
2025-12-31,2025-12,102503.30,-97.28,-0.0949,1006.92,102406.02
2026-01-01,2026-01,102406.02,-21.36,-0.0209,1273.90,102384.66
2026-01-02,2026-01,102384.66,107.64,0.1051,1273.90,102492.29
2026-01-03,2026-01,102492.29,43.92,0.0429,1273.90,102536.21
2026-01-04,2026-01,102536.21,3.45,0.0034,1273.90,102539.66
2026-01-05,2026-01,102539.66,38.87,0.0379,1273.90,102578.54
2026-01-06,2026-01,102578.54,31.48,0.0307,1273.90,102610.02
2026-01-07,2026-01,102610.02,176.66,0.1722,1273.90,102786.68
2026-01-08,2026-01,102786.68,-6.15,-0.0060,1273.90,102780.53
2026-01-09,2026-01,102780.53,73.18,0.0712,1273.90,102853.71
2026-01-10,2026-01,102853.71,83.55,0.0812,1273.90,102937.26
2026-01-11,2026-01,102937.26,45.93,0.0446,1273.90,102983.19
2026-01-12,2026-01,102983.19,-60.40,-0.0587,1273.90,102922.79
2026-01-13,2026-01,102922.79,23.84,0.0232,1273.90,102946.63
2026-01-14,2026-01,102946.63,92.05,0.0894,1273.90,103038.68
2026-01-15,2026-01,103038.68,-57.01,-0.0553,1273.90,102981.67
2026-01-16,2026-01,102981.67,-51.62,-0.0501,1273.90,102930.05
2026-01-17,2026-01,102930.05,60.78,0.0590,1273.90,102990.83
2026-01-18,2026-01,102990.83,57.08,0.0554,1273.90,103047.91
2026-01-19,2026-01,103047.91,-15.81,-0.0153,1273.90,103032.10
2026-01-20,2026-01,103032.10,88.12,0.0855,1273.90,103120.22
2026-01-21,2026-01,103120.22,166.57,0.1615,1273.90,103286.79
2026-01-22,2026-01,103286.79,108.84,0.1054,1273.90,103395.63
