day,month,equity_start_dollars,day_pnl_dollars,day_return_pct,month_realized_pnl_dollars,equity_end_dollars
2025-08-05,2025-08,100000.00,6.39,0.0064,222.80,100006.39
2025-08-06,2025-08,100006.39,10.79,0.0108,222.80,100017.18
2025-08-07,2025-08,100017.18,14.49,0.0145,222.80,100031.67
2025-08-08,2025-08,100031.67,20.20,0.0202,222.80,100051.87
2025-08-09,2025-08,100051.87,12.49,0.0125,222.80,100064.36
2025-08-10,2025-08,100064.36,7.64,0.0076,222.80,100072.00
2025-08-11,2025-08,100072.00,16.15,0.0161,222.80,100088.15
2025-08-12,2025-08,100088.15,7.15,0.0071,222.80,100095.30
2025-08-13,2025-08,100095.30,-4.71,-0.0047,222.80,100090.59
2025-08-14,2025-08,100090.59,22.00,0.0220,222.80,100112.59
2025-08-15,2025-08,100112.59,20.14,0.0201,222.80,100132.73
2025-08-16,2025-08,100132.73,-6.00,-0.0060,222.80,100126.72
2025-08-17,2025-08,100126.72,-6.50,-0.0065,222.80,100120.23
2025-08-18,2025-08,100120.23,-18.64,-0.0186,222.80,100101.59
2025-08-19,2025-08,100101.59,16.51,0.0165,222.80,100118.10
2025-08-20,2025-08,100118.10,2.23,0.0022,222.80,100120.33
2025-08-21,2025-08,100120.33,3.76,0.0038,222.80,100124.09
2025-08-22,2025-08,100124.09,12.50,0.0125,222.80,100136.59
2025-08-23,2025-08,100136.59,-16.37,-0.0164,222.80,100120.21
2025-08-24,2025-08,100120.21,-7.02,-0.0070,222.80,100113.20
2025-08-25,2025-08,100113.20,-4.81,-0.0048,222.80,100108.39
2025-08-26,2025-08,100108.39,33.37,0.0333,222.80,100141.77
2025-08-27,2025-08,100141.77,11.90,0.0119,222.80,100153.67
2025-08-28,2025-08,100153.67,4.92,0.0049,222.80,100158.59
2025-08-29,2025-08,100158.59,18.98,0.0189,222.80,100177.57
2025-08-30,2025-08,100177.57,33.93,0.0339,222.80,100211.49
2025-08-31,2025-08,100211.49,11.31,0.0113,222.80,100222.80
2025-09-01,2025-09,100222.80,8.00,0.0080,144.65,100230.81
2025-09-02,2025-09,100230.81,-16.42,-0.0164,144.65,100214.39
2025-09-03,2025-09,100214.39,29.69,0.0296,144.65,100244.08
2025-09-04,2025-09,100244.08,6.25,0.0062,144.65,100250.34
2025-09-05,2025-09,100250.34,1.75,0.0018,144.65,100252.09
2025-09-06,2025-09,100252.09,21.73,0.0217,144.65,100273.82
2025-09-07,2025-09,100273.82,-16.46,-0.0164,144.65,100257.36
2025-09-08,2025-09,100257.36,8.91,0.0089,144.65,100266.27
2025-09-09,2025-09,100266.27,-1.87,-0.0019,144.65,100264.40
2025-09-10,2025-09,100264.40,28.09,0.0280,144.65,100292.48
2025-09-11,2025-09,100292.48,-5.36,-0.0053,144.65,100287.12
2025-09-12,2025-09,100287.12,19.80,0.0197,144.65,100306.93
2025-09-14,2025-09,100306.93,1.02,0.0010,144.65,100307.95
2025-09-15,2025-09,100307.95,7.54,0.0075,144.65,100315.49
2025-09-16,2025-09,100315.49,-11.76,-0.0117,144.65,100303.73
2025-09-17,2025-09,100303.73,-10.85,-0.0108,144.65,100292.88
2025-09-18,2025-09,100292.88,21.21,0.0211,144.65,100314.10
2025-09-19,2025-09,100314.10,-0.60,-0.0006,144.65,100313.50
2025-09-20,2025-09,100313.50,-2.68,-0.0027,144.65,100310.82
