symbol,day,entry_ts_ms,exit_ts_ms,alloc_dollars,gross_pnl_bps,modeled_net_bps,modeled_pnl_dollars,fill_ok,bybit_entry_slip_bps,bybit_exit_slip_bps,binance_entry_slip_bps,binance_exit_slip_bps,strict_exec_slip_bps,strict_net_bps,strict_pnl_dollars
CRVUSDT,2026-02-01,1769930640000,1769930700000,25000.00,31.191036,21.034864,52.590000,1,4.712787,3.854478,1.074715,1.325361,10.967341,14.223695,35.559238
CRVUSDT,2026-02-01,1769937480000,1769937540000,25013.15,34.506556,23.323916,58.340000,1,5.378869,4.805973,1.208500,1.126418,12.519761,15.986795,39.988011
CRVUSDT,2026-02-01,1769942940000,1769943000000,25027.73,41.594459,30.919437,77.380000,1,6.336854,4.912747,1.171425,1.781749,14.202774,21.391685,53.538532
CRVUSDT,2026-02-02,1769994480000,1769994540000,25037.03,-3.610671,-13.636744,-34.140000,1,5.387222,4.580838,1.754719,1.786177,13.508955,-23.119626,-57.884676
CRVUSDT,2026-02-02,1769994540000,1769994600000,25028.49,35.714400,25.501335,63.830000,1,6.148769,5.235317,1.823445,2.009145,15.216676,14.497724,36.285613
CRVUSDT,2026-02-02,1770000960000,1770001020000,25044.45,32.673149,22.427437,56.170000,1,5.890701,6.146903,1.828970,1.335233,15.201808,11.471341,28.729343
CRVUSDT,2026-02-03,1770078720000,1770078780000,25069.17,17.367112,6.160958,15.450000,1,4.424100,4.780081,1.619990,1.400616,12.224788,-0.857676,-2.150121
CRVUSDT,2026-02-03,1770115800000,1770115860000,25071.73,38.506827,27.632186,69.280000,1,5.003224,4.759736,1.184343,1.147634,12.094938,20.411889,51.176138
CRVUSDT,2026-02-03,1770130680000,1770130740000,25089.05,28.368762,16.749276,42.020000,1,5.960999,4.095724,1.403727,1.354261,12.814711,9.554051,23.970205
CRVUSDT,2026-02-04,1770169260000,1770169320000,25119.96,35.348180,23.564237,59.190000,1,3.757424,5.035382,1.770966,1.388050,11.951822,17.396358,43.699582
CRVUSDT,2026-02-04,1770172440000,1770172500000,25134.76,14.270376,3.349245,8.420000,1,5.147866,6.018372,1.758861,1.465214,14.390313,-6.119937,-15.382315
CRVUSDT,2026-02-04,1770176880000,1770176940000,25136.87,28.203775,17.486504,43.960000,1,6.305566,5.793722,1.655591,1.257366,15.012245,7.191530,18.077255
CRVUSDT,2026-02-05,1770253920000,1770253980000,25157.92,-14.534822,-24.608039,-61.910000,1,4.356911,5.450173,1.155721,1.218480,12.181284,-32.716106,-82.306918
CRVUSDT,2026-02-05,1770255900000,1770255960000,25142.44,10.952876,0.145464,0.370000,1,4.758098,5.291131,1.278328,1.426636,12.754192,-7.801316,-19.614413
CRVUSDT,2026-02-05,1770257520000,1770257580000,25142.53,33.400686,23.115351,58.120000,1,4.889730,4.178237,1.092695,1.364796,11.525458,15.875228,39.914341
CRVUSDT,2026-02-06,1770336720000,1770336780000,25171.55,35.653127,23.383475,58.860000,1,8.382575,6.970727,4.910305,4.220837,24.484444,5.168683,13.010376
CRVUSDT,2026-02-06,1770339660000,1770339720000,25188.07,12.987013,0.805355,2.030000,1,7.886161,7.785577,2.403865,2.768185,20.843787,-13.856774,-34.902539
CRVUSDT,2026-02-06,1770347580000,1770347640000,25210.88,34.987978,23.676627,59.690000,1,6.437425,8.998665,2.300913,1.845810,19.582812,9.405166,23.711251
CRVUSDT,2026-02-07,1770424980000,1770425040000,25220.94,59.062914,46.483910,117.240000,1,6.058479,4.594545,1.096341,1.129372,12.878737,40.184177,101.348271
CRVUSDT,2026-02-07,1770427320000,1770427380000,25260.15,27.501833,17.091504,43.170000,1,5.765895,3.185796,1.330265,1.466416,11.748372,9.753461,24.637388
CRVUSDT,2026-02-07,1770436860000,1770436920000,25270.94,26.948243,15.234929,38.500000,1,5.696005,5.319821,1.340110,1.005881,13.361816,7.586427,19.171613
CRVUSDT,2026-02-08,1770514680000,1770514740000,25296.73,3.895591,-5.914471,-14.960000,1,4.905928,5.437459,1.230879,1.669332,13.243599,-15.348008,-38.825441
CRVUSDT,2026-02-08,1770531360000,1770531420000,25313.72,35.332607,24.138583,61.100000,1,5.013134,4.128058,1.369308,1.359851,11.870351,17.462256,44.203466
CRVUSDT,2026-02-08,1770531540000,1770531600000,25329.00,3.916935,-7.277089,-18.430000,1,4.425762,4.998426,1.381890,1.257922,12.064001,-14.147066,-35.833103
