symbol,binance_days,bybit_days,overlap_days,binance_metrics_days,bybit_funding_days,bybit_open_interest_days,bybit_long_short_days,eligible
ADAUSDT,246,247,246,246,247,247,247,1
BTCUSDT,246,247,246,246,247,247,247,1
DOGEUSDT,246,247,246,246,247,247,247,1
ETHUSDT,246,247,246,246,247,247,247,1
HYPEUSDT,246,247,246,246,247,247,247,1
NEARUSDT,246,247,246,246,247,247,247,1
SOLUSDT,246,247,246,246,247,247,247,1
1000BONKUSDT,245,246,245,245,246,246,246,1
1000PEPEUSDT,245,246,245,245,246,246,246,1
1000RATSUSDT,245,246,245,245,246,246,246,1
AAVEUSDT,245,246,245,245,246,246,246,1
AEROUSDT,245,245,245,245,245,245,245,1
AIXBTUSDT,245,246,245,245,246,246,246,1
AKTUSDT,245,246,245,245,246,246,246,1
ALCHUSDT,245,245,245,245,244,245,245,1
ANIMEUSDT,245,245,245,245,245,245,245,1
APTUSDT,245,246,245,245,246,246,246,1
ARBUSDT,245,246,245,245,246,246,246,1
ARCUSDT,245,246,245,245,246,246,246,1
ATHUSDT,245,245,245,245,245,245,245,1
ATOMUSDT,245,246,245,245,246,246,246,1
AUCTIONUSDT,245,245,245,245,245,245,245,1
AVAXUSDT,245,246,245,245,246,246,246,1
AXSUSDT,245,246,245,245,246,246,246,1
BANUSDT,245,245,245,245,245,245,245,1
BCHUSDT,245,246,245,245,246,246,246,1
BERAUSDT,245,246,245,245,246,246,246,1
BIOUSDT,245,245,245,245,245,245,245,1
BNBUSDT,245,246,245,245,246,246,246,1
CAKEUSDT,245,245,245,245,245,245,245,1
CHZUSDT,245,246,245,245,246,246,246,1
CRVUSDT,245,246,245,245,246,246,246,1
CYBERUSDT,245,245,245,245,245,245,245,1
DASHUSDT,245,246,245,245,246,246,246,1
DOTUSDT,245,246,245,245,246,246,246,1
DYDXUSDT,245,246,245,182,246,246,246,1
EIGENUSDT,245,246,245,245,246,246,246,1
ENAUSDT,245,246,245,245,246,246,246,1
ETCUSDT,245,246,245,245,246,246,246,1
ETHFIUSDT,245,245,245,245,245,245,245,1
FARTCOINUSDT,245,246,245,245,246,246,246,1
FILUSDT,245,246,245,245,246,246,246,1
FIOUSDT,245,245,245,245,245,245,245,1
FORMUSDT,245,246,245,245,246,246,246,1
GALAUSDT,245,246,245,245,246,246,246,1
GPSUSDT,245,245,245,245,245,245,245,1
GRASSUSDT,245,246,245,245,246,246,246,1
GUNUSDT,245,246,245,245,246,246,246,1
HBARUSDT,245,246,245,245,246,246,246,1
HUSDT,245,246,245,245,246,246,246,1
ICPUSDT,245,246,245,245,246,246,246,1
IMXUSDT,245,245,245,245,245,245,245,1
INITUSDT,245,245,245,245,245,245,245,1
INJUSDT,245,246,245,245,246,246,246,1
IPUSDT,245,246,245,245,246,246,246,1
JELLYJELLYUSDT,245,246,245,245,246,246,246,1
JUPUSDT,245,246,245,245,246,246,246,1
KAITOUSDT,245,246,245,245,246,246,246,1
KAVAUSDT,245,246,245,245,246,246,246,1
LDOUSDT,245,246,245,245,246,246,246,1
LINKUSDT,245,246,245,245,246,246,246,1
LTCUSDT,245,246,245,245,246,246,246,1
MORPHOUSDT,245,246,245,245,246,246,246,1
NOTUSDT,245,245,245,245,245,245,245,1
ONDOUSDT,245,246,245,245,246,246,246,1
OPUSDT,245,246,245,245,246,246,246,1
PAXGUSDT,245,246,245,245,246,246,246,1
PENGUUSDT,245,246,245,245,246,246,246,1
PHAUSDT,245,246,245,245,246,246,246,1
PIPPINUSDT,245,246,245,245,246,246,246,1
POLUSDT,245,246,245,245,246,246,246,1
RENDERUSDT,245,246,245,245,246,246,246,1
SAHARAUSDT,245,246,245,245,246,246,246,1
SEIUSDT,245,246,245,245,246,246,246,1
SIRENUSDT,245,246,245,245,246,246,246,1
SPXUSDT,245,246,245,245,246,246,246,1
SUIUSDT,245,246,245,245,246,246,246,1
TAOUSDT,245,246,245,245,246,246,246,1
TIAUSDT,245,246,245,245,246,246,246,1
TONUSDT,245,246,245,245,246,246,246,1
TRUMPUSDT,245,246,245,245,246,246,246,1
TRXUSDT,245,246,245,245,246,246,246,1
UNIUSDT,245,246,245,245,246,246,246,1
VIRTUALUSDT,245,246,245,245,246,246,246,1
VVVUSDT,245,246,245,245,246,246,246,1
WIFUSDT,245,246,245,245,246,246,246,1
WLDUSDT,245,246,245,245,246,246,246,1
XLMUSDT,245,246,245,245,246,246,246,1
XMRUSDT,245,246,245,245,246,246,246,1
XRPUSDT,245,247,245,246,247,247,247,1
ZECUSDT,245,246,245,245,246,246,246,1
ZROUSDT,245,246,245,245,246,246,246,1
STRKUSDT,245,232,232,245,155,163,238,1
MYXUSDT,245,211,210,245,211,211,211,1
XPLUSDT,193,194,193,193,194,194,194,1
WLFIUSDT,192,193,192,192,193,193,193,1
BTRUSDT,188,188,188,188,188,188,188,1
AVNTUSDT,175,175,175,175,175,175,175,1
0GUSDT,167,166,166,167,166,166,166,1
BARDUSDT,166,169,166,166,169,169,169,1
ASTERUSDT,165,166,165,165,166,166,166,1
FFUSDT,155,155,155,155,155,155,155,1
JTOUSDT,245,155,155,245,155,155,155,1
2ZUSDT,152,152,152,152,152,152,152,1
COAIUSDT,159,152,152,159,152,152,152,1
LYNUSDT,148,149,148,148,149,149,149,1
ENSOUSDT,140,141,140,140,141,141,141,1
HANAUSDT,158,138,137,158,138,138,138,1
RIVERUSDT,138,134,133,138,134,134,134,1
KITEUSDT,125,126,125,125,126,126,126,1
CCUSDT,123,123,123,123,123,123,123,1
BEATUSDT,111,102,102,111,102,102,102,1
WETUSDT,83,90,83,83,90,90,90,0
POWERUSDT,88,66,65,88,66,66,66,0
BREVUSDT,63,61,61,63,61,61,61,0
BIRBUSDT,33,32,31,33,32,32,32,0
