symbol,state,horizon,threshold,n_state,p_up,p_down,p_big,skew_ratio,p_up_base,p_down_base,uplift_up,uplift_down
0GUSDT,S06_compress_vol,12h,100bp,35,0.6,0.14285714285714285,0.7428571428571429,4.2,0.360062893081761,0.4453616352201258,1.6663755458515284,0.32076661202874795
0GUSDT,S06_compress_vol,12h,200bp,35,0.5428571428571428,0.0,0.5428571428571428,542857.1428571428,0.27541928721174,0.32507861635220126,1.9710207965203208,0.0
0GUSDT,S06_compress_vol,12h,300bp,35,0.5428571428571428,0.0,0.5428571428571428,542857.1428571428,0.21016771488469602,0.2254979035639413,2.582971143569647,0.0
0GUSDT,S06_compress_vol,24h,100bp,35,0.9428571428571428,0.05714285714285714,1.0,16.5,0.42294337606837606,0.421875,2.2292751138977853,0.13544973544973546
0GUSDT,S06_compress_vol,24h,200bp,35,0.9428571428571428,0.05714285714285714,1.0,16.5,0.35550213675213677,0.34975961538461536,2.6521841794569068,0.16337751595483554
0GUSDT,S06_compress_vol,24h,300bp,35,0.7428571428571429,0.05714285714285714,0.8,13.0,0.28979700854700857,0.2844551282051282,2.5633706385780117,0.20088531187122738
0GUSDT,S07_compress_oi,12h,100bp,12,1.0,0.0,1.0,1000000.0,0.360062893081761,0.4453616352201258,2.7772925764192142,0.0
0GUSDT,S07_compress_oi,12h,200bp,12,1.0,0.0,1.0,1000000.0,0.27541928721174,0.32507861635220126,3.630827783063749,0.0
0GUSDT,S07_compress_oi,12h,300bp,12,1.0,0.0,1.0,1000000.0,0.21016771488469602,0.2254979035639413,4.758104738154613,0.0
0GUSDT,S07_compress_oi,24h,100bp,12,1.0,0.0,1.0,1000000.0,0.42294337606837606,0.421875,2.364382696558257,0.0
0GUSDT,S07_compress_oi,24h,200bp,12,1.0,0.0,1.0,1000000.0,0.35550213675213677,0.34975961538461536,2.812922614575507,0.0
0GUSDT,S07_compress_oi,24h,300bp,12,0.6666666666666666,0.0,0.6666666666666666,666666.6666666666,0.28979700854700857,0.2844551282051282,2.3004608294930873,0.0
0GUSDT,S03_oi_surge,12h,100bp,184,0.358695652173913,0.5271739130434783,0.8858695652173914,0.6804123711340205,0.360062893081761,0.4453616352201258,0.9962027719764572,1.18369853025826
0GUSDT,S03_oi_surge,12h,200bp,184,0.32608695652173914,0.4782608695652174,0.8043478260869565,0.6818181818181818,0.27541928721174,0.32507861635220126,1.1839655814338312,1.4712160243940908
0GUSDT,S03_oi_surge,12h,300bp,184,0.266304347826087,0.44021739130434784,0.7065217391304348,0.6049382716049383,0.21016771488469602,0.2254979035639413,1.2671039791824787,1.952201702751181
0GUSDT,S03_oi_surge,24h,100bp,165,0.26666666666666666,0.6303030303030303,0.896969696969697,0.42307692307692313,0.42294337606837606,0.421875,0.6305020524155353,1.4940516273849607
0GUSDT,S03_oi_surge,24h,200bp,165,0.21212121212121213,0.509090909090909,0.7212121212121212,0.41666666666666674,0.35550213675213677,0.34975961538461536,0.5966805546069257,1.4555451421430803
0GUSDT,S03_oi_surge,24h,300bp,165,0.21212121212121213,0.4666666666666667,0.6787878787878788,0.45454545454545453,0.28979700854700857,0.2844551282051282,0.7319648093841642,1.6405633802816901
