symbol,state,horizon,definition,n_total,nS,rateS,p0,pS,p_control,uplift,uplift_matched,delta,CI_low,CI_high,p_perm,nS_train,pS_train,train_uplift,nS_test,pS_test,p0_test,test_uplift,delta_test,p_control_test,uplift_matched_test,weeks_positive,weeks_total,n_syms_contributing,q_fdr,flag_PASS,weekly_stable
0GUSDT,S02_fund_low,12h,A_k3.0,16848,895,0.053122,0.000950,0.000000,0.000000,0.000000,0.000000,-0.000950,0.000000,0.004274,1.000000,514.000000,0.000000,0.000000,276,0.000000,0.002096,0.000000,-0.002096,0.000000,0.000000,0.000000,9.000000,,1.000000,0,0
0GUSDT,S02_fund_low,12h,A_k4.0,16848,895,0.053122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004274,1.000000,514.000000,0.000000,0.000000,276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,,1.000000,0,0
0GUSDT,S02_fund_low,12h,B,16848,895,0.053122,0.389008,0.395531,0.509363,1.016769,0.776521,0.006523,0.364008,0.427947,1.000000,514.000000,0.301556,0.942637,276,0.525362,0.435666,1.205884,0.089697,0.586594,0.895615,3.000000,9.000000,,1.000000,0,0
0GUSDT,S02_fund_low,24h,A_k3.0,16704,883,0.052862,0.004909,0.000000,0.000528,0.000000,0.000000,-0.004909,0.000000,0.004332,1.000000,514.000000,0.000000,0.000000,264,0.000000,0.007879,0.000000,-0.007879,0.002652,0.000000,0.000000,8.000000,,1.000000,0,0
0GUSDT,S02_fund_low,24h,A_k4.0,16704,883,0.052862,0.000838,0.000000,0.000396,0.000000,0.000000,-0.000838,0.000000,0.004332,1.000000,514.000000,0.000000,0.000000,264,0.000000,0.001870,0.000000,-0.001870,0.001136,0.000000,0.000000,8.000000,,1.000000,0,0
0GUSDT,S02_fund_low,24h,B,16704,883,0.052862,0.365302,0.439411,0.539102,1.202872,0.815080,0.074109,0.407007,0.472340,1.000000,514.000000,0.336576,1.017856,264,0.424242,0.370326,1.145592,0.053917,0.509470,0.832714,4.000000,8.000000,,1.000000,0,0
0GUSDT,S03_oi_surge,12h,A_k3.0,16848,409,0.024276,0.000950,0.000000,0.000000,0.000000,0.000000,-0.000950,0.000000,0.009305,1.000000,221.000000,0.000000,0.000000,184,0.000000,0.002096,0.000000,-0.002096,0.000000,0.000000,0.000000,9.000000,,1.000000,0,0
0GUSDT,S03_oi_surge,12h,A_k4.0,16848,409,0.024276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009305,1.000000,221.000000,0.000000,0.000000,184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,,1.000000,0,0
0GUSDT,S03_oi_surge,12h,B,16848,409,0.024276,0.389008,0.462103,0.516667,1.187901,0.894392,0.073095,0.414361,0.510550,1.000000,221.000000,0.253394,0.792084,184,0.706522,0.435666,1.621706,0.270856,0.479891,1.472254,4.000000,9.000000,,1.000000,0,0
0GUSDT,S03_oi_surge,24h,A_k3.0,16704,390,0.023348,0.004909,0.000000,0.000304,0.000000,0.000000,-0.004909,0.000000,0.009754,1.000000,221.000000,0.000000,0.000000,165,0.000000,0.007879,0.000000,-0.007879,0.000000,0.000000,0.000000,8.000000,,1.000000,0,0
