a,b,c,cancel_delay_s,fee_model,slip_entry_bp,slip_exit_bp,split,n_signals,n_trades,trigger_rate,net_mean_bp,net_median_bp,net_total_bp,gross_mean_bp,pf,hit_rate_tp,pct_sl,pct_time,pct_double,max_dd_bp,p5_net_bp,p95_net_bp,weeks_positive,weeks_total,mean_time_to_entry_min,mean_time_in_trade_min,mean_MAE_bp,mean_MFE_bp
0.8000,3,1.5000,0,M,0,0,test_fwd,907,89,0.0981,36.1553,-15.1121,3217.8187,55.8856,1.2140,0.0337,0.0225,0.9438,0.0000,-3605.6655,-859.9154,902.5390,3,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,0,M,0,0,test_rev,700,83,0.1186,16.5613,-11.4303,1374.5898,36.4649,1.1369,0.0120,0.0241,0.9639,0.0000,-3854.4054,-539.1328,715.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,1.5000,0,M,5,5,test_fwd,907,89,0.0981,26.2395,-25.1121,2335.3187,55.8856,1.1504,0.0337,0.0225,0.9438,0.0000,-4052.5477,-869.9154,892.5390,3,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,0,M,5,5,test_rev,700,83,0.1186,6.5914,-21.4303,547.0898,36.4649,1.0522,0.0120,0.0241,0.9639,0.0000,-4214.4054,-549.1328,705.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,1.5000,0,M,10,10,test_fwd,907,89,0.0981,16.3238,-35.1121,1452.8187,55.8856,1.0906,0.0337,0.0225,0.9438,0.0000,-4500.0477,-879.9154,882.5390,2,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,0,M,10,10,test_rev,700,83,0.1186,-3.3784,-31.4303,-280.4102,36.4649,0.9744,0.0120,0.0241,0.9639,0.0000,-4574.4054,-559.1328,695.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,1.5000,0,T,0,0,test_fwd,907,89,0.0981,35.8856,-15.1121,3193.8187,55.8856,1.2124,0.0337,0.0225,0.9438,0.0000,-3613.6655,-859.9154,902.5390,3,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,0,T,0,0,test_rev,700,83,0.1186,16.4649,-11.4303,1366.5898,36.4649,1.1361,0.0120,0.0241,0.9639,0.0000,-3854.4054,-539.1328,715.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,1.5000,0,T,5,5,test_fwd,907,89,0.0981,25.8856,-25.1121,2303.8187,55.8856,1.1484,0.0337,0.0225,0.9438,0.0000,-4063.0477,-869.9154,892.5390,3,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,0,T,5,5,test_rev,700,83,0.1186,6.4649,-21.4303,536.5898,36.4649,1.0512,0.0120,0.0241,0.9639,0.0000,-4214.4054,-549.1328,705.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,1.5000,0,T,10,10,test_fwd,907,89,0.0981,15.8856,-35.1121,1413.8187,55.8856,1.0882,0.0337,0.0225,0.9438,0.0000,-4513.0477,-879.9154,882.5390,2,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,0,T,10,10,test_rev,700,83,0.1186,-3.5351,-31.4303,-293.4102,36.4649,0.9732,0.0120,0.0241,0.9639,0.0000,-4574.4054,-559.1328,695.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,1.5000,60,M,0,0,test_fwd,907,89,0.0981,36.1553,-15.1121,3217.8187,55.8856,1.2140,0.0337,0.0225,0.9438,0.0000,-3605.6655,-859.9154,902.5390,3,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,60,M,0,0,test_rev,700,83,0.1186,16.5613,-11.4303,1374.5898,36.4649,1.1369,0.0120,0.0241,0.9639,0.0000,-3854.4054,-539.1328,715.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,1.5000,60,M,5,5,test_fwd,907,89,0.0981,26.2395,-25.1121,2335.3187,55.8856,1.1504,0.0337,0.0225,0.9438,0.0000,-4052.5477,-869.9154,892.5390,3,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,60,M,5,5,test_rev,700,83,0.1186,6.5914,-21.4303,547.0898,36.4649,1.0522,0.0120,0.0241,0.9639,0.0000,-4214.4054,-549.1328,705.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,1.5000,60,M,10,10,test_fwd,907,89,0.0981,16.3238,-35.1121,1452.8187,55.8856,1.0906,0.0337,0.0225,0.9438,0.0000,-4500.0477,-879.9154,882.5390,2,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,60,M,10,10,test_rev,700,83,0.1186,-3.3784,-31.4303,-280.4102,36.4649,0.9744,0.0120,0.0241,0.9639,0.0000,-4574.4054,-559.1328,695.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,1.5000,60,T,0,0,test_fwd,907,89,0.0981,35.8856,-15.1121,3193.8187,55.8856,1.2124,0.0337,0.0225,0.9438,0.0000,-3613.6655,-859.9154,902.5390,3,4,821.1461,591.3933,-280.7912,425.8492
