,5m,15m,30m,60m,total
BTRUSDT,0.004476504296413857,0.019000625086758094,-0.005801579877682928,0.0028108294914926833,0.02048637899698171
AEROUSDT,0.05747184155477674,-0.022765762005435328,-0.029152396515661497,0.002812594056660627,0.008366277090340544
SOLUSDT,0.061363416319472064,-0.03449315704528345,-0.018124982783740532,-0.0017647648385563128,0.0069805116518917715
CCUSDT,-0.0020026311371157605,0.00175607670427973,-0.0026779530067683067,0.0017657484172355256,-0.0011587590223688115
ENSOUSDT,-0.002636098129702008,0.001077962059405775,0.00013651293124611888,-0.00014138364274531126,-0.0015630067817954255
BEATUSDT,-0.0015072651390335685,-0.0018199913423425564,-4.3504398454308275e-07,0.001557577829871014,-0.001770113695489654
HANAUSDT,-0.006338966531735325,0.00019711427309916969,0.0021191164619693437,0.0006210225061576889,-0.003401713290509122
COAIUSDT,-0.010003176617621484,0.006944555418811065,0.0031317705757411543,-0.004381381168999655,-0.00430823179206892
BERAUSDT,0.07642112280799056,-0.051063078430057356,-0.034111878168166625,-0.0017289616417432696,-0.010482795431976692
0GUSDT,0.016070855986793843,-0.016179494561747106,-0.014432418506339329,0.0018474565159717943,-0.012693600565320798
JELLYJELLYUSDT,-0.0068252002906749555,-0.00632667500017435,0.0018435126971328448,-0.004662752773776277,-0.01597111536749274
ETHUSDT,0.020605210151570057,-0.03054881221861958,-0.009558689320540704,0.0009518187896456815,-0.018550472597944543
BNBUSDT,0.037470539632579444,-0.039856966124297566,-0.019200237449211635,0.0007000083455813206,-0.020886655595348438
BTCUSDT,0.022920618428467987,-0.032293477730197154,-0.012951023408010107,0.00034532530741621624,-0.02197855740232306
ALCHUSDT,-0.007539371992262475,-0.011034322411213954,-0.007286630271738441,0.0017975200146112895,-0.02406280466060358
BANUSDT,0.013980088534064579,-0.015764111716457606,-0.019507039245977766,-0.003099908554064108,-0.024390970982434902
APEXUSDT,0.011665871232120411,-0.03181377876361901,-0.004097342449875129,-0.013472069548684776,-0.0377173195300585
ASTERUSDT,0.024566983608254624,-0.0361123475363082,-0.016858000654950734,-0.010646900855774619,-0.03905026543877893
ENAUSDT,0.020429505392210036,-0.04574029304153395,-0.010766365111322644,-0.004705145926641777,-0.04078229868728834
XRPUSDT,0.031387522321348164,-0.0550552063632046,-0.023361512318158962,-0.003069698561081442,-0.05009889492109684
HUSDT,-0.01899478053061248,-0.030875478958891155,-0.007062636154267743,0.0023139692957808047,-0.05461892634799057
NEARUSDT,-0.0018255997350279743,-0.0427353792014055,-0.010100612057846922,-0.0015426493322591855,-0.05620424032653958
DOGEUSDT,0.00635251488640898,-0.04108352481757204,-0.01823661775274991,-0.005671248487906201,-0.05863887617181917
BARDUSDT,-0.010755197828930044,-0.03157222904452629,-0.017282895644817928,-0.0010796701058501963,-0.06068999262412446
EIGENUSDT,-0.02885713135978318,-0.030071819379169924,-0.009662767878080939,0.004945737008716556,-0.06364598160831748
ANIMEUSDT,-0.02046592476814581,-0.02372605189410251,-0.021761365524471922,0.0011098266994823388,-0.06484351548723791
AVNTUSDT,-0.012812381330992951,-0.03829573404618396,-0.015603620049251424,-0.001511181786989468,-0.0682229172134178
ONDOUSDT,0.005890600647546105,-0.04642900084743393,-0.02524480708774595,-0.0026141858065386755,-0.06839739309417245
FFUSDT,-0.013992239655798017,-0.03819883386927551,-0.017088351077383372,-0.0022285951796388284,-0.07150801978209573
2ZUSDT,-0.014971363399094401,-0.03266262027592581,-0.02027783783420625,-0.00399300431848061,-0.07190482582770708
ATHUSDT,0.006424803433120109,-0.053022612019499454,-0.022155163548460796,-0.004021822136649979,-0.07277479427149011
SUIUSDT,-0.013776993666193758,-0.04385647103612558,-0.012243167141535876,-0.0038025456514050307,-0.07367917749526025
BIOUSDT,-0.028631188583162267,-0.02953757454411148,-0.01672939703584193,-0.0010674556741074725,-0.07596561583722315
AVAXUSDT,-0.009509979014545108,-0.04788267527506124,-0.0143989773672988,-0.004543213880349185,-0.07633484553725434
VIRTUALUSDT,-0.009209581236163892,-0.04641513537804918,-0.023764419622252453,0.0006999760568776522,-0.07868916017958788
1000TURBOUSDT,-0.018379375322746232,-0.04428782432962871,-0.019581518201419335,0.0028966552393533238,-0.07935206261444094
CYBERUSDT,-0.022618129784536214,-0.04521403236127898,-0.011905226675576475,-0.0010361068526256838,-0.08077349567401736
GPSUSDT,-0.026691729544627982,-0.04204038824756978,-0.013651813668938617,-4.565581072628355e-05,-0.08242958727186266
GRASSUSDT,-0.011698572932068444,-0.04368435608894714,-0.023045906895317304,-0.004089760074249551,-0.08251859599058245
INITUSDT,-0.019546421809097776,-0.041487952818931736,-0.02203600098941253,0.0002514829323375403,-0.0828188926851045
CAKEUSDT,-0.02049672330045655,-0.042169701093149034,-0.022154393615659483,0.0015829434138482836,-0.0832378745954168
1000RATSUSDT,-0.04091766130538333,-0.03052881057874286,-0.019447349896294548,0.007230028843231914,-0.08366379293718883
FARTCOINUSDT,-0.02357010300999943,-0.03685526440155606,-0.021770650462362706,-0.0021343365260423543,-0.08433035439996055
LINKUSDT,-0.02470222225302959,-0.04194739376751931,-0.015936594944470684,-0.0017930416247543444,-0.08437925258977393
1000PEPEUSDT,-0.011254453077814459,-0.048277303727655284,-0.022202538767631404,-0.002799425998922352,-0.0845337215720235
WIFUSDT,-0.041043521333888645,-0.025908445933449542,-0.02026327438177498,0.002227067341352581,-0.08498817430776058
TRUMPUSDT,-0.01902017175491965,-0.04675576223356977,-0.015094033682270283,-0.004432262670447731,-0.08530223034120743
ARCUSDT,-0.07310564932606371,-0.013505138690820517,-0.013394661202273166,0.012000331189645698,-0.08800511802951169
STRKUSDT,-0.034267002989866624,-0.035232779217944696,-0.017200631393102676,-0.0020900776377035164,-0.0887904912386175
JTOUSDT,-0.021697848442279764,-0.04381241286233194,-0.022388902247874203,-0.0014633602395316084,-0.0893625237920175
APTUSDT,-0.024393439109443995,-0.05131136839295554,-0.012823235031389253,-0.002235542886645161,-0.09076358542043396
ARBUSDT,-0.020371512598988673,-0.0508964788467811,-0.018094006089068974,-0.0018883992765796158,-0.09125039681141836
FIOUSDT,-0.02822758865879265,-0.04594105810258648,-0.022187545441058498,0.004817686315930106,-0.09153850588650753
ADAUSDT,-0.022419683578765975,-0.047548019266760014,-0.01942409231253612,-0.002901398883363099,-0.09229319404142522
1000BONKUSDT,-0.03084191092816049,-0.04626396879546877,-0.014433172719092292,-0.0013332645723571628,-0.09287231701507871
GUNUSDT,-0.07029614987204386,-0.016988706337948235,-0.025345967662547552,0.015232043169954291,-0.09739878070258536
ETHFIUSDT,-0.0355653454924139,-0.04694295383496086,-0.017608318330047248,4.1097446129658826e-05,-0.10007552021129235
IMXUSDT,-0.04246786441331811,-0.037329142939919006,-0.02448648958623949,0.0029239764532554445,-0.10135952048622116
IPUSDT,-0.03877972065357927,-0.049298105340885356,-0.010266324784788686,-0.0043719023597012996,-0.1027160531389546
AIXBTUSDT,-0.04417439767070758,-0.039196782298752834,-0.024971263513064865,0.005582803968710038,-0.10275963951381524
ATOMUSDT,-0.03111078864508774,-0.051799800964144146,-0.01964516462840701,-0.00025420638542496504,-0.10280996062306387
DOTUSDT,-0.03701771492719499,-0.05014413073577217,-0.015080100457233092,-0.002553967882884902,-0.10479591400308516
NOTUSDT,-0.033568179413918535,-0.04093892074505796,-0.031065527454171744,-9.858367534148323e-05,-0.1056712112884897
WLDUSDT,-0.03384485544255904,-0.05065823732115852,-0.026957688978071853,0.001710790452082868,-0.10974999128970656
AUCTIONUSDT,-0.045851112701346085,-0.05139043452467218,-0.029362501336566545,0.00615080256790896,-0.12045324599467586
