ts,density,avg_clustering,n_components,eigvec_dispersion
2025-07-01 05:55:00+00:00,0.7450980392156863,0.8481565619322562,1,61644055797.505066
2025-07-01 06:55:00+00:00,0.8107088989441931,0.8932978709989994,1,64300711402.67459
2025-07-01 07:55:00+00:00,0.8529411764705882,0.9153261841291038,1,65954169304.7808
2025-07-01 08:55:00+00:00,0.8378582202111614,0.9183512654908392,1,65368061795.91364
2025-07-01 09:55:00+00:00,0.8152337858220211,0.8999947305082718,1,64479993664.94311
2025-07-01 10:55:00+00:00,0.7978883861236803,0.8830151250240164,1,63790348236.02228
2025-07-01 11:55:00+00:00,0.6380090497737556,0.724747439746505,1,57042416337.04866
2025-07-01 12:55:00+00:00,0.5965309200603318,0.6982340156254109,1,55156816766.53215
2025-07-01 13:55:00+00:00,0.6108597285067874,0.7182088185799085,1,55815325494.574
2025-07-01 14:55:00+00:00,0.7405731523378583,0.8295562270615785,1,61456424495.2889
2025-07-01 15:55:00+00:00,0.7812971342383107,0.8623154971662057,1,63123809965.93429
2025-07-01 16:55:00+00:00,0.8107088989441931,0.8880224459407269,1,64300447817.89304
2025-07-01 17:55:00+00:00,0.7805429864253394,0.8640973840807435,1,63093165026.925766
2025-07-01 18:55:00+00:00,0.8197586726998491,0.8889753413017457,1,64658426397.0224
2025-07-01 19:55:00+00:00,0.8174962292609351,0.8829005566577395,1,64568875005.25502
2025-07-01 20:55:00+00:00,0.7330316742081447,0.8230027276875942,1,61142876296.44934
2025-07-01 21:55:00+00:00,0.7450980392156863,0.8474950952458271,1,61643718871.068184
2025-07-01 22:55:00+00:00,0.7300150829562594,0.829723631940175,1,61016938209.501724
2025-07-01 23:55:00+00:00,0.7254901960784313,0.831912912868218,1,60827459070.25459
2025-07-02 00:55:00+00:00,0.7285067873303167,0.8229906475910861,1,60953455147.775826
2025-07-02 01:55:00+00:00,0.72473604826546,0.8330774044840903,1,60795669601.133965
2025-07-02 02:55:00+00:00,0.7277526395173454,0.8309452775993512,1,60921897571.15991
2025-07-02 03:55:00+00:00,0.808446455505279,0.8811741390233502,1,64211102274.62011
2025-07-02 04:55:00+00:00,0.7956259426847662,0.8710958223634321,1,63699582909.17573
2025-07-02 05:55:00+00:00,0.7420814479638009,0.8370572436074811,1,61519227763.48368
2025-07-02 06:55:00+00:00,0.722473604826546,0.8269584677233646,1,60700949869.91778
2025-07-02 07:55:00+00:00,0.6742081447963801,0.7795882238709202,1,58637995828.90082
2025-07-02 08:55:00+00:00,0.6576168929110106,0.772008346631912,1,57912163292.97908
2025-07-02 09:55:00+00:00,0.6900452488687783,0.7936967497207733,1,59322699550.484665
2025-07-02 10:55:00+00:00,0.7171945701357466,0.7987609807151587,1,60478858353.08324
2025-07-02 11:55:00+00:00,0.6500754147812972,0.7643824896439763,1,57579219294.0903
2025-07-02 12:55:00+00:00,0.696078431372549,0.8062743542801102,1,59581876439.064926
2025-07-02 13:55:00+00:00,0.7330316742081447,0.8553414527049509,1,61142458563.079926
2025-07-02 14:55:00+00:00,0.748868778280543,0.8473965032389755,1,61799587538.525185
2025-07-02 15:55:00+00:00,0.7579185520361991,0.8961904533882767,1,62172132437.80624
2025-07-02 16:55:00+00:00,0.8159879336349924,0.902851795279,1,64509722856.97525
2025-07-02 17:55:00+00:00,0.8559577677224736,0.9278881502909593,1,66070786477.02945
2025-07-02 18:55:00+00:00,0.832579185520362,0.9476456444307656,1,65162429681.893684
2025-07-02 19:55:00+00:00,0.8650075414781297,0.9181659505110241,1,66419141017.13339
2025-07-02 20:55:00+00:00,0.8589743589743589,0.919255477917402,1,66186927495.620255
2025-07-02 21:55:00+00:00,0.861236802413273,0.9460590026202613,1,66274125256.48101
2025-07-02 22:55:00+00:00,0.8182503770739065,0.9169813118291726,1,64598474294.70062
2025-07-02 23:55:00+00:00,0.7722473604826546,0.8985287595457045,1,62756562977.79662
2025-07-03 00:55:00+00:00,0.7669683257918553,0.8761995949168224,2,62542122463.80921
2025-07-03 01:55:00+00:00,0.7760180995475113,0.9053089507525366,1,62910106436.952034
2025-07-03 02:55:00+00:00,0.7669683257918553,0.8873503773824419,1,62542037004.83105
2025-07-03 03:55:00+00:00,0.7722473604826546,0.8751036142817765,1,62756991738.35504
2025-07-03 04:55:00+00:00,0.7767722473604827,0.8818123936701918,1,62940409568.30655
2025-07-03 05:55:00+00:00,0.8544494720965309,0.9272252797423322,1,66012819267.86879
2025-07-03 06:55:00+00:00,0.8725490196078431,0.9358933775759041,1,66708138016.85134
2025-07-03 07:55:00+00:00,0.8453996983408748,0.9251484433319654,1,65661857634.84667
2025-07-03 08:55:00+00:00,0.7956259426847662,0.8912335165915525,1,63699756990.292534
2025-07-03 09:55:00+00:00,0.7873303167420814,0.8787738496424894,1,63366716199.13617
2025-07-03 10:55:00+00:00,0.8491704374057315,0.9179194000642111,1,65808400376.57088
2025-07-03 11:55:00+00:00,0.7714932126696833,0.8752348711328634,2,62725998349.72151
2025-07-03 12:55:00+00:00,0.8001508295625943,0.8762638499817991,1,63880375066.584335
2025-07-03 13:55:00+00:00,0.8740573152337858,0.9365458191960921,1,66765586788.06831
