symbol,timeframe,trades,pnl,win_rate,profitable
0GUSDT,1H,33,-137,0.3,False
0GUSDT,2H,28,-26,0.36,False
0GUSDT,4H,23,3,0.35,True
1000BONKUSDT,1H,62,1,0.44,True
1000BONKUSDT,2H,46,0,0.43,True
1000BONKUSDT,4H,37,26,0.46,True
1000PEPEUSDT,1H,36,-10,0.44,False
1000PEPEUSDT,2H,30,3,0.57,True
1000PEPEUSDT,4H,25,11,0.52,True
1000PEPEUSDT,1D,11,42,0.45,True
1000RATSUSDT,1H,39,-59,0.38,False
1000RATSUSDT,2H,35,-47,0.34,False
1000RATSUSDT,4H,27,-26,0.33,False
1000TURBOUSDT,1H,46,-18,0.43,False
1000TURBOUSDT,2H,33,73,0.58,True
1000TURBOUSDT,4H,32,47,0.44,True
2ZUSDT,1H,30,17,0.5,True
2ZUSDT,2H,26,-27,0.35,False
2ZUSDT,4H,23,-31,0.3,False
AAVEUSDT,1H,38,-59,0.39,False
AAVEUSDT,2H,23,-21,0.43,False
AAVEUSDT,4H,19,-3,0.47,False
ADAUSDT,1H,29,-3,0.38,False
ADAUSDT,2H,21,14,0.29,True
ADAUSDT,4H,16,39,0.5,True
AEROUSDT,1H,40,23,0.57,True
AEROUSDT,2H,34,30,0.59,True
AEROUSDT,4H,24,-5,0.42,False
AGLDUSDT,1H,33,-88,0.3,False
AGLDUSDT,2H,21,-61,0.43,False
AGLDUSDT,4H,15,3,0.53,True
AIXBTUSDT,1H,55,-37,0.36,False
AIXBTUSDT,2H,40,-113,0.35,False
AIXBTUSDT,4H,28,-81,0.39,False
AKTUSDT,1H,27,-56,0.26,False
AKTUSDT,2H,18,-10,0.39,False
AKTUSDT,4H,14,-8,0.43,False
ALCHUSDT,1H,26,-55,0.42,False
ALCHUSDT,2H,17,-8,0.41,False
ALCHUSDT,4H,16,-34,0.38,False
ALGOUSDT,1H,38,-29,0.37,False
ALGOUSDT,2H,34,-42,0.38,False
ALGOUSDT,4H,23,-19,0.39,False
ALLOUSDT,1H,35,39,0.34,True
ALLOUSDT,2H,25,-20,0.32,False
ALLOUSDT,4H,18,-63,0.39,False
ANIMEUSDT,1H,36,-12,0.33,False
ANIMEUSDT,2H,30,-2,0.43,False
ANIMEUSDT,4H,26,17,0.54,True
APEXUSDT,1H,44,-101,0.36,False
APEXUSDT,2H,37,-100,0.35,False
APEXUSDT,4H,25,-103,0.36,False
APTUSDT,1H,23,-57,0.22,False
APTUSDT,2H,22,-57,0.23,False
APTUSDT,4H,19,-29,0.32,False
ARBUSDT,1H,26,-11,0.54,False
ARBUSDT,2H,22,-2,0.5,False
ARBUSDT,4H,17,-3,0.53,False
ARCUSDT,1H,67,16,0.39,True
ARCUSDT,2H,45,34,0.44,True
ARCUSDT,4H,35,-10,0.43,False
ASTERUSDT,1H,43,-217,0.3,False
ASTERUSDT,2H,31,-230,0.29,False
ASTERUSDT,4H,24,-140,0.5,False
ATHUSDT,1H,31,-3,0.35,False
ATHUSDT,2H,27,-15,0.44,False
ATHUSDT,4H,20,-27,0.45,False
ATOMUSDT,1H,27,-34,0.37,False
ATOMUSDT,2H,24,-16,0.33,False
ATOMUSDT,4H,23,-13,0.39,False
AUCTIONUSDT,1H,17,5,0.47,True
AUCTIONUSDT,2H,17,10,0.47,True
AUCTIONUSDT,4H,17,2,0.41,True
AUCTIONUSDT,1D,11,-29,0.64,False
AVAXUSDT,1H,107,-117,0.4,False
AVAXUSDT,2H,86,-56,0.41,False
AVAXUSDT,4H,76,-13,0.46,False
AVAXUSDT,1D,28,90,0.64,True
