symbol,total_pnl,trades,win_rate,profitable_months,total_months,best_month,best_month_pct,worst_month
DOGEUSDT,211.80054925869305,67,0.5223880597014925,13,20,2024-11,34.99285255706652,2025-03
ENSOUSDT,170.0990625566407,7,0.2857142857142857,1,3,2026-01,123.03314220968514,2026-02
IPUSDT,285.7780418285464,26,0.5384615384615384,6,10,2025-02,45.15421493046046,2025-08
SPXUSDT,181.13766839684143,37,0.5405405405405406,8,12,2025-10,32.34935972243679,2026-02
1000TURBOUSDT,89.24915961590625,12,0.5833333333333334,3,6,2025-11,98.19004763920249,2026-02
GUNUSDT,115.96422629274349,16,0.6875,5,6,2026-01,75.59669471987,2025-08
USELESSUSDT,47.849753376526756,18,0.5,2,8,2026-01,135.54997408309367,2025-08
ETHUSDT,44.365999424027024,71,0.4647887323943662,10,24,2025-07,75.40471997481842,2024-04
RESOLVUSDT,51.62027418899497,14,0.35714285714285715,2,7,2025-11,156.0689084230478,2025-12
SNXUSDT,43.606605740687556,15,0.5333333333333333,4,6,2025-10,103.32200831827369,2025-08
1000PEPEUSDT,64.14059481387108,16,0.4375,4,7,2026-01,64.8362215692769,2026-02
HBARUSDT,55.33305720853801,30,0.6,8,12,2025-01,55.33086023410547,2025-11
IMXUSDT,35.4053546035379,18,0.5555555555555556,3,5,2025-09,63.93903873014632,2026-02
FORMUSDT,45.627271968823806,10,0.5,2,7,2026-03,194.0766617761543,2025-12
BTCUSDT,29.4237181157342,52,0.5,12,22,2024-02,120.14640465734183,2025-03
