symbol,entry_bps,exit_bps,trades,win_rate,total_pnl,avg_trade_bps,profitable_pct
BTCUSDT,0.5,0.1,245,0.00816326530612245,-4063.00515,-16.583694489795917,0
BTCUSDT,1.0,0.3,202,0.009900990099009901,-3241.8059499999995,-16.048544306930694,0
BTCUSDT,2.0,0.5,38,0.0,-392.1469,-10.319655263157895,0
BTCUSDT,5.0,1.0,16,0.125,-75.80089999999998,-4.737556249999999,0
ETHUSDT,0.5,0.1,243,0.0,-3979.525500000003,-16.37664814814815,0
ETHUSDT,1.0,0.3,203,0.0,-3249.2014999999997,-16.005918719211824,0
ETHUSDT,2.0,0.5,51,0.0,-567.6551999999998,-11.130494117647057,0
ETHUSDT,5.0,1.0,14,0.0,-81.02919999999999,-5.787799999999999,0
SOLUSDT,0.5,0.1,249,0.020080321285140562,-3974.847099999999,-15.963241365461847,0
SOLUSDT,1.0,0.3,217,0.02304147465437788,-3359.4278499999996,-15.481234331797236,0
SOLUSDT,2.0,0.5,56,0.08928571428571429,-504.9892,-9.017664285714286,0
SOLUSDT,5.0,1.0,24,0.2916666666666667,-73.35825000000001,-3.0565937500000007,0
DOGEUSDT,0.5,0.1,259,0.015444015444015444,-4121.378149999998,-15.912656949806948,0
DOGEUSDT,1.0,0.3,225,0.022222222222222223,-3457.8695499999976,-15.368309111111113,0
DOGEUSDT,2.0,0.5,56,0.10714285714285714,-447.4821999999999,-7.990753571428571,0
DOGEUSDT,5.0,1.0,27,0.14814814814814814,-87.39980000000001,-3.23702962962963,0
XRPUSDT,0.5,0.1,267,0.0149812734082397,-4345.269850000001,-16.27441891385768,0
XRPUSDT,1.0,0.3,224,0.017857142857142856,-3519.5087499999986,-15.712092633928572,0
XRPUSDT,2.0,0.5,53,0.11320754716981132,-468.63324999999986,-8.84213679245283,0
XRPUSDT,5.0,1.0,22,0.18181818181818182,-80.0096,-3.6368000000000005,0
