symbol,days,mean,std,max,p95,p99
POWERUSDT,165.66666666666666,-8.8189384305835,40.845264717871714,73.0262,7.918239999999999,24.446336000000002
LYNUSDT,297.3333333333333,1.5390097533632285,8.862282145914113,64.8697,9.727864999999994,22.297344000000027
ARCUSDT,492.0,1.9019667344173439,2.929249398771147,29.859,7.3195500000000004,15.258175
USELESSUSDT,471.6666666666667,1.625711519434629,2.9222721637423152,46.0599,6.405409999999997,13.188105999999964
XMRUSDT,246.0,1.6291677506775069,3.140474088109976,39.478100000000005,5.72466,13.055442999999999
COAIUSDT,1147.6666666666667,-4.720622887017136,32.18840872693706,48.21620000000001,3.8810599999999984,12.463881999999998
SIRENUSDT,492.0,1.5166625338753386,2.9652148135106726,39.8275,7.228175,11.76615
ASTERUSDT,333.0,0.5503316316316315,3.40387120939096,55.2678,2.4688999999999934,11.746369999999951
1000RATSUSDT,492.0,1.394239430894309,2.6724576186210154,68.1307,5.397525,10.5171
GIGGLEUSDT,291.6666666666667,0.5970870857142857,4.286738754172733,86.3031,2.3694199999999985,10.366117999999975
LITUSDT,125.66666666666667,0.8884848806366048,2.057259618363853,21.552400000000002,3.6235999999999993,10.052316000000028
PIPPINUSDT,1063.6666666666667,-4.8685912566593545,21.40501215598174,25.0915,4.61515,8.81207
AKTUSDT,492.0,-0.28607147696476964,7.56971760200076,16.5347,3.486475,8.059875
SOLUSDT,612.6666666666666,0.7733719804134929,2.1040359925552314,13.8762,4.090824999999994,7.532499999999982
BEATUSDT,657.6666666666666,-4.590754586923467,23.58087214023117,19.9163,2.6986800000000004,5.853523999999997
FARTCOINUSDT,493.6666666666667,0.8524927751519243,0.9236098708375616,7.6048,2.8977,4.283740000000001
AEROUSDT,493.6666666666667,-0.0653694800810263,2.3969598314295597,6.559200000000001,0.5,3.111360000000008
LINEAUSDT,383.0,-0.15053742384682334,3.6109991800665693,10.8082,0.5,2.8897999999999975
GUNUSDT,492.0,0.16287886178861788,2.6801776903325387,10.4902,0.5,2.517025
HUSDT,1948.3333333333333,-0.8205752951240376,8.36947896921987,12.5708,0.125,2.234768000000003
BANUSDT,978.3333333333334,0.28463979557069846,0.7437593870457271,9.1542,0.25,2.1923279999999914
TAOUSDT,493.6666666666667,0.17650263335584065,2.421300551317541,5.3530999999999995,0.5,1.8468800000000192
ZECUSDT,247.0,-0.5291970310391363,4.20531057179948,15.4532,1.0,1.7610800000000084
AUCTIONUSDT,682.6666666666666,-1.64921318359375,8.572805870093168,4.4465,0.5,1.5910209999999967
CRVUSDT,247.0,0.3259658569500675,3.3631958623611187,3.033,1.0,1.3114000000000066
PAXGUSDT,492.0,0.2064531842818428,0.7475192570661767,3.6286,0.5,1.2085000000000001
FIOUSDT,502.0,-0.04397470119521914,10.418963527171773,5.5059,0.5,1.0676100000000015
NEARUSDT,246.66666666666666,0.3119998648648648,1.4255265197930447,1.267,1.0,1.0
