model,score,score_type,score_dev,prec_top10,lift_top10,prec_top20,lift_top20,brier,feature_set,n_features,train_time_s,target,is_binary,rmse,dir_accuracy
LightGBM,0.614819587628866,AUC,0.11481958762886602,0.5555555555555556,1.2291666666666667,0.6111111111111112,1.3520833333333335,0.26506352301248437,raw+lags,80,0.7341578006744385,tgt_adverse_selection_1,True,,
Ensemble_All,0.6041562966650075,AUC,0.10415629666500748,0.5,1.0975609756097562,0.6388888888888888,1.4024390243902438,0.2475270562267266,raw,20,0.0,tgt_adverse_selection_1,True,,
Logistic,0.6029118964659034,AUC,0.10291189646590337,0.6111111111111112,1.3414634146341464,0.6388888888888888,1.4024390243902438,0.24536356949273944,raw,20,0.050748348236083984,tgt_adverse_selection_1,True,,
RidgeClf,0.6017919362867098,AUC,0.1017919362867098,0.6111111111111112,1.3414634146341464,0.6388888888888888,1.4024390243902438,0.24458228960133332,raw,20,0.004233360290527344,tgt_adverse_selection_1,True,,
Logistic,0.6017919362867097,AUC,0.10179193628670968,0.7222222222222222,1.5853658536585367,0.6388888888888888,1.4024390243902438,0.2494126236407364,all_67_core,86,0.12910795211791992,tgt_adverse_selection_1,True,,
RidgeClf,0.6009208561473369,AUC,0.10092085614733692,0.7222222222222222,1.5853658536585367,0.6111111111111112,1.3414634146341464,0.2444501452760551,all_67_core,86,0.010650396347045898,tgt_adverse_selection_1,True,,
Ensemble_All,0.6002577319587629,AUC,0.10025773195876286,0.7222222222222222,1.5979166666666667,0.5833333333333334,1.2906250000000001,0.24986142448421564,raw+lags,80,0.0,tgt_adverse_selection_1,True,,
XGBoost,0.5983247422680413,AUC,0.09832474226804133,0.6111111111111112,1.3520833333333335,0.6111111111111112,1.3520833333333335,0.2534168468420296,core+lags,344,12.467977285385132,tgt_adverse_selection_1,True,,
Ensemble_All,0.5969072164948453,AUC,0.09690721649484535,0.6666666666666666,1.4749999999999999,0.5833333333333334,1.2906250000000001,0.25120332082647134,core+lags,344,0.0,tgt_adverse_selection_1,True,,
Ensemble_Trees,0.5929123711340206,AUC,0.09291237113402062,0.6111111111111112,1.3520833333333335,0.6111111111111112,1.3520833333333335,0.2543747349931822,raw+lags,80,0.0,tgt_adverse_selection_1,True,,
RandomForest,0.5922680412371134,AUC,0.09226804123711341,0.6666666666666666,1.4749999999999999,0.5555555555555556,1.2291666666666667,0.25161679671633097,raw+lags,80,0.8384974002838135,tgt_adverse_selection_1,True,,
Ensemble_Trees,0.5905923344947736,AUC,0.09059233449477355,0.6111111111111112,1.3414634146341464,0.6111111111111112,1.3414634146341464,0.25532914566808396,raw,20,0.0,tgt_adverse_selection_1,True,,
RidgeClf,0.5875000000000001,AUC,0.08750000000000013,0.5555555555555556,1.2291666666666667,0.5555555555555556,1.2291666666666667,0.2508081367502048,core+lags,344,0.3160984516143799,tgt_adverse_selection_1,True,,
LightGBM,0.5873568939771031,AUC,0.08735689397710311,0.5555555555555556,1.2195121951219512,0.5277777777777778,1.1585365853658538,0.27474020035869906,raw,20,0.262911319732666,tgt_adverse_selection_1,True,,
RandomForest,0.586734693877551,AUC,0.08673469387755095,0.5,1.0975609756097562,0.6388888888888888,1.4024390243902438,0.2505316672114176,raw,20,0.640064001083374,tgt_adverse_selection_1,True,,
Ensemble_Trees,0.5802835051546392,AUC,0.08028350515463922,0.6666666666666666,1.4749999999999999,0.6666666666666666,1.4749999999999999,0.2525672546735584,core+lags,344,0.0,tgt_adverse_selection_1,True,,
Ensemble_All,0.5801393728222997,AUC,0.08013937282229966,0.7222222222222222,1.5853658536585367,0.5555555555555556,1.2195121951219512,0.2490122034072836,all_67_core,86,0.0,tgt_adverse_selection_1,True,,
RidgeClf,0.5798969072164949,AUC,0.0798969072164949,0.6666666666666666,1.4749999999999999,0.5833333333333334,1.2906250000000001,0.24732300630023296,raw+lags,80,0.013378381729125977,tgt_adverse_selection_1,True,,
Logistic,0.5798969072164948,AUC,0.07989690721649478,0.6666666666666666,1.4749999999999999,0.5833333333333334,1.2906250000000001,0.2564545615351015,raw+lags,80,0.030634403228759766,tgt_adverse_selection_1,True,,
XGBoost,0.5759084121453459,AUC,0.07590841214534594,0.6666666666666666,1.4634146341463414,0.5833333333333334,1.2804878048780488,0.2629087397640379,raw,20,1.1852021217346191,tgt_adverse_selection_1,True,,
Logistic,0.5686855670103093,AUC,0.06868556701030926,0.6111111111111112,1.3520833333333335,0.5,1.10625,0.27851731381760053,core+lags,344,3.226879358291626,tgt_adverse_selection_1,True,,
LightGBM,0.5682989690721649,AUC,0.06829896907216493,0.7777777777777778,1.7208333333333334,0.6388888888888888,1.4135416666666665,0.27443942417727973,core+lags,344,3.1707189083099365,tgt_adverse_selection_1,True,,
Ensemble_Trees,0.5598556495769039,AUC,0.059855649576903924,0.7222222222222222,1.5853658536585367,0.6111111111111112,1.3414634146341464,0.2574500956925806,all_67_core,86,0.0,tgt_adverse_selection_1,True,,
XGBoost,0.555873568939771,AUC,0.05587356893977102,0.6666666666666666,1.4634146341463414,0.5833333333333334,1.2804878048780488,0.26611731118189064,all_67_core,86,2.326368808746338,tgt_adverse_selection_1,True,,
LightGBM,0.5552513688402191,AUC,0.055251368840219084,0.6666666666666666,1.4634146341463414,0.5833333333333334,1.2804878048780488,0.2802891126152515,all_67_core,86,0.8134052753448486,tgt_adverse_selection_1,True,,
XGBoost,0.540979381443299,AUC,0.040979381443299046,0.6666666666666666,1.4749999999999999,0.6111111111111112,1.3520833333333335,0.2709748880360379,raw+lags,80,2.4398016929626465,tgt_adverse_selection_1,True,,
RandomForest,0.5365853658536585,AUC,0.03658536585365846,0.6111111111111112,1.3414634146341464,0.6111111111111112,1.3414634146341464,0.2520800965355889,all_67_core,86,0.9551897048950195,tgt_adverse_selection_1,True,,
RandomForest,0.4929123711340206,AUC,-0.007087628865979412,0.5,1.10625,0.5,1.10625,0.2556540542564785,core+lags,344,1.5538356304168701,tgt_adverse_selection_1,True,,
Ridge,0.1549786354146081,R2,0.1549786354146081,,,,,,all_67_core,86,0.004427194595336914,tgt_alpha_1,False,0.020655085619186223,0.6722222222222223
Ensemble_All,0.12547539318116718,R2,0.12547539318116718,,,,,,all_67_core,86,0.0,tgt_alpha_1,False,0.021012569932536394,0.6166666666666667
LightGBM,0.10603132193123288,R2,0.10603132193123288,,,,,,all_67_core,86,0.7765383720397949,tgt_alpha_1,False,0.021244881168829968,0.5888888888888889
Ensemble_Trees,0.09447711435528361,R2,0.09447711435528361,,,,,,all_67_core,86,0.0,tgt_alpha_1,False,0.02138173143714465,0.6055555555555555
XGBoost,0.09023198869639049,R2,0.09023198869639049,,,,,,all_67_core,86,2.766608238220215,tgt_alpha_1,False,0.021431792018553563,0.6
Ensemble_All,0.08113098939301455,R2,0.08113098939301455,,,,,,core+lags,344,0.0,tgt_alpha_1,False,0.02171081611181091,0.6214689265536724
Ridge,0.06809454524742165,R2,0.06809454524742165,,,,,,raw+lags,20,0.0022797584533691406,tgt_alpha_1,False,0.02186428467983933,0.6101694915254238
Ridge,0.0670515700956068,R2,0.0670515700956068,,,,,,raw,5,0.0014560222625732422,tgt_alpha_1,False,0.021703110118535613,0.5722222222222222
LightGBM,0.06499358416239642,R2,0.06499358416239642,,,,,,core+lags,344,2.6446776390075684,tgt_alpha_1,False,0.021900631707878666,0.6045197740112994
Ensemble_Trees,0.052921369698403775,R2,0.052921369698403775,,,,,,core+lags,344,0.0,tgt_alpha_1,False,0.022041561854014,0.5932203389830508
Ensemble_All,0.05178585467528063,R2,0.05178585467528063,,,,,,raw,5,0.0,tgt_alpha_1,False,0.021879952245289214,0.5722222222222222
RandomForest,0.04879468281578392,R2,0.04879468281578392,,,,,,raw,5,0.24787020683288574,tgt_alpha_1,False,0.021914435576711955,0.5777777777777777
LightGBM,0.04530963279638145,R2,0.04530963279638145,,,,,,raw,5,0.04462599754333496,tgt_alpha_1,False,0.021954544203297538,0.5722222222222222
RandomForest,0.043818728693907905,R2,0.043818728693907905,,,,,,raw+lags,20,0.26550817489624023,tgt_alpha_1,False,0.02214723240126157,0.6101694915254238
Ensemble_Trees,0.04171339361226667,R2,0.04171339361226667,,,,,,raw,5,0.0,tgt_alpha_1,False,0.021995855806233745,0.5833333333333334
Ensemble_All,0.03261980727661118,R2,0.03261980727661118,,,,,,raw+lags,20,0.0,tgt_alpha_1,False,0.02227655051222508,0.5706214689265536
XGBoost,0.024944335398270123,R2,0.024944335398270123,,,,,,core+lags,344,12.727642059326172,tgt_alpha_1,False,0.02236475017768417,0.5649717514124294
RandomForest,0.02459136560955766,R2,0.02459136560955766,,,,,,all_67_core,86,0.7253046035766602,tgt_alpha_1,False,0.022191489476279483,0.5611111111111111
XGBoost,0.024065849119534022,R2,0.024065849119534022,,,,,,raw,5,0.2882206439971924,tgt_alpha_1,False,0.022197466675424528,0.5833333333333334
Ridge,0.013475303703271102,R2,0.013475303703271102,,,,,,core+lags,344,0.1311779022216797,tgt_alpha_1,False,0.022495897644092096,0.6384180790960452
Ensemble_Trees,0.0119469270354704,R2,0.0119469270354704,,,,,,raw+lags,20,0.0,tgt_alpha_1,False,0.02251331682215655,0.576271186440678
RandomForest,0.004949007728942578,R2,0.004949007728942578,,,,,,core+lags,344,1.2925465106964111,tgt_alpha_1,False,0.022592901818840997,0.5706214689265536
LightGBM,-0.008253797211793534,R2,-0.008253797211793534,,,,,,raw+lags,20,0.10829949378967285,tgt_alpha_1,False,0.02274229452660175,0.5706214689265536
XGBoost,-0.030181724105425856,R2,-0.030181724105425856,,,,,,raw+lags,20,0.34139513969421387,tgt_alpha_1,False,0.022988268816892504,0.5819209039548022
RidgeClf,0.8325079365079366,AUC,0.33250793650793664,1.0,1.7142857142857142,0.9722222222222222,1.6666666666666665,0.18775612708524897,all_67_core,86,0.014742136001586914,tgt_breakout_down_3,True,,
Logistic,0.8281904761904763,AUC,0.32819047619047625,1.0,1.7142857142857142,1.0,1.7142857142857142,0.17970027578519493,all_67_core,86,0.043396949768066406,tgt_breakout_down_3,True,,
Ensemble_All,0.8152380952380953,AUC,0.3152380952380953,1.0,1.7142857142857142,1.0,1.7142857142857142,0.18208246218261273,all_67_core,86,0.0,tgt_breakout_down_3,True,,
XGBoost,0.812063492063492,AUC,0.31206349206349204,1.0,1.7142857142857142,0.9722222222222222,1.6666666666666665,0.1857537852410784,all_67_core,86,1.2277259826660156,tgt_breakout_down_3,True,,
Ensemble_All,0.8109420099711363,AUC,0.3109420099711363,1.0,1.7184466019417477,1.0,1.7184466019417477,0.18337414446978723,core+lags,344,0.0,tgt_breakout_down_3,True,,
Ensemble_Trees,0.8079244292836526,AUC,0.3079244292836526,1.0,1.7184466019417477,0.9722222222222222,1.6707119741100325,0.1895036903946674,core+lags,344,0.0,tgt_breakout_down_3,True,,
LightGBM,0.8055628443977959,AUC,0.3055628443977959,1.0,1.7184466019417477,1.0,1.7184466019417477,0.20567446158304134,core+lags,344,3.0236470699310303,tgt_breakout_down_3,True,,
XGBoost,0.8021516662293361,AUC,0.3021516662293361,1.0,1.7184466019417477,0.9722222222222222,1.6707119741100325,0.1948478056223538,core+lags,344,7.4122443199157715,tgt_breakout_down_3,True,,
Logistic,0.8003809523809524,AUC,0.3003809523809524,1.0,1.7142857142857142,1.0,1.7142857142857142,0.19463855348180795,raw,20,0.039739370346069336,tgt_breakout_down_3,True,,
RidgeClf,0.7994920634920636,AUC,0.2994920634920636,1.0,1.7142857142857142,1.0,1.7142857142857142,0.1989624188727806,raw,20,0.0029113292694091797,tgt_breakout_down_3,True,,
Ensemble_Trees,0.7983492063492063,AUC,0.29834920634920625,1.0,1.7142857142857142,0.9722222222222222,1.6666666666666665,0.19192666696309238,all_67_core,86,0.0,tgt_breakout_down_3,True,,
RandomForest,0.7964444444444444,AUC,0.2964444444444444,1.0,1.7142857142857142,0.9444444444444444,1.6190476190476188,0.18700799814165198,raw,20,0.5878894329071045,tgt_breakout_down_3,True,,
RandomForest,0.7961904761904762,AUC,0.2961904761904762,1.0,1.7142857142857142,0.9722222222222222,1.6666666666666665,0.19048177983703857,all_67_core,86,0.8192727565765381,tgt_breakout_down_3,True,,
Ensemble_All,0.7875555555555556,AUC,0.28755555555555556,1.0,1.7142857142857142,0.9722222222222222,1.6666666666666665,0.19293042108280703,raw,20,0.0,tgt_breakout_down_3,True,,
XGBoost,0.7846349206349208,AUC,0.2846349206349208,1.0,1.7142857142857142,0.9444444444444444,1.6190476190476188,0.2018048455157232,raw,20,0.7923805713653564,tgt_breakout_down_3,True,,
RandomForest,0.7836525846234584,AUC,0.28365258462345844,1.0,1.7184466019417477,0.9444444444444444,1.6229773462783172,0.19935721391980007,core+lags,344,1.4082024097442627,tgt_breakout_down_3,True,,
