target,mean_holdout,std_holdout,min_holdout,max_holdout,n_splits,all_positive,is_binary,avg_n_features
tgt_breakout_any_10,0.46481631255578604,0.01905164456683116,0.44402985074626866,0.48144712430426717,3,True,True,20.0
tgt_breakout_any_5,0.39705412442045757,0.053555900354129285,0.3365766896840343,0.43847740161539794,3,True,True,20.0
tgt_consolidation_5,0.37506277921865633,0.05906347779094126,0.3372277227722773,0.44312169312169314,3,True,True,20.0
tgt_breakout_any_3,0.3683517632817646,0.032411903424119336,0.33231015053401725,0.395106589147287,3,True,True,20.0
tgt_consolidation_3,0.34460530153798175,0.007761877640079086,0.33601966006754713,0.35112563543936093,3,True,True,20.0
tgt_breakout_up_3,0.34425456881955535,0.012925436636514426,0.32950000000000024,0.3535796562112353,3,True,True,20.0
tgt_breakout_up_5,0.32850201233408954,0.018752553682903933,0.30762475975876447,0.3439169337606838,3,True,True,20.0
tgt_breakout_down_3,0.32049104334334905,0.006721317137702306,0.31364202657807316,0.3270769329237071,3,True,True,20.0
tgt_vol_expansion_10,0.31676126948412725,0.02980569827134908,0.2841944444444445,0.34268475874477944,3,True,True,20.0
tgt_breakout_up_10,0.3068993387599846,0.037482287513323796,0.2654545454545455,0.3384230644111905,3,True,True,20.0
tgt_breakout_down_5,0.2984957938416653,0.0018545303422108936,0.29675210773496297,0.3004441831602326,3,True,True,20.0
tgt_breakout_down_10,0.27127367302393707,0.010576446208121038,0.2598463890506697,0.28071881606765325,3,True,True,20.0
tgt_vol_expansion_5,0.24517066856123662,0.026307373893173863,0.22137362637362634,0.2734201378995953,3,True,True,20.0
tgt_profitable_long_1,0.21646994989696555,0.030391335398460177,0.19155314099134335,0.2503292361720808,3,True,True,20.0
tgt_tail_event_5,0.21183415109478373,0.025114405646257488,0.18597014925373123,0.23612499999999992,3,True,True,20.0
tgt_profitable_short_1,0.2094376843978474,0.032971182297780434,0.19014838505991682,0.2475083971146963,3,True,True,20.0
tgt_crash_10,0.20516463343671829,0.036732205629672304,0.1637932949723402,0.2339474747474748,3,True,True,20.0
tgt_tail_event_3,0.17703296042850517,0.03835719131166254,0.13502400698384986,0.2101910373657102,3,True,True,20.0
tgt_liquidation_cascade_3,0.16504792629440734,0.07962344739948053,0.11443463731793246,0.2568272314035025,3,True,True,20.0
tgt_crash_5,0.1322268264441098,0.03960198905796191,0.10205322649878379,0.17707069174757284,3,True,True,20.0
tgt_liquidation_cascade_5,0.11428794293724891,0.00890823335291611,0.10805471124620059,0.12449093574736436,3,True,True,20.0
tgt_alpha_1,0.106258577086305,0.051881443874383815,0.05380700014090467,0.15755044374140936,3,True,False,3.0
tgt_relative_ret_1,0.106258577086305,0.051881443874383815,0.05380700014090467,0.15755044374140936,3,True,False,3.0
tgt_adverse_selection_1,0.10164205133685052,0.018545721444806644,0.08347855917667235,0.12054771966412381,3,True,True,20.0
tgt_profitable_short_3,0.0998123199076133,0.020269189761953084,0.07757385361552038,0.11725041500322386,3,True,True,20.0
tgt_profitable_long_5,0.09771469377952342,0.0104389070526854,0.09161178898889344,0.10976818457133419,3,True,True,20.0
tgt_profitable_short_5,0.09710515451186157,0.01943449867708369,0.08393733273862625,0.11942615824121228,3,True,True,20.0
tgt_profitable_long_3,0.0955481275419902,0.019767232413086103,0.07322193124662268,0.1108220889212228,3,True,True,20.0
tgt_tail_event_1,0.08907671798560206,0.03737806003824219,0.046675303320959705,0.1172566371681415,3,True,True,20.0
tgt_crash_3,0.08423591526628733,0.04431955620712398,0.03749428440786462,0.1256521739130434,3,True,True,20.0
tgt_fill_prob_long_5,0.07434944237918217,,0.07434944237918217,0.07434944237918217,1,True,True,20.0
tgt_fill_prob_long_3,0.07434944237918217,,0.07434944237918217,0.07434944237918217,1,True,True,20.0
tgt_profitable_long_10,0.07000753061040636,0.03230701462931054,0.04958553879956051,0.10725461133069836,3,True,True,20.0
tgt_profitable_short_10,0.0629304682099534,0.04712473176407099,0.030253553592009208,0.11695054945054939,3,True,True,20.0
tgt_autocorr_break_5,0.06179891130489246,0.01184102520456673,0.049171905222437196,0.07265432098765434,3,True,True,20.0
