target,is_binary,n_features,features,holdout_score,n_train,n_test,metric,split
tgt_adverse_selection_1,True,20,"is_swing_low, is_swing_high, reynolds_number_z, kinetic_energy_z, trade_rate_std_z, ofi_persistence, te_price_to_volume_z, resistance_touches_20_z, total_energy_z, convex_hull_area, liq_pool_below_20_z, volume_surprise, graph_transition_uniformity, mi_side_return, spectral_entropy_z, max_up_sweep_z, side_sequence_entropy_z, trade_rate_std, down_volatility, vol_price_feedback",0.12054771966412381,2592,540,AUC_dev,1
tgt_adverse_selection_3,True,20,"is_swing_high, contrarian_ratio_z, is_swing_low, volume_per_second_std, cvd_min, downtick_pct, equal_lows_20, mi_side_return, dist_to_resistance_5_bps, first_half_return, fvg_bullish_size_bps_z, down_volatility, vwap_gravity_z, sub_regime_transitions, trade_rate_std, dist_to_resistance_10_bps, vol_price_feedback, size_imbalance, time_to_low_pct, max_trade_size",0.01967906919036655,2592,540,AUC_dev,1
tgt_adverse_selection_5,True,20,"price_volume_angle_cos, breakout_down_bps_10_z, price_jerk_z, approx_entropy_z, rubberneck_ratio_z, reynolds_number_z, arrival_time_kurtosis, sub_regime_transitions, is_swing_low, vol_price_feedback, aggression_imbalance_z, time_at_low_pct, is_swing_high, cvd_min, down_volatility, panic_sell_ratio, ew_amplitude_trend, breakout_vol_confirm_10_z, binding_energy, gap_fill_rate_10",0.044587302461318146,2592,540,AUC_dev,1
tgt_alpha_1,False,3,"is_swing_high, is_swing_low, donchian_mid_dist_bps_20",0.10741828737660097,2592,540,R2,1
tgt_autocorr_break_5,True,20,"liq_void_count_10, return_reversal, ob_demand_count_10, avg_body_ratio_5, avg_upper_wick_5, atr_5_z, fvg_bullish_count_10, atr_10_z, ob_net_10, liq_void_up_bps_z, dow_sin, choch_count_5, micro_fear_score, ll_streak_z, dipole_strength_z, convex_hull_area, dist_to_resistance_10_bps, ew_first_wave_pct, binding_energy, amihud_illiquidity",0.049171905222437196,2592,540,AUC_dev,1
tgt_best_side_1,True,20,"is_swing_high, is_swing_low, hh_streak_z, ew_amplitude_trend, dist_to_s1_bps, downtick_pct, sell_urgency_ratio, cvd_max, sub_regime_trending_pct, signed_area, poc_migration_bps, liq_void_up_bps_z, panic_sell_ratio, micro_greed_score, dominant_freq, pattern_bias_5, fib_wave_ratio_count, stackelberg_buy_leader_z, return_skewness, taylor_price_vol_divergence_z",,2592,540,AUC_dev,1
tgt_best_side_3,True,20,"bernoulli, fib_intertime_ratio_pct, volume_autocorr, liq_void_count_10, avg_body_ratio_5, choch_net_z, lh_count_5, binding_energy_z, hl_count_10_z, trade_size_p75_z, binding_energy, avg_notional_per_trade, liq_sweep_count_10_z, fib_vol_concentration_z, sub_regime_transitions, liq_void_down_bps_z, taylor_ofi_a3, graph_edge_count_z, liq_pool_below_20, liq_pool_above_20",0.019274034240561844,2592,540,AUC_dev,1
tgt_best_side_5,True,20,"heat_capacity, range_compression_10, value_area_overlap_pct_z, hurst_regime_z, atr_20, donchian_position_20_z, graph_asymmetry_z, pattern_bias_5, donchian_mid_dist_bps_10, herding_ratio, donchian_mid_dist_bps_20, breakout_down_bps_10_z, avg_lower_wick_5, time_to_high_pct, ob_net_10, sample_entropy, path_length_over_range, choch_count_5, hilbert_std_amplitude_z, trade_size_p25",0.007232652613087365,2592,540,AUC_dev,1
tgt_breakout_any_10,True,20,"trade_time_entropy, kinetic_energy_z, quartile_count_ratio, flash_event_count_z, spectral_entropy_z, volume_time_entropy, atr_change_pct_14, boltzmann_entropy_z, kinetic_energy, volume_surprise, spectral_flatness_z, trade_rate_std_z, reynolds_number_z, inter_trade_entropy, inter_trade_entropy_z, taylor_vol_accel_ratio_z, arrival_time_kurtosis, flash_event_pct, flash_event_pct_z, te_price_to_volume_z",0.48144712430426717,2592,540,AUC_dev,1
tgt_breakout_any_3,True,20,"kinetic_energy, kinetic_energy_z, boltzmann_entropy_z, atr_change_pct_14, trade_rate_std, spectral_entropy_z, trade_rate_std_z, inter_trade_entropy, reynolds_number_z, volume_surprise, trade_time_entropy, quartile_count_ratio, inter_trade_entropy_z, vol_price_feedback, volume_per_second_std, convex_hull_area, down_volatility, is_swing_high, volume_time_entropy, total_energy_z",0.395106589147287,2592,540,AUC_dev,1
tgt_breakout_any_5,True,20,"atr_change_pct_14, spectral_entropy_z, kinetic_energy, kinetic_energy_z, boltzmann_entropy_z, volume_surprise, trade_time_entropy, trade_rate_std_z, flash_event_count_z, reynolds_number_z, spectral_flatness_z, volume_time_entropy, trade_rate_std, quartile_count_ratio, inter_trade_entropy, inter_trade_entropy_z, volume_per_second_std, max_buy_run_z, arrival_time_kurtosis, sweep_count_z",0.4161082819619405,2592,540,AUC_dev,1
tgt_breakout_down_10,True,20,"fib_nearest_level, spectral_entropy_z, kinetic_energy, total_energy_z, is_swing_low, boltzmann_entropy_z, atr_5_z, dist_to_s1_bps, convex_hull_area, atr_change_pct_14, reynolds_number_z, path_hull_ratio, upper_wick_ratio, kinetic_energy_z, spectral_flatness_z, dist_to_swing_low_bps_z, heat_capacity, vpin, trade_rate_std_z, max_buy_run_z",0.28071881606765325,2592,540,AUC_dev,1
tgt_breakout_down_3,True,20,"fib_nearest_level, is_swing_low, dist_to_s1_bps, dist_to_swing_low_bps_z, time_to_high_pct, time_to_low_pct, boltzmann_entropy_z, spectral_entropy_z, atr_change_pct_14, upper_wick_ratio, ohlc_triangle_area, kinetic_energy, convex_hull_area, breakout_up_bps_10_z, total_energy_z, atr_5_z, bos_net_z, path_hull_ratio, cvd_close_vs_range, trade_rate_std_z",0.31364202657807316,2592,540,AUC_dev,1
tgt_breakout_down_5,True,20,"fib_nearest_level, dist_to_s1_bps, is_swing_low, kinetic_energy, time_to_high_pct, spectral_entropy_z, dist_to_swing_low_bps_z, atr_change_pct_14, boltzmann_entropy_z, convex_hull_area, total_energy_z, upper_wick_ratio, breakout_up_bps_10_z, atr_5_z, path_hull_ratio, time_to_low_pct, max_buy_run_z, kinetic_energy_z, ohlc_triangle_area, reynolds_number_z",0.3004441831602326,2592,540,AUC_dev,1
tgt_breakout_up_10,True,20,"fib_nearest_level, vol_price_feedback, is_swing_high, trade_time_entropy, trade_rate_std, dist_to_s1_bps, inter_trade_entropy, boltzmann_entropy_z, volume_time_entropy, atr_change_pct_14, spectral_entropy_z, quartile_count_ratio, cvd_close_vs_range, trade_rate_std_z, inter_trade_entropy_z, max_sell_run_z, kinetic_energy, volume_per_second_std, atr_20_z, reynolds_number_z",0.2654545454545455,2592,540,AUC_dev,1
tgt_breakout_up_3,True,20,"fib_nearest_level, is_swing_high, dist_to_s1_bps, downtick_pct, time_to_high_pct, trade_time_entropy, cvd_close_vs_range, vol_price_feedback, time_to_low_pct, volume_time_entropy, trade_rate_std, quartile_count_ratio, ohlc_triangle_area, trade_rate_std_z, volume_surprise, inter_trade_entropy, dist_to_resistance_5_bps, boltzmann_entropy_z, cvd_min, close_above_value_area",0.32950000000000024,2592,540,AUC_dev,1
tgt_breakout_up_5,True,20,"fib_nearest_level, is_swing_high, dist_to_s1_bps, downtick_pct, vol_price_feedback, time_to_low_pct, cvd_close_vs_range, time_to_high_pct, trade_time_entropy, trade_rate_std, volume_time_entropy, quartile_count_ratio, sell_urgency_ratio, cvd_min, trade_rate_std_z, dist_to_resistance_5_bps, volume_surprise, boltzmann_entropy_z, inter_trade_entropy, volume_per_second_std",0.30762475975876447,2592,540,AUC_dev,1
tgt_consolidation_3,True,20,"boltzmann_entropy_z, kinetic_energy, atr_change_pct_14, kinetic_energy_z, spectral_entropy_z, convex_hull_area, trade_rate_std_z, total_energy_z, trade_rate_std, volume_surprise, trade_time_entropy, reynolds_number_z, flash_event_count_z, inter_trade_entropy_z, inter_trade_entropy, volume_per_second_std, vol_price_feedback, quartile_count_ratio, down_volatility, max_buy_run_z",0.33601966006754713,2592,540,AUC_dev,1
tgt_consolidation_5,True,20,"spectral_entropy_z, atr_change_pct_14, kinetic_energy_z, boltzmann_entropy_z, kinetic_energy, trade_rate_std_z, trade_rate_std, total_energy_z, convex_hull_area, trade_time_entropy, flash_event_count_z, inter_trade_entropy, volume_surprise, reynolds_number_z, inter_trade_entropy_z, quartile_count_ratio, sweep_count_z, volume_per_second_std, vol_price_feedback, max_up_sweep_z",0.3448389217619987,2592,540,AUC_dev,1
tgt_crash_10,True,20,"trade_rate_std_z, max_sell_run_z, roll_spread, sweep_count_z, spectral_entropy_z, resistance_touches_10_z, shock_attention_ratio_z, breakout_vol_confirm_10_z, graph_edge_count_z, max_up_sweep_z, volume_surprise, eigen_ratio_z, inter_trade_entropy_z, down_volatility, fib_size_max_med_dist_z, breakout_vol_confirm_20_z, eigen_sum, breakout_net_10_z, path_length_over_range, inter_trade_entropy",0.1637932949723402,2592,540,AUC_dev,1
tgt_crash_3,True,20,"donchian_mid_dist_bps_20, support_touches_20_z, donchian_mid_dist_bps_10, breakout_net_10_z, breakout_down_count_10, dominant_freq, fib_wave_avg_dist_z, bos_bearish_count_5, bearish_patterns_5, dist_to_support_20_bps, fvg_bearish_count_10, dist_to_resistance_5_bps, breakout_up_count_10, lh_count_5, fvg_bullish_size_bps_z, dist_to_resistance_10_bps, fvg_bullish_count_10, dist_to_resistance_10_bps_z, trade_size_p75_z, lh_count_10",0.089561287477954,2592,540,AUC_dev,1
tgt_crash_5,True,20,"donchian_mid_dist_bps_20, support_touches_20_z, donchian_mid_dist_bps_10, breakout_net_10_z, resistance_touches_10_z, bearish_patterns_5, donchian_position_20_z, ob_supply_count_10, lh_count_5, breakout_down_count_10, bos_bearish_count_5, roll_spread, dist_to_resistance_10_bps, fvg_bearish_count_10, breakout_vol_confirm_10_z, dist_to_resistance_5_bps, pattern_bias_5, trade_rate_std_z, bos_bullish_count_5, wavelet_energy_s4",0.10205322649878379,2592,540,AUC_dev,1
tgt_fill_prob_long_1,True,20,"trade_time_entropy, kinetic_energy_z, value_area_overlap_pct_z, trade_rate_std_z, breakout_vol_confirm_10_z, total_energy_z, fib_intertime_ratio_pct_z, spectral_entropy_z, graph_asymmetry_z, boltzmann_entropy_z, sweep_count_z, quartile_count_ratio, herding_ratio, trade_rate_std, liq_sweep_count_10, fib_updown_wave_ratio_z, lz_complexity, breakout_vol_confirm_20_z, dipole_strength_z, return_reversal",0.11617100371747213,2592,540,AUC_dev,1
tgt_liquidation_cascade_3,True,20,"roll_spread, breakout_net_10_z, shock_attention_ratio_z, max_sell_run_z, dominant_freq, down_volatility, post_shock_pause_ratio, trade_rate_std_z, trade_size_p75_z, avg_notional_per_trade, golden_angle_uniformity, volume_time_entropy, convex_hull_area, eigen_ratio_z, chebyshev_distance, inter_trade_entropy, max_trade_size, large_trade_volume_pct, micro_fear_score, inter_trade_entropy_z",0.12388191016178707,2592,540,AUC_dev,1
tgt_liquidation_cascade_5,True,20,"roll_spread, volume_surprise, breakout_net_10_z, trade_rate_std_z, inter_trade_entropy_z, fib_intertime_ratio_pct_z, inter_trade_entropy, value_area_overlap_pct_z, max_sell_run_z, support_touches_20_z, fib_size_max_med_dist_z, fib_intertime_ratio_pct, breakout_vol_confirm_10_z, kinetic_energy_z, max_trade_size, resistance_touches_10_z, dominant_freq, trade_rate_std, down_volatility, large_trade_volume_pct",0.10805471124620059,2592,540,AUC_dev,1
tgt_mean_reversion_5,True,20,"wavelet_energy_s4, wavelet_energy_s4_z, volume_pct_q3_z, auction_clearing_speed, hurst_regime_z, breakout_up_bps_10_z, high_volume_node_pct, fvg_bullish_size_bps_z, total_energy_z, micro_fear_score, ew_amplitude_trend, hl_count_10_z, ew_impulse_correction_ratio_z, panic_sell_ratio, taylor_price_a5_z, range_compression_10, lz_complexity, choch_net_z, breakout_vol_confirm_10_z, price_curvature",0.16542750929368033,2592,540,AUC_dev,1
tgt_mid_reversion_1,True,20,"dist_to_support_20_bps, cvd_min, cvd_max, fib_updown_wave_ratio_z, sell_urgency_ratio, fvg_bullish_count_10, fib_time_vol_pct_z, fib_time_scaling_score, kinetic_energy_z, liq_pool_below_20_z, lz_complexity, cvd_close_vs_range, donchian_mid_dist_bps_20, kyle_lambda_z, range_compression_5, downtick_pct, return_skewness, value_area_overlap_pct_z, trade_time_entropy, total_energy_z",-0.13997517070142773,2592,540,AUC_dev,1
tgt_mid_reversion_3,True,20,"volume_pct_q3_z, fvg_bullish_size_bps_z, auction_clearing_speed, panic_sell_ratio, cvd_max, high_volume_node_pct, sell_urgency_ratio, taylor_price_ofi_alignment, trade_rate_decay_z, support_touches_20_z, fib_wave_avg_dist, cvd_min, taylor_ofi_r2_z, downtick_pct, low_volume_node_pct, aggression_imbalance_z, fib_swing_count, mi_side_return, breakout_net_10_z, return_skewness",0.120817843866171,2592,540,AUC_dev,1
tgt_profitable_long_1,True,20,"is_swing_high, is_swing_low, dist_to_resistance_5_bps, dist_to_resistance_10_bps, dist_to_resistance_10_bps_z, donchian_mid_dist_bps_10, dist_to_s1_bps, time_to_low_pct, cvd_min, panic_sell_ratio, first_half_return, signed_area, hl_count_10_z, donchian_position_20_z, sell_urgency_ratio, cvd_max, ofi_persistence, fib_nearest_level, hh_streak_z, ew_amplitude_trend",0.2075274725274725,2592,540,AUC_dev,1
tgt_profitable_long_10,True,20,"last_swing_high, fib_intertime_ratio_pct, liq_pool_above_20_z, is_swing_low, micro_greed_score, atr_10_z, time_to_high_pct, wavelet_energy_s2, time_to_low_pct, signed_area, breakout_up_count_10, wavelet_energy_s4, ew_correction_quality_z, dist_to_swing_low_bps_z, lh_count_5, gap_fill_rate_10, lh_count_10, sell_urgency_ratio, time_at_high_pct, dow_sin",0.053182441700960204,2592,540,AUC_dev,1
tgt_profitable_long_3,True,20,"range_compression_5, is_swing_low, is_swing_high, dist_to_resistance_10_bps, last_swing_high, avg_body_ratio_5, wavelet_energy_s4, ob_net_10, hl_count_10_z, time_to_low_pct, ew_correction_quality_z, dist_to_resistance_5_bps, donchian_width_change_20, breakout_down_count_10, bos_bearish_count_5, cvd_min, fib_swing_count, time_to_high_pct, donchian_width_change_10, kinetic_energy",0.1026003624581251,2592,540,AUC_dev,1
tgt_profitable_long_5,True,20,"last_swing_high, is_swing_low, pattern_bias_5, range_compression_5, bearish_patterns_5, bos_bearish_count_5, lh_count_10, dist_to_resistance_10_bps, donchian_mid_dist_bps_10, wavelet_energy_s4, spectral_flatness_z, max_sell_run_z, breakout_down_count_10, avg_upper_wick_5, path_hull_ratio, ob_net_10, inter_trade_entropy_z, donchian_mid_dist_bps_20, resistance_touches_20, low_volume_node_pct",0.09176410777834265,2592,540,AUC_dev,1
tgt_profitable_short_1,True,20,"is_swing_high, is_swing_low, dist_to_s1_bps, dist_to_resistance_10_bps, dist_to_resistance_5_bps, ew_amplitude_trend, dist_to_resistance_10_bps_z, cvd_min, panic_sell_ratio, time_to_low_pct, first_half_return, signed_area, last_swing_high, donchian_mid_dist_bps_10, sell_urgency_ratio, cvd_max, ofi_persistence, te_volume_to_price, poc_migration_bps, hl_count_10_z",0.19065627101892912,2592,540,AUC_dev,1
tgt_profitable_short_10,True,20,"last_swing_high, fib_intertime_ratio_pct, liq_pool_above_20_z, is_swing_low, atr_10_z, micro_greed_score, time_to_high_pct, breakout_up_count_10, time_to_low_pct, sell_urgency_ratio, lh_count_10, dist_to_swing_low_bps_z, signed_area, donchian_mid_dist_bps_20, fib_nearest_level, equal_highs_20, ew_correction_quality_z, dow_sin, downtick_pct, wavelet_energy_s2",0.030253553592009208,2592,540,AUC_dev,1
