period,trade_start,trade_end,net_return,gross_return,fees,bnh_return,n_trades,n_long,n_short,n_stopped,n_reversals,win_rate,signal_rate,direction_thresh
1,2024-12-29 00:00:00+00:00,2025-01-27 20:00:00+00:00,0.33143053604770645,0.33947443155112533,0.008043895503418786,0.02522350917078864,28,6,22,1,19,0.7142857142857143,0.49444444444444446,0.005
2,2025-01-28 00:00:00+00:00,2025-02-26 20:00:00+00:00,0.3751259069770335,0.38545683708187883,0.010330930104845284,-0.3919605499103408,30,12,18,3,14,0.7,0.4166666666666667,0.005
3,2025-02-27 00:00:00+00:00,2025-03-28 20:00:00+00:00,0.4471458729889395,0.4591827088264358,0.012036835837496363,-0.12669090909090908,28,11,17,0,17,0.5714285714285714,0.4166666666666667,0.005
4,2025-03-29 00:00:00+00:00,2025-04-27 20:00:00+00:00,0.18883443013379192,0.1982927353235338,0.00945830518974187,0.003583627302760517,27,10,17,1,16,0.48148148148148145,0.46111111111111114,0.005
5,2025-04-28 00:00:00+00:00,2025-05-27 20:00:00+00:00,0.25012181560266694,0.2600498255778907,0.009928009975223737,0.2638764547896151,24,16,8,1,15,0.625,0.3888888888888889,0.005
6,2025-05-28 00:00:00+00:00,2025-06-26 20:00:00+00:00,0.24220681710099273,0.2517954318201762,0.009588614719183507,-0.28792128578424825,27,6,21,1,14,0.5925925925925926,0.39444444444444443,0.005
7,2025-06-27 00:00:00+00:00,2025-07-26 20:00:00+00:00,0.13288188158404493,0.14341283119717782,0.010530949613132917,0.45219590426844336,28,10,18,0,20,0.5714285714285714,0.5,0.004
8,2025-07-27 00:00:00+00:00,2025-08-25 20:00:00+00:00,0.14364611701445862,0.15619407404945,0.012547957034991408,-0.12430512016718909,31,21,10,1,19,0.5483870967741935,0.5555555555555556,0.004
9,2025-08-26 00:00:00+00:00,2025-09-24 20:00:00+00:00,0.20560295330489597,0.21377753172790653,0.00817457842301053,0.14923451137501798,28,12,16,0,16,0.6428571428571429,0.4111111111111111,0.005
10,2025-09-25 00:00:00+00:00,2025-10-24 20:00:00+00:00,0.23271488674215676,0.2423111724271916,0.009596285685034813,-0.16231564671978305,27,18,9,1,21,0.5925925925925926,0.4166666666666667,0.005
11,2025-10-25 00:00:00+00:00,2025-11-23 20:00:00+00:00,0.32978726245230106,0.3406751403843552,0.010887877932054169,-0.26715549936788885,28,15,13,3,12,0.6785714285714286,0.4388888888888889,0.005
12,2025-11-24 00:00:00+00:00,2025-12-23 20:00:00+00:00,0.04053763902895017,0.04927809507281916,0.008740456043868973,-0.12265688671556652,23,15,8,1,13,0.6956521739130435,0.4,0.005
