period,trade_start,trade_end,net_return,gross_return,fees,bnh_return,n_trades,n_long,n_short,n_stopped,n_reversals,win_rate,signal_rate,direction_thresh
1,2024-12-29 00:00:00+00:00,2025-01-27 20:00:00+00:00,-0.14873722217954388,-0.1392738270359591,0.009463395143584814,0.2057010785824347,27,11,16,1,16,0.48148148148148145,0.40555555555555556,0.005
2,2025-01-28 00:00:00+00:00,2025-02-26 20:00:00+00:00,0.2526925051884785,0.26449728626657415,0.0118047810780957,-0.42798562671739593,28,12,16,2,15,0.6071428571428571,0.5222222222222223,0.005
3,2025-02-27 00:00:00+00:00,2025-03-28 20:00:00+00:00,0.6055213299176809,0.6146243636506317,0.009103033732950754,-0.06597372599971119,22,11,11,0,10,0.8636363636363636,0.36666666666666664,0.005
4,2025-03-29 00:00:00+00:00,2025-04-27 20:00:00+00:00,0.5600801844233725,0.572111934609574,0.012031750186201538,0.14868329060825003,27,21,6,0,10,0.7037037037037037,0.4111111111111111,0.005
5,2025-04-28 00:00:00+00:00,2025-05-27 20:00:00+00:00,0.25460135755373103,0.2654842319210611,0.010882874367330025,0.19053717058704578,24,13,11,2,15,0.7083333333333334,0.3611111111111111,0.005
6,2025-05-28 00:00:00+00:00,2025-06-26 20:00:00+00:00,0.38363204991038696,0.3961739166642857,0.012541866753898729,-0.20591932350588515,26,12,14,1,16,0.6923076923076923,0.34444444444444444,0.005
7,2025-06-27 00:00:00+00:00,2025-07-26 20:00:00+00:00,0.3338344136717887,0.34574998914609545,0.011915575474306779,0.3086070215175538,26,16,10,0,14,0.7692307692307693,0.38333333333333336,0.005
8,2025-07-27 00:00:00+00:00,2025-08-25 20:00:00+00:00,0.2742006454771851,0.28656110060128687,0.012360455124101777,-0.0006945186451543517,27,17,10,3,12,0.6666666666666666,0.37777777777777777,0.005
9,2025-08-26 00:00:00+00:00,2025-09-24 20:00:00+00:00,0.21448113340597333,0.22809412344383395,0.013612990037860727,0.13212698752609886,29,12,17,0,10,0.5862068965517241,0.39444444444444443,0.005
10,2025-09-25 00:00:00+00:00,2025-10-24 20:00:00+00:00,0.17373810677227125,0.18528077660121478,0.011542669828943544,-0.0660809962832456,26,13,13,1,14,0.5384615384615384,0.42777777777777776,0.005
11,2025-10-25 00:00:00+00:00,2025-11-23 20:00:00+00:00,0.2454969391662808,0.25630839413563483,0.010811454969354085,-0.32517970729689194,28,16,12,2,17,0.6428571428571429,0.5166666666666667,0.004
12,2025-11-24 00:00:00+00:00,2025-12-23 20:00:00+00:00,0.2389683449101312,0.2523756915756941,0.013407346665562961,-0.07063057659143734,29,15,14,2,19,0.7241379310344828,0.5388888888888889,0.004
