period,trade_start,trade_end,net_return,gross_return,fees,bnh_return,n_trades,n_long,n_short,n_stopped,n_reversals,win_rate,signal_rate,direction_thresh
1,2024-12-29 00:00:00+00:00,2025-01-27 20:00:00+00:00,0.15077948906301925,0.1595124216338429,0.008732932570823713,0.39623159242659844,29,14,15,1,15,0.6551724137931034,0.45555555555555555,0.005
2,2025-01-28 00:00:00+00:00,2025-02-26 20:00:00+00:00,0.16776238515518885,0.17588954067339055,0.008127155518201697,-0.2882322446863659,28,13,15,0,16,0.5714285714285714,0.46111111111111114,0.005
3,2025-02-27 00:00:00+00:00,2025-03-28 20:00:00+00:00,-0.04984371622560674,-0.04198512196390342,0.007858594261703322,0.0018623665682491186,26,14,12,1,16,0.5769230769230769,0.5111111111111111,0.005
4,2025-03-29 00:00:00+00:00,2025-04-27 20:00:00+00:00,0.07350096243076028,0.08302547273775436,0.009524510306994069,0.035221629575133306,26,15,11,1,15,0.4230769230769231,0.4166666666666667,0.005
5,2025-04-28 00:00:00+00:00,2025-05-27 20:00:00+00:00,-0.017304994120892495,-0.006165914630626587,0.011139079490265913,0.025509300265721846,32,18,14,0,21,0.5,0.6555555555555556,0.002
6,2025-05-28 00:00:00+00:00,2025-06-26 20:00:00+00:00,0.1311794229774997,0.14338033009751144,0.012200907120011734,-0.08970976253298169,27,11,16,0,9,0.6296296296296297,0.37777777777777777,0.005
7,2025-06-27 00:00:00+00:00,2025-07-26 20:00:00+00:00,0.23475788205265513,0.2436859575874127,0.008928075534757609,0.5044197319646422,27,13,14,0,15,0.5555555555555556,0.4666666666666667,0.005
8,2025-07-27 00:00:00+00:00,2025-08-25 20:00:00+00:00,0.08790656651897258,0.09632973172473402,0.00842316520576147,-0.10714508970431957,25,10,15,2,13,0.52,0.36666666666666664,0.005
9,2025-08-26 00:00:00+00:00,2025-09-24 20:00:00+00:00,0.05734771623170368,0.06104151083430423,0.0036937946026005513,0.014149471128836355,14,4,10,1,1,0.6428571428571429,0.15,0.005
10,2025-09-25 00:00:00+00:00,2025-10-24 20:00:00+00:00,-0.016997163320917965,-0.0102710456711112,0.006726117649806768,-0.12595765426939687,21,7,14,2,6,0.47619047619047616,0.3,0.005
11,2025-10-25 00:00:00+00:00,2025-11-23 20:00:00+00:00,0.06908590660678819,0.07643774754140845,0.007351840934620301,-0.1933908385521289,21,12,9,2,9,0.42857142857142855,0.32222222222222224,0.005
12,2025-11-24 00:00:00+00:00,2025-12-23 20:00:00+00:00,0.09804964824535761,0.10538257909277973,0.007332930847422184,-0.10214357646381822,20,12,8,1,5,0.5,0.23333333333333334,0.005
