period,sel_start,sel_end,trade_start,trade_end,n_trades,n_signals,win_rate,total_return,bnh_return,avg_trade,n_dir_models,n_gate_models,n_size_models,threshold
1,2024-01-10,2025-01-03,2025-01-07,2025-02-05,33,179,0.5757575757575758,0.04548225788378635,-0.0979841678939617,-0.0040351336548702,5,5,3,0.48
2,2024-02-09,2025-02-02,2025-02-06,2025-03-07,31,127,0.6129032258064516,-0.1590416899308624,-0.3053644431149666,-0.005921632777171162,5,5,3,0.56
3,2024-03-10,2025-03-04,2025-03-08,2025-04-06,33,137,0.45454545454545453,0.005738644192428338,-0.2417251755265798,-0.0015977774940964197,5,5,3,0.58
4,2024-04-09,2025-04-03,2025-04-07,2025-05-06,34,172,0.5588235294117647,0.06689555987140361,0.4229091966275804,0.004278087448023241,5,5,3,0.5
5,2024-05-09,2025-05-03,2025-05-07,2025-06-05,32,129,0.53125,-0.0013800829276237152,-0.013679890560875485,0.001579109550129439,5,5,3,0.56
6,2024-06-08,2025-06-02,2025-06-06,2025-07-05,30,122,0.5666666666666667,-0.018920803252305135,0.005110384300899495,-0.000619482709324877,5,5,3,0.56
7,2024-07-08,2025-07-02,2025-07-06,2025-08-04,28,114,0.6428571428571429,0.04094045277364489,0.15085884988797615,0.0031568532716293213,5,5,3,0.6
8,2024-08-07,2025-08-01,2025-08-05,2025-09-03,30,121,0.4,-0.02113049934405031,0.25500476644423253,-0.007091322367238677,5,5,3,0.56
9,2024-09-06,2025-08-31,2025-09-04,2025-10-03,33,172,0.45454545454545453,0.021521409203373885,0.11841599384851964,-0.0008093829537114823,5,5,3,0.5
10,2024-10-06,2025-09-30,2025-10-04,2025-11-02,34,159,0.2647058823529412,-0.10186354287837454,-0.18093741817229636,-0.012628447195788902,5,5,3,0.52
11,2024-11-05,2025-10-30,2025-11-03,2025-12-02,29,124,0.4827586206896552,0.002393032601638964,-0.21857738699132,-0.001069566344454401,5,5,3,0.58
12,2024-12-05,2025-11-29,2025-12-03,2026-01-01,34,174,0.4117647058823529,0.018652079981068662,-0.0957234497505346,-0.00019407211167175425,5,5,3,0.48
