period,sel_start,trade_start,trade_end,n_trades,n_triggers,n_signals,n_ready_no_trigger,n_trigger_no_ready,win_rate,total_return,bnh_return,avg_trade,threshold,readiness_auc
1,2024-01-10,2025-01-07,2025-02-05,29,110,110,70,0,0.41379310344827586,0.07218229413744845,-0.0979841678939617,0.0039041831810796286,0.4,0.9774789915966386
2,2024-02-09,2025-02-06,2025-03-07,27,122,122,58,0,0.2962962962962963,-0.47054958081389514,-0.3053644431149666,-0.021453427789130904,0.4,0.9961149961149961
3,2024-03-10,2025-03-08,2025-04-06,30,117,117,63,0,0.3,-0.5027909935319865,-0.2417251755265798,-0.020038798811353002,0.4,0.9843091334894614
4,2024-04-09,2025-04-07,2025-05-06,28,112,112,68,0,0.32142857142857145,-0.44740302550052435,0.4229091966275804,-0.016514642423919142,0.4,0.9979363207547169
5,2024-05-09,2025-05-07,2025-06-05,27,112,112,68,0,0.37037037037037035,-0.22630416096933625,-0.013679890560875485,-0.009480605911319618,0.4,0.9753554502369668
6,2024-06-08,2025-06-06,2025-07-05,30,120,120,60,0,0.5333333333333333,-0.04233115083824711,0.005110384300899495,-0.0025048894359379426,0.4,0.9935141509433962
7,2024-07-08,2025-07-06,2025-08-04,32,115,115,65,0,0.46875,-0.03684697372537178,0.15085884988797615,-0.001869390687751211,0.4,0.9826061320754716
8,2024-08-07,2025-08-05,2025-09-03,30,122,122,58,0,0.4666666666666667,-0.1840830475639978,0.25500476644423253,-0.005006315523734204,0.4,0.9858490566037736
9,2024-09-06,2025-09-04,2025-10-03,28,118,118,62,0,0.39285714285714285,-0.42616055017527327,0.11841599384851964,-0.015615447753529122,0.4,0.9740521327014218
10,2024-10-06,2025-10-04,2025-11-02,30,114,114,66,0,0.26666666666666666,-0.6089287728756273,-0.18093741817229636,-0.022821745931411574,0.4,0.9964454976303319
11,2024-11-05,2025-11-03,2025-12-02,29,117,117,63,0,0.27586206896551724,-0.44605928456631827,-0.21857738699132,-0.017944804687065264,0.4,0.9945497630331753
12,2024-12-05,2025-12-03,2026-01-01,31,107,107,73,0,0.3225806451612903,-0.28621416743901423,-0.0957234497505346,-0.010484490811275097,0.4,0.980672268907563
