period,trade_start,trade_end,net_return,gross_return,fees,bnh_return,n_trades,n_long,n_short,win_rate,signal_rate,gate_rate
1,2024-12-29 00:00:00+00:00,2025-01-27 20:00:00+00:00,0.2578914243117516,0.264693020045153,0.0068015957334013845,0.2057010785824347,33,14,19,0.5454545454545454,0.6111111111111112,0.6111111111111112
2,2025-01-28 00:00:00+00:00,2025-02-26 20:00:00+00:00,0.08746326220506238,0.0934008735895845,0.00593761138452212,-0.42798562671739593,30,15,15,0.5333333333333333,0.5055555555555555,0.5055555555555555
3,2025-02-27 00:00:00+00:00,2025-03-28 20:00:00+00:00,-0.0006229225184260154,0.003078781924124946,0.0037017044425509734,-0.06597372599971119,23,15,8,0.34782608695652173,0.3,0.30000000000000004
4,2025-03-29 00:00:00+00:00,2025-04-27 20:00:00+00:00,0.2331634043007874,0.23771412553312396,0.004550721232336552,0.14868329060825003,31,14,17,0.7741935483870968,0.5777777777777777,0.5777777777777777
5,2025-04-28 00:00:00+00:00,2025-05-27 20:00:00+00:00,0.1218198840012773,0.12794813060554858,0.006128246604271263,0.19053717058704578,34,10,24,0.5588235294117647,0.8,0.8
6,2025-05-28 00:00:00+00:00,2025-06-26 20:00:00+00:00,0.0873109644399217,0.09309096694907615,0.005780002509154456,-0.20591932350588515,30,19,11,0.6333333333333333,0.5111111111111111,0.5111111111111111
7,2025-06-27 00:00:00+00:00,2025-07-26 20:00:00+00:00,0.11198014878892512,0.11831700816978416,0.006336859380859042,0.3086070215175538,30,17,13,0.7333333333333333,0.5444444444444444,0.5444444444444445
8,2025-07-27 00:00:00+00:00,2025-08-25 20:00:00+00:00,0.1973126721755557,0.20373506017918686,0.0064223880036311486,-0.0006945186451543517,32,22,10,0.6875,0.4722222222222222,0.4722222222222222
9,2025-08-26 00:00:00+00:00,2025-09-24 20:00:00+00:00,0.184511076255841,0.19085413084926095,0.006343054593419911,0.13212698752609886,30,18,12,0.7333333333333333,0.5111111111111111,0.5111111111111111
10,2025-09-25 00:00:00+00:00,2025-10-24 20:00:00+00:00,0.13562864344867756,0.1432539996177774,0.007625356169099821,-0.0660809962832456,33,26,7,0.6666666666666666,0.6444444444444445,0.6444444444444444
11,2025-10-25 00:00:00+00:00,2025-11-23 20:00:00+00:00,-0.03812557534218175,-0.03190581399862693,0.006219761343554817,-0.32517970729689194,31,24,7,0.45161290322580644,0.6166666666666667,0.6166666666666667
12,2025-11-24 00:00:00+00:00,2025-12-23 20:00:00+00:00,0.09004182443487307,0.0935412639354025,0.0034994395005294374,-0.07063057659143734,24,11,13,0.5833333333333334,0.28888888888888886,0.28888888888888886
