period,trade_start,trade_end,n_trades,n_long,n_short,net_return,gross_return,total_fees,win_rate,avg_trade_return,signal_rate,vol_gate_rate,bnh_return
1,2024-12-29 00:00:00+00:00,2025-01-27 20:00:00+00:00,40,25,15,0.3088451809220613,0.32137663075080886,0.012531449828747543,0.625,0.008908131058105392,0.6333333333333333,1.0,0.2057010785824347
2,2025-01-28 00:00:00+00:00,2025-02-26 20:00:00+00:00,40,23,17,0.04546447610278083,0.05704893697895823,0.011584460876177451,0.575,-0.00016977771391448918,0.7611111111111111,1.0,-0.42798562671739593
3,2025-02-27 00:00:00+00:00,2025-03-28 20:00:00+00:00,46,21,25,0.045098241694076543,0.05455599216460068,0.009457750470524197,0.5217391304347826,0.0015530685470785946,1.0,1.0,-0.06597372599971119
4,2025-03-29 00:00:00+00:00,2025-04-27 20:00:00+00:00,37,24,13,0.4112550488605211,0.42233745651421895,0.01108240765369784,0.6216216216216216,0.013896794908094548,0.6333333333333333,1.0,0.14868329060825003
5,2025-04-28 00:00:00+00:00,2025-05-27 20:00:00+00:00,40,8,32,0.09772925776893898,0.11061621428891148,0.0128869565199725,0.475,0.0017035918391101195,0.7722222222222223,1.0,0.19053717058704578
6,2025-05-28 00:00:00+00:00,2025-06-26 20:00:00+00:00,38,14,24,0.295594666671444,0.3068886352292858,0.011293968557841743,0.6842105263157895,0.008743764087614672,0.6833333333333333,1.0,-0.20591932350588515
7,2025-06-27 00:00:00+00:00,2025-07-26 20:00:00+00:00,39,18,21,0.3435387959100838,0.35560871132577754,0.012069915415693768,0.6410256410256411,0.009884799410468527,0.75,1.0,0.3086070215175538
8,2025-07-27 00:00:00+00:00,2025-08-25 20:00:00+00:00,41,20,21,0.45888109605623373,0.4707794814336723,0.011898385377438635,0.6097560975609756,0.014599125631933512,0.7722222222222223,1.0,-0.0006945186451543517
9,2025-08-26 00:00:00+00:00,2025-09-24 20:00:00+00:00,42,23,19,0.42738660909716597,0.441410760914379,0.014024151817212985,0.7619047619047619,0.012140728813032728,0.7166666666666667,1.0,0.13212698752609886
10,2025-09-25 00:00:00+00:00,2025-10-24 20:00:00+00:00,38,24,14,0.0625419744251429,0.0752166955212553,0.012674721096112482,0.5526315789473685,3.044834994348559e-06,0.6666666666666666,1.0,-0.0660809962832456
11,2025-10-25 00:00:00+00:00,2025-11-23 20:00:00+00:00,34,22,12,0.07125496418699354,0.08149166848718949,0.010236704300195968,0.5294117647058824,0.002408394552049429,0.5611111111111111,1.0,-0.32517970729689194
12,2025-11-24 00:00:00+00:00,2025-12-23 20:00:00+00:00,44,22,22,0.10391046163467965,0.11330288134800129,0.009392419713321637,0.5909090909090909,0.0036421967906583087,0.9611111111111111,1.0,-0.07063057659143734
