,tgt_ret_sign_1,tgt_ret_sign_3,tgt_ret_sign_5,tgt_ret_sign_10,tgt_vol_regime_5,tgt_vol_regime_10,tgt_vol_expansion_5,tgt_vol_expansion_10,tgt_mean_reversion_5,tgt_mean_reversion_10,tgt_regime_change_5,tgt_regime_change_10,tgt_breakout_up_3,tgt_breakout_down_3,tgt_breakout_any_3,tgt_breakout_up_5,tgt_breakout_down_5,tgt_breakout_any_5,tgt_breakout_up_10,tgt_breakout_down_10,tgt_breakout_any_10,tgt_consolidation_3,tgt_consolidation_5,tgt_fill_prob_long_1,tgt_fill_prob_short_1,tgt_fill_prob_long_3,tgt_fill_prob_short_3,tgt_fill_prob_long_5,tgt_fill_prob_short_5,tgt_tail_event_1,tgt_tail_event_3,tgt_tail_event_5,tgt_crash_3,tgt_crash_5,tgt_crash_10,tgt_liquidation_cascade_3,tgt_liquidation_cascade_5,tgt_mid_reversion_1,tgt_mid_reversion_3,tgt_adverse_selection_1,tgt_adverse_selection_3,tgt_adverse_selection_5,tgt_autocorr_break_5,tgt_profitable_long_1,tgt_profitable_short_1,tgt_profitable_long_3,tgt_profitable_short_3,tgt_profitable_long_5,tgt_profitable_short_5,tgt_profitable_long_10,tgt_profitable_short_10,tgt_optimal_action_1,tgt_optimal_action_3,tgt_optimal_action_5,tgt_best_side_1,tgt_best_side_3,tgt_best_side_5
open,,,,,,,0.48072059131325384,0.4733588297368372,0.46564422383437276,0.47532104902090583,0.4973927399276715,0.49893181455971614,0.4754353273646057,0.5187445134860664,0.4900030950644447,0.474336113053031,0.5254903483643047,0.5224587028206863,0.4641952931299881,0.5413980755196628,0.45896839912614945,0.49186654073375036,0.489101195379882,0.47556168088204703,0.5316659017898119,0.4661031147665829,0.5029022506731697,0.40998120399810284,0.5175471513411212,0.48669671658932123,0.48496614664736004,0.4814380487125789,0.48601166100375454,0.47749693667162674,0.47935117000030375,0.47208805658811787,0.4688729036670052,0.5096472225882973,0.48611719396303016,0.4979711189415155,0.505010755627133,0.498864786605602,0.5098158722311165,0.5011981629759027,0.5093090834849658,0.4742297984170927,0.5315845564429096,0.4724123686026757,0.5289463959242984,0.4729880912304413,0.5284665181534581,,,,,,
high,,,,,,,0.47712794044369744,0.4682301263051083,0.4600441220143397,0.47530299565515666,0.4957552417301336,0.49625994345741287,0.47780035425982276,0.5126404977881818,0.48203253801413315,0.4764831968441027,0.5191366986978461,0.5128634406036449,0.4661056259208165,0.53450918985274,0.4488136970990194,0.5009313676379337,0.5012672539888028,0.4647181194091949,0.5311631077396539,0.4544436828878227,0.5049979677894629,0.39705236530995835,0.5187871174052079,0.4851464933729412,0.48220326291290333,0.47811505981901015,0.4837720062927253,0.4749455168254067,0.4766257413355811,0.47068047064883956,0.46718490434792814,0.5050470314971007,0.48194261958886875,0.4974913819832536,0.5045372094098725,0.4984715169919023,0.5095249477910149,0.5012420627540582,0.5094177142343912,0.47483785912029874,0.5310085257932226,0.47321898143846897,0.5281037583379311,0.47306617743719825,0.5284745038497278,,,,,,
low,,,,,,,0.4866054628692122,0.4823629271611861,0.4640914683297272,0.4756460096043906,0.49985516405120634,0.5040895500152444,0.48273393335108,0.518349982742111,0.5062023865704848,0.48201625386996905,0.5255996936288756,0.5514928788524802,0.47182397921024977,0.5421339725714028,0.5234021744652746,0.48080667627591916,0.4714924595235293,0.47232681506136887,0.5296344788489054,0.4642753788744193,0.5007430269775949,0.4087603421926327,0.5156953599164655,0.4894376148217928,0.48921708027023475,0.48715819532005616,0.48879108314344333,0.48089589176988656,0.48388271425642426,0.4741550954102644,0.47190036951812964,0.5071267955983131,0.4841011630412869,0.4973513158321301,0.5037883697380845,0.49786367068233106,0.5101348979898812,0.49965969888280776,0.5104473674143511,0.4733941297255618,0.5323131298875956,0.47132444189318323,0.5298194315422842,0.472013052026389,0.529321609916368,,,,,,
close,,,,,,,0.4817012261654202,0.4755762899271404,0.4605404946756608,0.47790869811161796,0.49782458534852325,0.5003666000304887,0.4870692918285491,0.509085984148108,0.4948310891562426,0.48597248576850094,0.5162317680184006,0.533798558168099,0.47530985850768903,0.5321700424816227,0.48553320123964844,0.49201601200941103,0.486591486070714,0.46527459954233413,0.5270057770698917,0.4556697890488158,0.5023306914596352,0.3991515449610905,0.5177918814853488,0.487133954223284,0.48560427102534387,0.48248715038020035,0.48603877608115664,0.4776084089876067,0.48031841834487576,0.4718731342566992,0.4692093295256432,0.5027304625724829,0.48104235750484886,0.4974678990825459,0.5041999101226493,0.4979255857560069,0.5097960497241756,0.4997318273599192,0.5105907184224445,0.47410059588704584,0.5317072133025619,0.4726095890183691,0.5285989453854232,0.47249506821224746,0.5289959594451081,,,,,,
range,,,,,,,0.3446394971669958,0.2765995086651179,0.4348309363200544,0.46249112376184,0.4355304307783207,0.3675551827240223,0.4144205313448058,0.42611370004611165,0.22948217426745032,0.4087854539099171,0.4214169051355741,0.1746001322135601,0.39841480005193736,0.42480285595072964,0.10380785449372554,0.7698081758363927,0.8307961633517712,0.41142604535053046,0.5612497637880302,0.3921940446272181,0.5502464055276127,0.3415163279287508,0.5218870325654246,0.42973328504328273,0.38264802352320404,0.3532289261129408,0.41406446394252205,0.3906736557216407,0.36727518357785066,0.42739098975546297,0.4039663764917204,0.5023062730627306,0.4782963843528193,0.49471468483453485,0.5066921713177608,0.5040496814018319,0.492796967389644,0.5152412142325778,0.4998870032300236,0.5027956897372335,0.505126994471102,0.5074162964204183,0.49726552587245987,0.4991059544678498,0.5048927427651666,,,,,,
return,,,,,,,0.5107559600393954,0.5334870238338956,0.44391837427347164,0.5130646190138047,0.504928788636853,0.5250584004892043,0.7121237954997547,0.30718125222518056,0.5259709615537836,0.7049761559972036,0.31943545653053096,0.5545341818992595,0.6908365092538877,0.32822087866236854,0.5103007671594777,0.5104076445266044,0.4865591217068209,0.39801331391720407,0.42308263369597493,0.4259690808011576,0.4196768785246151,0.464208547789274,0.4254062520394179,0.5042226271413853,0.5101903989871857,0.5122813042955441,0.4975900524664077,0.5029262779134456,0.516465528370087,0.5022873271513274,0.5055229606062562,0.4126828545071165,0.4222472488129749,0.49559446235794924,0.4930392749921352,0.4898467575998938,0.4973463493355379,0.46804334848827017,0.5296613922366333,0.501592218979831,0.49905547991831184,0.5088259765210236,0.4907599321159043,0.49762636622306355,0.5030878716978627,,,,,,
total_volume,,,,,,,0.3306305492723859,0.2491390760570178,0.43787705231004204,0.4406946935140275,0.4309983435453327,0.3351220152304665,0.4331061083424032,0.4366447492985869,0.2459044023461201,0.4290834415260162,0.42753334200260745,0.16027569265432415,0.4184834721054095,0.4231997667296562,0.12528577960676726,0.735584101427168,0.8034474352292406,0.37496359475764507,0.5622182328645089,0.34723935724621124,0.6076055479347661,0.304635761589404,0.5619983032043333,0.41861731573623867,0.37115568972287794,0.3433177913179647,0.3882215144708353,0.3660128685715471,0.3280326890073507,0.43402223330567496,0.3998092975340022,0.4884603979968371,0.4891725235840858,0.4840970887021894,0.5014092328966036,0.5029735829018983,0.5021831576320732,0.5126919136401074,0.5030792919229451,0.5158806085667291,0.48922819571966997,0.5207884005362072,0.4817741494724126,0.5200460376338135,0.4835878385105536,,,,,,
total_notional,,,,,,,0.34324727191208926,0.2676697098176977,0.4441304993424123,0.4585675256056904,0.43647505935611475,0.353903933035838,0.43552796956555434,0.4490799416221328,0.27573193677488156,0.4318945371017677,0.44276171393081665,0.20749314484425788,0.4219685803611991,0.44217843570325044,0.1506376060559874,0.7066977674647086,0.7709880798264935,0.3900665695860204,0.5717814431876468,0.3613281547483055,0.6097393689986282,0.3028966922549932,0.5756379299092867,0.42330870665858494,0.380747908327768,0.3540047069944905,0.39649541425756385,0.3745746337399913,0.3406930585930381,0.4352694041539601,0.40441543347206155,0.5002759290985767,0.4967708746098285,0.4855037767985616,0.5014747641445363,0.5019503766759591,0.5041017430979781,0.5138463844018173,0.5030628673694435,0.5069625231781666,0.49874043234986465,0.5127479875637078,0.4899513237253421,0.5120899669400445,0.4917365674366122,,,,,,
total_trades,,,,,,,0.32944751903632175,0.2543073394631513,0.46579695388401005,0.4748456437228447,0.43164701690129026,0.3530643042005045,0.44112435373416137,0.4331817341777771,0.26047572059842,0.43501810146809144,0.4247432493989204,0.2025644736687698,0.4261046019775059,0.42508493908067635,0.1341385967586242,0.7283169695951186,0.7924359858101178,0.4147441231537341,0.5669390978052533,0.4003807783108674,0.5894363156022964,0.35357563194968994,0.570229393721856,0.4241897498738016,0.3726916288704317,0.33955923975349234,0.39413158769674905,0.37128438575297384,0.3440077114087844,0.4220682023963981,0.3925946688424896,0.5070917896678967,0.5034828672130806,0.4931618000952616,0.5030756137281328,0.5056318863666533,0.5000917665468376,0.5132389484643588,0.5024811471074491,0.5090790182349773,0.4971267993823574,0.5160890175395519,0.488362741267517,0.5080367528515484,0.49629007367582634,,,,,,
buy_volume,,,,,,,0.3346922687088237,0.2545968690258258,0.4456408298332697,0.4564612996016224,0.4341470344732987,0.34018685558080874,0.45160287406478883,0.4208401919475867,0.24636866201283378,0.44738489963048034,0.413726458513819,0.15559345503761046,0.4355913442247593,0.40940040822310186,0.11399430981049637,0.7356830756502404,0.8048554952167991,0.37819846057832324,0.5501849202278434,0.3533165790876552,0.606894274246812,0.318337519981731,0.564200874502382,0.4176617732331752,0.37473998309073797,0.3477138482462142,0.3928802395452371,0.3703151814924847,0.3329496138600328,0.43939331464459863,0.4042096156894052,0.4823981945176595,0.4915570015363546,0.4829724032275896,0.5010776364869693,0.5033589705296695,0.5006045864616941,0.5094966739950583,0.5055683394485342,0.5179088601620071,0.4874109648176128,0.522417802014759,0.4802050715536465,0.5212549201059729,0.4821381753617417,,,,,,
sell_volume,,,,,,,0.3305389666892259,0.24935863391496388,0.43673157693776254,0.4326188212355724,0.42911781914548075,0.33422662767815076,0.4172073228672806,0.4532177583225151,0.24990040634212413,0.4135074403275742,0.44247557678988364,0.17222967607677775,0.40403230109361465,0.4382286274907812,0.1421912310115328,0.7299041929520658,0.7961414953176752,0.3807572290409819,0.5726183084523392,0.35153453659279565,0.6058654676624499,0.3038277091713949,0.560546237681916,0.4210005423247906,0.3704804511690639,0.3421797014874361,0.3864151941743636,0.36474018309111866,0.3273784437458235,0.43044113585181265,0.3979235517178631,0.49710068529256723,0.49018053904495745,0.4854009092246653,0.501453404275748,0.5024898778707023,0.5026337115545393,0.5156096402667446,0.5003835860912723,0.5137536404316401,0.4909312789519999,0.5188363124469102,0.48356877456093517,0.5184413245497427,0.4853664708615426,,,,,,
net_volume_delta,,,,,,,0.5430717563350818,0.5665744919263037,0.5069619447626321,0.542058324406947,0.5175418698363587,0.53373023434685,0.6431907196057091,0.3926380381992729,0.5835514179072462,0.6427614101667832,0.40762330658547186,0.6033123799614312,0.6394229894395052,0.404074820496215,0.5696921201036428,0.4662695847768757,0.4378671463878007,0.4458289993759101,0.4015805955241207,0.48555327088569034,0.4825102880658436,0.5229855780209742,0.4920381126411277,0.5011475142196059,0.5308961908883283,0.5424005671901269,0.5249093798908504,0.5315670588072634,0.5393394329779478,0.5245709037526399,0.5256123904506419,0.4184938389562467,0.4838335175568486,0.4899430840987097,0.49387334676170913,0.4939356415106863,0.49496543304598467,0.47495180364781214,0.5177828017044944,0.5134458771016409,0.4873580418071029,0.5083599888511361,0.49083463035059827,0.5059948816152879,0.4934162601221293,,,,,,
buy_sell_volume_ratio,,,,,,,0.5305532034248912,0.5416311863146224,0.49336048534215776,0.511439816096381,0.5119558880818544,0.5231228692591258,0.6295560969418414,0.3914444807821402,0.5344088426910513,0.6286822131229401,0.4065078826950133,0.5193802391579013,0.6206786585232331,0.4061678096591321,0.4976883605141492,0.49065844924763435,0.47750718741068277,0.45802995631370913,0.3918419134519342,0.49144771913791796,0.46194685769445715,0.5336483566673107,0.4559812047249233,0.4933399137910004,0.5229931570602264,0.529453518898314,0.5238075447829578,0.5266975332645489,0.5296320659437458,0.5241212896243632,0.5187668396367628,0.41738188587243014,0.4752688620548221,0.49395346478770213,0.4972353486334972,0.5010377256737024,0.48877334828960917,0.47451259830229287,0.5180333281218295,0.5132200319086697,0.48858315761510235,0.5075876977596092,0.49185716618552006,0.5065753362639198,0.4925007052303199,,,,,,
buy_trades,,,,,,,0.33220296485332446,0.25680567547172795,0.46118959738661913,0.47358190812040396,0.43233924753890707,0.35399715294908396,0.4558551151456745,0.42349614030256116,0.2655289495780293,0.4492202636572456,0.4165203833113578,0.20005906582123006,0.4387601711959195,0.41742213716231785,0.12487933749936493,0.7261720567893895,0.7932438339582037,0.41348034116912835,0.5535020111762006,0.40007615566217347,0.5848701925519484,0.3603035466474608,0.5551213861515369,0.42288441726356796,0.3743405431338557,0.3425148138198826,0.3979826889236683,0.37497334169807767,0.3457757398168398,0.4252894955792651,0.3949889056510739,0.49839178637322085,0.5008446474379028,0.4910232975312614,0.5023851507851204,0.5054377406079915,0.4991541619685382,0.5132944718244374,0.502760884281328,0.509102141962265,0.49682690232280124,0.5179689366439265,0.4861581058685631,0.5097002382667686,0.49444859285809106,,,,,,
sell_trades,,,,,,,0.33008116001772153,0.2558782413217779,0.4690467099401807,0.4749298927630075,0.432137116192723,0.35460476056015966,0.4285904749709931,0.4430340184247217,0.2586700109706245,0.4232264306401678,0.4332058830818094,0.20791364655169042,0.41528704184319665,0.43324086290695446,0.14650332774475439,0.7268919427710844,0.7880894937709108,0.41591429165799876,0.5771637016440354,0.401355570786688,0.5899189656048367,0.34928944086285946,0.580459113750571,0.42688054405122244,0.37368990224496135,0.340000637713767,0.39197682598506284,0.3701821060144931,0.3447760995686775,0.4204756307447949,0.39230923883374325,0.5137943957564576,0.5041919539510731,0.4953529833258936,0.5035753931823032,0.5056714000066375,0.5007562869412822,0.5133518632601822,0.501852648053836,0.508999485056369,0.4973938011589101,0.5144314120898811,0.4901953379586757,0.5068271435131025,0.4975988981813355,,,,,,
buy_sell_trade_ratio,,,,,,,0.5359019662631862,0.5476907853940618,0.49017012430529044,0.5219107682308906,0.504295344354923,0.5236795902741207,0.6208997570500963,0.4232080558557693,0.5511436416344392,0.6149508139418756,0.438094612778527,0.5052279119254285,0.6136091318471968,0.4403876669582546,0.48421226439059084,0.45268506967785305,0.46488592612518703,0.5207509881422925,0.41712334314175414,0.508460894067474,0.47680739724635474,0.5583290881304126,0.4269235789336292,0.49454316173476376,0.5208821114461425,0.5311870166478722,0.5367568948320183,0.5410862761160625,0.5388873701476217,0.5323781480755555,0.5274130208914222,0.4576428241960991,0.49116769901353524,0.48473362078066307,0.4989128241541544,0.5010020493163414,0.490444035815772,0.49363816453678366,0.5045475222625466,0.5027000840127527,0.49542350860880974,0.508240536738161,0.48915143012882745,0.5067879965716833,0.4903885404221426,,,,,,
order_flow_imbalance,,,,,,,0.5305532034248912,0.5416311863146224,0.49336048534215776,0.511439816096381,0.5119558880818544,0.5231228692591258,0.6295560969418414,0.3914444807821402,0.5344088426910513,0.6286822131229401,0.4065078826950133,0.5193802391579013,0.6206786585232331,0.4061678096591321,0.4976883605141492,0.49065844924763435,0.47750718741068277,0.45802995631370913,0.3918419134519342,0.49144771913791796,0.46194685769445715,0.5336483566673107,0.4559812047249233,0.4933399137910004,0.5229931570602264,0.529453518898314,0.5238075447829578,0.5266975332645489,0.5296320659437458,0.5241212896243632,0.5187668396367628,0.41738188587243014,0.4752688620548221,0.49395346478770213,0.4972353486334972,0.5010377256737024,0.48877334828960917,0.47451259830229287,0.5180333281218295,0.5132200319086697,0.48858315761510235,0.5075876977596092,0.49185716618552006,0.5065753362639198,0.4925007052303199,,,,,,
trade_imbalance,,,,,,,0.5359019662631862,0.5476907853940618,0.49017012430529044,0.5219107682308906,0.504295344354923,0.5236795902741207,0.6208997570500963,0.4232080558557693,0.5511436416344392,0.6149508139418756,0.438094612778527,0.5052279119254285,0.6136091318471968,0.4403876669582546,0.48421226439059084,0.45268506967785305,0.46488592612518703,0.5207509881422925,0.41712334314175414,0.508460894067474,0.47680739724635474,0.5583290881304126,0.4269235789336292,0.49454316173476376,0.5208821114461425,0.5311870166478722,0.5367568948320183,0.5410862761160625,0.5388873701476217,0.5323781480755555,0.5274130208914222,0.4576428241960991,0.49116769901353524,0.48473362078066307,0.4989128241541544,0.5010020493163414,0.490444035815772,0.49363816453678366,0.5045475222625466,0.5027000840127527,0.49542350860880974,0.508240536738161,0.48915143012882745,0.5067879965716833,0.4903885404221426,,,,,,
